Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,sadness,joy,fear,tentative,confident,anger
Most of the earnings reflects last years performance. This is no reflection of how the company will perform post #COVID19 scenario. ,2020-05-19 16:00:29+00:00,0,0,#COVID19,Delhi,Most of the earnings reflects last years performance This is no reflection of how the company will perform post COVID19 scenario,"[{'score': 0.879891, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
#IndiaFightsCorona: India has so far about 7.1 confirmed #COVID19 cases per lakh population vis a vis approx. 60 cases per lakh population globally. A glimpse of the comparison with countries having the highest number of confirmed cases of #COVID19. @DrRebellious @adarshaiims,2020-05-19 15:52:57+00:00,1,4,#IndiaFightsCorona #COVID19 #COVID19,Delhi,IndiaFightsCorona India has so far about 7 1 confirmed COVID19 cases per lakh population vis a vis approx 60 cases per lakh population globally A glimpse of the comparison with countries having the highest number of confirmed cases of COVID19,"[{'score': 0.874319, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"Were they permitted by the administration of Noida? All they have connected with each other without following social distancing, what action have been taken by administration. It should be taken seriously and an action should be taken. @dmgbnagar @noidapolice @CeoNoida #COVID19 ",2020-05-19 15:37:50+00:00,1,2,#COVID19,Delhi,Were they permitted by the administration of Noida All they have connected with each other without following social distancing what action have been taken by administration It should be taken seriously and an action should be taken COVID19,"[{'score': 0.520338, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,,1.0,
"Awareness towards #covid19 &amp; door to door Sanitisation of A &amp; B Block and DDA Market Sector 18, Rohini. #rohinifightscorona",2020-05-19 15:34:27+00:00,5,16,#covid19 #rohinifightscorona,Delhi,Awareness towards covid19 amp door to door Sanitisation of A amp B Block and DDA Market Sector 18 Rohini rohinifightscorona,[],,,,,,,
#AVIANS! The #CoronaWarriors Automatic #HandSanitizerDispenser have been installed at Gate no 1 entry All the pedestrian ( both residents and non-residents) will be able to #sanitize themselves before entering to society Tnx &amp; Rgrds Team Amrapali village #AVIANS! #COVID19 ,2020-05-19 15:01:56+00:00,1,13,#AVIANS #CoronaWarriors #HandSanitizerDispenser #sanitize #AVIANS #COVID19,Delhi,AVIANS The CoronaWarriors Automatic HandSanitizerDispenser have been installed at Gate no 1 entry All the pedestrian both residents and non residents will be able to sanitize themselves before entering to society Tnx amp Rgrds Team Amrapali village AVIANS COVID19,[],,,,,,,
Get all your electronic needs fulfilled under one roof. Visit EP Stores Now #weareopen #electronicparadise #opened #stores #electronicstore #precautions #safetymeasures #covid19 #delhi #delhincr #newdelhi,2020-05-19 14:35:04+00:00,0,0,#weareopen #electronicparadise #opened #stores #electronicstore #precautions #safetymeasures #covid19 #delhi #delhincr #newdelhi,Delhi,Get all your electronic needs fulfilled under one roof Visit EP Stores Now weareopen electronicparadise opened stores electronicstore precautions safetymeasures covid19 delhi delhincr newdelhi,"[{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,,1.0,
Alerted the govt on #COVID19 &amp; the economic backlash following it. Demanded for a stimulus package/direct cash transfer to the poor. Conducted regular PCs on national/state level. Stepped down the road to meet migrants &amp; do the needful. This is @RahulGandhi for us! ,2020-05-19 14:13:47+00:00,36,86,#COVID19,Delhi,Alerted the govt on COVID19 amp the economic backlash following it Demanded for a stimulus package direct cash transfer to the poor Conducted regular PCs on national state level Stepped down the road to meet migrants amp do the needful This is for us,"[{'score': 0.729724, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"@AirAsia I hav booked a seat X4FNY, was cancelled due to #COVID19 situation. I have not received any response even after almost 2 months. r you guys working or shut your offices already. Just want to if any you guys are worthy enough to re-book if flights are operational ",2020-05-19 13:59:37+00:00,0,0,#COVID19,Delhi,I hav booked a seat X4FNY was cancelled due to COVID19 situation I have not received any response even after almost 2 months r you guys working or shut your offices already Just want to if any you guys are worthy enough to re book if flights are operational,"[{'score': 0.657993, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,1.0,,
"Such a well managed city #Mumbai ,what a CM @OfficeofUT !!! Social Distancing what is that ??? This baap beta govt. is here to mint money. Do hell with #Mumbai #COVID19 #lockdown2020 #India #ShivSena #2020 #Maharashtra #hindustanibhau",2020-05-19 13:48:43+00:00,0,0,#Mumbai #Mumbai #COVID19 #lockdown2020 #India #ShivSena #Maharashtra #hindustanibhau,Delhi,Such a well managed city Mumbai what a CM Social Distancing what is that This baap beta govt is here to mint money Do hell with Mumbai COVID19 lockdown2020 India ShivSena 2020 Maharashtra hindustanibhau,"[{'score': 0.5477, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
DTC buses resumed services from today. No more than 20 passengers allowed in one bus. #DTCbus @DelhiTransport #Delhi #lockdown #covid19 ,2020-05-19 13:46:25+00:00,0,3,#DTCbus #Delhi #lockdown #covid19,Delhi,DTC buses resumed services from today No more than 20 passengers allowed in one bus DTCbus Delhi lockdown covid19,[],,,,,,,
"#China received a big blow, green signal for investigation on #CoronaVirus, more than 100 countries had proposed in the World Health Assembly #ChinaVirus #CoronaUpdate #CoronaAlert #WHo #COVID19 #Covid_19 #BanTikToklnlndia #tiktokexposed #tiktokban #TikTok",2020-05-19 13:19:16+00:00,2,4,#China #CoronaVirus #ChinaVirus #CoronaUpdate #CoronaAlert #WHo #COVID19 #Covid_19 #BanTikToklnlndia #tiktokexposed #tiktokban #TikTok,Delhi,China received a big blow green signal for investigation on CoronaVirus more than 100 countries had proposed in the World Health Assembly ChinaVirus CoronaUpdate CoronaAlert WHo COVID19 Covid 19 BanTikToklnlndia tiktokexposed tiktokban TikTok,"[{'score': 0.643024, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
Probe on #COVID19 adopted at WHO https://apps.who.int/gb/ebwha/pdf_files/WHA73/A73_CONF1Rev1-en.pdf,2020-05-19 13:15:17+00:00,0,7,#COVID19,Delhi,Probe on COVID19 adopted at WHO,[],,,,,,,
Feel safe to visit Topwind stores. We have taken all precautions and safety measures to make the shopping experience safe and smooth. #weareopen #shoppinghub #fashionhub #opennow #topwindstores #covid19 #precautions #safetyfirst #safeshopping #newdelhi,2020-05-19 13:06:43+00:00,0,0,#weareopen #shoppinghub #fashionhub #opennow #topwindstores #covid19 #precautions #safetyfirst #safeshopping #newdelhi,Delhi,Feel safe to visit Topwind stores We have taken all precautions and safety measures to make the shopping experience safe and smooth weareopen shoppinghub fashionhub opennow topwindstores covid19 precautions safetyfirst safeshopping newdelhi,"[{'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"HMI, #Darjeeling had started the big boss indoor challenge during lockdown to motivate people to stay at home to be safe and support the lockdown to fight against #COVID19. Therefore, here we present the winners. #stayhomestaysafe #IndiaFightsCorona",2020-05-19 12:59:23+00:00,7,12,#Darjeeling #COVID19 #stayhomestaysafe #IndiaFightsCorona,Delhi,HMI Darjeeling had started the big boss indoor challenge during lockdown to motivate people to stay at home to be safe and support the lockdown to fight against COVID19 Therefore here we present the winners stayhomestaysafe IndiaFightsCorona,"[{'score': 0.681379, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.785904, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
Give it the care that it needs to not feel like you're 60 when you're 20. Find the solution in the link in bio. #Covid_19 #Xamaxergonomics #Theeksebaitho #COVID19 #memesdaily #backrest #Backpain #Lumbarsupport #tuesdayvibes,2020-05-19 12:34:34+00:00,0,2,#Covid_19 #Xamaxergonomics #Theeksebaitho #COVID19 #memesdaily #backrest #Backpain #Lumbarsupport #tuesdayvibes,Delhi,Give it the care that it needs to not feel like you re 60 when you re 20 Find the solution in the link in bio Covid 19 Xamaxergonomics Theeksebaitho COVID19 memesdaily backrest Backpain Lumbarsupport tuesdayvibes,[],,,,,,,
#COVID19 #EconomicCrisis #msme This is how msme entrepreneurs and their employees living corona crisis please comment,2020-05-19 11:52:44+00:00,0,0,#COVID19 #EconomicCrisis #msme,Delhi,COVID19 EconomicCrisis msme This is how msme entrepreneurs and their employees living corona crisis please comment,[],,,,,,,
Is there any place where we can get the #COVID19 zone list for #Delhi ? Could not find anything relevant to that on the state govt. site http://web.delhi.gov.in @ArvindKejriwal,2020-05-19 11:24:15+00:00,0,0,#COVID19 #Delhi,Delhi,Is there any place where we can get the COVID19 zone list for Delhi Could not find anything relevant to that on the state govt site,"[{'score': 0.539469, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.867767, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,1.0,,
"#BustingMyths | How To Sanitise Essential Items At Home, @hospadmnpgi Doctor explains. #COVID19 ",2020-05-19 10:34:33+00:00,0,1,#BustingMyths #COVID19,Delhi,BustingMyths How To Sanitise Essential Items At Home Doctor explains COVID19,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,,,1.0,
"Lockdown 4 Me Delhi Me Bus Service Start hai jisme 20 Passenger Allow Hain, aur Haalat kya hainkhud hi Dekh Lo Who is responsible ? A. PM B. DM C. CM D. Public E. Situation #Lockdown4point0 #covid19 #coronavirus #dtc @PMOIndia @ArvindKejriwal @DMwestDelhi @Public_Citizen @aajtak",2020-05-19 10:03:48+00:00,0,0,#Lockdown4point0 #covid19 #coronavirus #dtc,Delhi,Lockdown 4 Me Delhi Me Bus Service Start hai jisme 20 Passenger Allow Hain aur Haalat kya hainkhud hi Dekh Lo Who is responsible A PM B DM C CM D Public E Situation Lockdown4point0 covid19 coronavirus dtc Citizen,[],,,,,,,
#AnilKumble-led ICC Cricket Committee recommends ban on saliva to shine ball owing to #COVID19 pandemic,2020-05-19 10:00:54+00:00,0,0,#AnilKumble #COVID19,Delhi,AnilKumble led ICC Cricket Committee recommends ban on saliva to shine ball owing to COVID19 pandemic,"[{'score': 0.95817, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"Shyam Lal Gupta, aged 85 years admitted in @SJHDELHI #Covid19 Ward in Super Speciality Building declared dead by Doctor and informed the Son, Naresh at 6AM to take over the Deadbody by 09:00 AM today. But, body not moved out from #COVID19 ICU till now. The Reasons are not known.",2020-05-19 09:42:08+00:00,0,0,#Covid19 #COVID19,Delhi,Shyam Lal Gupta aged 85 years admitted in Covid19 Ward in Super Speciality Building declared dead by Doctor and informed the Son Naresh at 6AM to take over the Deadbody by 09 00 AM today But body not moved out from COVID19 ICU till now The Reasons are not known,"[{'score': 0.571827, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.757313, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
Don’t forget to drink water and get some sunlight because you’re basically a house plant with some complicated issues. #LockdownTaughtMe #havevitaminD #WellnessWednesday #increaseimmunity #COVID19 #lockdown2020,2020-05-19 09:35:00+00:00,0,1,#LockdownTaughtMe #havevitaminD #WellnessWednesday #increaseimmunity #COVID19 #lockdown2020,Delhi,Don t forget to drink water and get some sunlight because you re basically a house plant with some complicated issues LockdownTaughtMe havevitaminD WellnessWednesday increaseimmunity COVID19 lockdown2020,"[{'score': 0.547838, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.794075, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,1.0,,
".@HyundaiIndia Salutes India’s #CoronaWarriors – Announces Corona Warriors Camp to be conducted from May 20 – 31, 2020 across all Hyundai Workshops operational as per Government guidelines Recognises contribution of workforce involved in fight against #COVID19 Pandemic ",2020-05-19 09:28:22+00:00,10,27,#CoronaWarriors #COVID19,Delhi,Salutes India s CoronaWarriors Announces Corona Warriors Camp to be conducted from May 20 31 2020 across all Hyundai Workshops operational as per Government guidelines Recognises contribution of workforce involved in fight against COVID19 Pandemic,[],,,,,,,
@CMOfficeUP @myogiadityanath @AMRUTCityGzb @ghaziabadpolice @gdagzb @AMRUTCityGzb @dm_ghaziabad Can you please tell when we will be able to reopen our shops in the district of Ghaziabad. #COVID19,2020-05-19 09:20:04+00:00,0,0,#COVID19,Delhi,ghaziabad Can you please tell when we will be able to reopen our shops in the district of Ghaziabad COVID19,[],,,,,,,
"my mother's covid 19 test came positive. We tried to call on all the helpline, After so much effort and hundreds of calling they admitted my mother in loknayak yesterday but no one came for testing and screening for us #COVID19 #DelhiFightsCorona #ArvindKejriwal #manishsisodia",2020-05-19 09:18:38+00:00,0,3,#COVID19 #DelhiFightsCorona #ArvindKejriwal #manishsisodia,Delhi,my mother s covid 19 test came positive We tried to call on all the helpline After so much effort and hundreds of calling they admitted my mother in loknayak yesterday but no one came for testing and screening for us COVID19 DelhiFightsCorona ArvindKejriwal manishsisodia,"[{'score': 0.570106, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,,1.0,
"500 more #COVID19 cases reported in Delhi in the last 24 hours. Total cases 10554, including 5638 active cases &amp; 166 deaths. #CoronaUpdates #KejriwalStopLyingOnCovidDeaths",2020-05-19 09:10:49+00:00,0,0,#COVID19 #CoronaUpdates #KejriwalStopLyingOnCovidDeaths,Delhi,500 more COVID19 cases reported in Delhi in the last 24 hours Total cases 10554 including 5638 active cases amp 166 deaths CoronaUpdates KejriwalStopLyingOnCovidDeaths,[],,,,,,,
Lessons from #COVID19 ,2020-05-19 09:08:28+00:00,0,1,#COVID19,Delhi,Lessons from COVID19,"[{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
What a beautiful feeling when you meet your relatives while fighting against #COVID19 #beinghuman #humaninnovation #love #fightcoronavirus ,2020-05-19 08:58:34+00:00,0,7,#COVID19 #beinghuman #humaninnovation #love #fightcoronavirus,Delhi,What a beautiful feeling when you meet your relatives while fighting against COVID19 beinghuman humaninnovation love fightcoronavirus,"[{'score': 0.926634, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"Two great news from #COVID19 vaccine. US company Moderna came out with great encouraging results that it's vaccine has able to produce antibodies in all of it's 45 participants. - Moderna gave three different doses, 15 people received 25mcg, 15 people received100 mcg and",2020-05-19 08:44:30+00:00,0,2,#COVID19,Delhi,Two great news from COVID19 vaccine US company Moderna came out with great encouraging results that it s vaccine has able to produce antibodies in all of it s 45 participants Moderna gave three different doses 15 people received 25mcg 15 people received100 mcg and,"[{'score': 0.672425, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"500 more #COVID19 cases reported in Delhi in the last 24 hours. Total cases 10554, including 5638 active cases &amp; 166 deaths.",2020-05-19 08:43:27+00:00,0,0,#COVID19,Delhi,500 more COVID19 cases reported in Delhi in the last 24 hours Total cases 10554 including 5638 active cases amp 166 deaths,[],,,,,,,
"500 more #COVID19 cases reported in Delhi in the last 24 hours. Total cases 10554, including 5638 active cases &amp; 166 deaths. @KapilMishra_IND",2020-05-19 08:43:05+00:00,0,0,#COVID19,Delhi,500 more COVID19 cases reported in Delhi in the last 24 hours Total cases 10554 including 5638 active cases amp 166 deaths IND,[],,,,,,,
"Priorities of @narendramodi govt are in right place. Besides health spend hike, there will be a dedicated infectious diseases block at hospitals, diagnostic lab at block level to strengthen testing capacity at grass-roots level @nsitharaman #covid19 ",2020-05-19 08:38:13+00:00,2,3,#covid19,Delhi,Priorities of govt are in right place Besides health spend hike there will be a dedicated infectious diseases block at hospitals diagnostic lab at block level to strengthen testing capacity at grass roots level covid19,"[{'score': 0.61963, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.743104, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
#Tiktokers are busy promoting ACID attacks and on the other side whole nation is busy fighting #Covid19. This is real #India. RT and be a real life #Hero. #BanTikTokInIndia #COVID19 #BanTikTokApp #BanTiktok #tiktokexposed #CoronaWarriors #Tiktok,2020-05-19 08:31:58+00:00,62,128,#Tiktokers #Covid19 #India #Hero #BanTikTokInIndia #COVID19 #BanTikTokApp #BanTiktok #tiktokexposed #CoronaWarriors #Tiktok,Delhi,Tiktokers are busy promoting ACID attacks and on the other side whole nation is busy fighting Covid19 This is real India RT and be a real life Hero BanTikTokInIndia COVID19 BanTikTokApp BanTiktok tiktokexposed CoronaWarriors Tiktok,[],,,,,,,
We wanted to make sure our beneficiaries don't run out of supplies. We hope that this cyclone passes with minimal impact. #CycloneAmphanUpdate #Lockdownextention #COVID19 ,2020-05-19 08:01:18+00:00,0,4,#CycloneAmphanUpdate #Lockdownextention #COVID19,Delhi,We wanted to make sure our beneficiaries don t run out of supplies We hope that this cyclone passes with minimal impact CycloneAmphanUpdate Lockdownextention COVID19,[],,,,,,,
Various organisations and #Sikh sangat of #Delhi are praying for good health of the #UNITEDSIKHS volunteers who are tested #COVID19 positive. May you get well soon and come back to sewa with more energy and positivity. #StayHomeStaySafe Watch full video https://youtu.be/-rNogLa2w18,2020-05-19 07:43:47+00:00,5,21,#Sikh #Delhi #UNITEDSIKHS #COVID19 #StayHomeStaySafe,Delhi,Various organisations and Sikh sangat of Delhi are praying for good health of the UNITEDSIKHS volunteers who are tested COVID19 positive May you get well soon and come back to sewa with more energy and positivity StayHomeStaySafe Watch full video,"[{'score': 0.884182, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
The effect of providing relaxation in lockdown has again started to harm the environment. When will humans understand their role towards nature. #COVID19 #killingnature #Lockdown4 #humanetoinhumane,2020-05-19 07:42:43+00:00,0,0,#COVID19 #killingnature #Lockdown4 #humanetoinhumane,Delhi,The effect of providing relaxation in lockdown has again started to harm the environment When will humans understand their role towards nature COVID19 killingnature Lockdown4 humanetoinhumane,"[{'score': 0.517793, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.752532, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"Cricketers turned into our legends when they aced through predicament with their special abilities. Follow Invincible Web Solutions on FB, Instagram, Twitter, and Get interesting Updates Daily. Contact +91-9958948829 to know more. #FightCovid #Covid19 #CoronaVirus",2020-05-19 07:33:52+00:00,0,0,#FightCovid #Covid19 #CoronaVirus,Delhi,Cricketers turned into our legends when they aced through predicament with their special abilities Follow Invincible Web Solutions on FB Instagram Twitter and Get interesting Updates Daily Contact 91 9958948829 to know more FightCovid Covid19 CoronaVirus,"[{'score': 0.717786, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"500 new #COVID19 cases reported in #Delhi Total infections now : 10,554 Six more deaths added. 166 deaths so far 4,750 patients have recovered so far. #CoronaVirusUpdate",2020-05-19 07:33:44+00:00,1,8,#COVID19 #Delhi #CoronaVirusUpdate,Delhi,500 new COVID19 cases reported in Delhi Total infections now 10 554 Six more deaths added 166 deaths so far 4 750 patients have recovered so far CoronaVirusUpdate,"[{'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
#छी_छी_न्यूज उर्फ #ZeeNews becoming new #Markaz for #COVID19 Infections #जीन्यूज दफ्तर बंद करो।,2020-05-19 07:32:06+00:00,0,0,#ZeeNews #Markaz #COVID19,Delhi,ZeeNews becoming new Markaz for COVID19 Infections,[],,,,,,,
"My dad is undergoing dialysis and I know how difficult and expencive it is, thankfully me and my sisters are in a position to take care , all I can say is thanks @RahulGandhi for being there for the most vulnerable in these challenging times. #COVID19 #RahulCaresForIndia",2020-05-19 06:39:58+00:00,0,9,#COVID19 #RahulCaresForIndia,Delhi,My dad is undergoing dialysis and I know how difficult and expencive it is thankfully me and my sisters are in a position to take care all I can say is thanks for being there for the most vulnerable in these challenging times COVID19 RahulCaresForIndia,[],,,,,,,
"Odisha H & FW department shares Infographic on #COVID19 status of #Odisha upto May 19, 9 AM #OdishaFightsCorona @sambitswaraj @BJP4Odisha @bjpsamvad",2020-05-19 06:34:24+00:00,0,0,#COVID19 #Odisha #OdishaFightsCorona,Delhi,Odisha H FW department shares Infographic on COVID19 status of Odisha upto May 19 9 AM OdishaFightsCorona,"[{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
threatening to expose #covid19 to Indigenous Peoples. The Brazilian government must protect Indigenous communities from the pandemic. #coronavirus #safety #SaveLife @LeoDiCaprio @deespeak,2020-05-19 06:32:16+00:00,0,1,#covid19 #coronavirus #safety #SaveLife,Delhi,threatening to expose covid19 to Indigenous Peoples The Brazilian government must protect Indigenous communities from the pandemic coronavirus safety SaveLife,"[{'score': 0.728394, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"The politician to watch in North India is Akhilesh Yadav. He's keeping a low profile & staying away from this #COVID19 , #Lockdown #MigrantWorkers politics, save for a few 'statutory' tweets. 2022 will be interesting - a straight SP-BJP fight on local, primarily economic issues.",2020-05-19 05:56:59+00:00,1,2,#COVID19 #Lockdown #MigrantWorkers,Delhi,The politician to watch in North India is Akhilesh Yadav He s keeping a low profile staying away from this COVID19 Lockdown MigrantWorkers politics save for a few statutory tweets 2022 will be interesting a straight SP BJP fight on local primarily economic issues,"[{'score': 0.562004, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
TIME TO BE OPEN NOW #sagarmotors _________________________ #corona #coronavirus #covid19 #safety #staysafe #stayhome #safe #cure #care #fightagainstcoronavirus,2020-05-19 05:52:40+00:00,0,1,#sagarmotors #corona #coronavirus #covid19 #safety #staysafe #stayhome #stayhome #safe #cure #care #fightagainstcoronavirus,Delhi,TIME TO BE OPEN NOW sagarmotors corona coronavirus covid19 safety staysafe stayhome safe cure care fightagainstcoronavirus,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
@narendramodi @PiyushGoyal @AmitShah @ArvindKejriwal @msisodia @kgahlot @IRCTCofficial @PMOIndia kindly consider *E-Ticket &amp; OTP(by IVR) to #MigrantWorkers for Special Trains *Staggered Departure &amp; Early arrival for #COVID19 #Screening Safe Convenient #SocialDistance ,2020-05-19 05:35:26+00:00,0,1,#MigrantWorkers #COVID19 #Screening #SocialDistance,Delhi,kindly consider E Ticket amp OTP by IVR to MigrantWorkers for Special Trains Staggered Departure amp Early arrival for COVID19 Screening Safe Convenient SocialDistance,"[{'score': 0.583411, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
New update India's #COVID19 - Number of new tests up - Number of new cases down - Number of new deaths down https://twitter.com/Arjun__Baghel/status/1262609233536708608/photo/1,2020-05-19 05:15:41+00:00,0,0,#COVID19,Delhi,New update India s COVID19 Number of new tests up Number of new cases down Number of new deaths down,[],,,,,,,
"To create a Aatam Nirbhar Bharat We people have to sacrifice our bad habits, We people have to prefer our local brand despite of quality, Despite of quality because we have to give chance to local manufacturer to improve the quality of their products.#BJYM #COVID19 #lockdown",2020-05-19 05:10:31+00:00,0,0,#BJYM #COVID19 #lockdown,Delhi,To create a Aatam Nirbhar Bharat We people have to sacrifice our bad habits We people have to prefer our local brand despite of quality Despite of quality because we have to give chance to local manufacturer to improve the quality of their products BJYM COVID19 lockdown,"[{'score': 0.54644, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.511876, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.90928, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,1.0,
"Those who are posting the photographs of migrating labourers, opposing FDI, and always abusing the step of Govt is not only Joker but illiterate too as they need to understand the we can't create the #AatamNirbharBharat in one day or by freebies only. #lockdown #COVID19 #bjym",2020-05-19 05:10:30+00:00,0,0,#AatamNirbharBharat #lockdown #COVID19 #bjym,Delhi,Those who are posting the photographs of migrating labourers opposing FDI and always abusing the step of Govt is not only Joker but illiterate too as they need to understand the we can t create the AatamNirbharBharat in one day or by freebies only lockdown COVID19 bjym,"[{'score': 0.582212, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.748318, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
"#coronavirus 1 lac samples tested in 24 hours which is the highest number ever A total of 2404267 samples have been tested as on 19 May 2020 Yesterday, figure was : 2302792 #COVID19",2020-05-19 05:09:18+00:00,1,7,#coronavirus #COVID19,Delhi,coronavirus 1 lac samples tested in 24 hours which is the highest number ever A total of 2404267 samples have been tested as on 19 May 2020 Yesterday figure was 2302792 COVID19,[],,,,,,,
Kerala's Virus Success - by @BBCWorld Focus on Social Welfare and Decentralised Planning have been the key to fight #COVID19 in Kerala and it has shown remarkable results. The world is learning from @shailajateacher &amp; we as a country must too. #Kerala,2020-05-19 04:57:14+00:00,1,3,#COVID19 #Kerala,Delhi,Kerala s Virus Success by Focus on Social Welfare and Decentralised Planning have been the key to fight COVID19 in Kerala and it has shown remarkable results The world is learning from amp we as a country must too Kerala,"[{'score': 0.80811, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.598448, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"#Farmer Connect portal is a #digital platform in the form of a #portal and #mobile application for connecting farmers to #FPOs, FPCs and #cooperatives with #exporters. #FarmerConnect #APEDA #Agriculture #AgriExport #COVID19 ",2020-05-19 04:41:21+00:00,25,81,#Farmer #digital #portal #mobile #FPOs #cooperatives #exporters #FarmerConnect #APEDA #Agriculture #AgriExport #COVID19,Delhi,Farmer Connect portal is a digital platform in the form of a portal and mobile application for connecting farmers to FPOs FPCs and cooperatives with exporters FarmerConnect APEDA Agriculture AgriExport COVID19,[],,,,,,,
"RuchikaAnand@10replying to Nand Kishore @VvekTyagi @nkt..,@DharB@Jks @PMOIndia V 10lakh #CheatedHomeBuyers V HBs want refund with http://interest.SC isn't hearing our case for the last six months First Ayodhaya &amp; now corona #COVID19 ",2020-05-19 03:39:31+00:00,14,11,#CheatedHomeBuyers #COVID19,Delhi,RuchikaAnand to Nand Kishore V 10lakh CheatedHomeBuyers V HBs want refund with isn t hearing our case for the last six months First Ayodhaya amp now corona COVID19,"[{'score': 0.531344, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"One lakh, #COVID19 positive cases in India ",2020-05-19 03:27:18+00:00,1,8,#COVID19,Delhi,One lakh COVID19 positive cases in India,"[{'score': 0.761838, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,1.0,
Good morning! Read my #TuesdayThoughts on #DigitalDiplomacy in the world today under #COVID19 and beyond on @NWOGlobal @IsraelMFA @Twiplomacy @rishi_suri @HindolSengupta,2020-05-19 02:51:28+00:00,19,104,#TuesdayThoughts #DigitalDiplomacy #COVID19,Delhi,Good morning Read my TuesdayThoughts on DigitalDiplomacy in the world today under COVID19 and beyond on suri,"[{'score': 0.865842, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
#COVID19 not only killed Human beings But also :- Jobs Bussiness Economy Now people may not die just because of #coronavirus but also due to Hunger.,2020-05-19 02:25:53+00:00,3,5,#COVID19 #coronavirus,Delhi,COVID19 not only killed Human beings But also Jobs Bussiness Economy Now people may not die just because of coronavirus but also due to Hunger,"[{'score': 0.992014, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,1.0,,
