Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,confident,sadness,tentative,analytical,fear,anger
"#Mumbai: MIDC police station has registered an Accidental Death Report and an investigation is underway, over alleged suicide by a 60-year old #COVID19 patient at Seven Hills hospital #Maharashtra",2020-05-09 20:10:32+00:00,0,0,#Mumbai #COVID19 #Maharashtra,Mumbai,Mumbai MIDC police station has registered an Accidental Death Report and an investigation is underway over alleged suicide by a 60 year old COVID19 patient at Seven Hills hospital Maharashtra,"[{'score': 0.722332, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"3 people, including an ambulance driver from #Mumbai who drove the 2 test #COVID19 positive in Jorhat. Driver sent back to Mumbai. 2 are at JMCH since their arrival in Jorhat. COVID19 patients in Assam 62, active cases 27, discharged 34: #Assam Health Minister Himanta Biswa Sarma",2020-05-09 20:09:53+00:00,0,0,#Mumbai #COVID19 #Assam,Mumbai,3 people including an ambulance driver from Mumbai who drove the 2 test COVID19 positive in Jorhat Driver sent back to Mumbai 2 are at JMCH since their arrival in Jorhat COVID19 patients in Assam 62 active cases 27 discharged 34 Assam Health Minister Himanta Biswa Sarma,[],,,,,,,
"#COVID19 | In Bengal, man recovers after 38 days on ventilator (reports @joydeepthakur) https://www.hindustantimes.com/india-news/in-bengal-man-recovers-after-38-days-on-ventilator/story-oN6YwSX9KnFPu3wUKR7FbP.html",2020-05-09 19:09:35+00:00,1,2,#COVID19,Mumbai,COVID19 In Bengal man recovers after 38 days on ventilator reports,[],,,,,,,
"Looking at that guy who said ""Machan, All this will end in one week and it will be back to normal da!"" Jacket Courtesy: @sanjanachandru : anandjames111 #Corona #Lockdown #covid19 #entertainer #comedy #stayhome… https://www.instagram.com/p/B_-how7DiRF/?igshid=1mrdwgn1jvxuy",2020-05-09 18:20:59+00:00,0,2,#Corona #Lockdown #covid19 #entertainer #comedy #stayhome #stayhome,Mumbai,Looking at that guy who said Machan All this will end in one week and it will be back to normal da Jacket Courtesy anandjames111 Corona Lockdown covid19 entertainer comedy stayhome,[],,,,,,,
"Anatomy of a governance disaster. Mumbai was unliveable city before the pandemic. Administratively, it's become a crisis during the pandemic Hotspots are symptom of the systemic failures experienced by the city everyday More #COVID19 testing isn't going to help stem the virus ",2020-05-09 17:50:40+00:00,0,0,#COVID19,Mumbai,Anatomy of a governance disaster Mumbai was unliveable city before the pandemic Administratively it s become a crisis during the pandemic Hotspots are symptom of the systemic failures experienced by the city everyday More COVID19 testing isn t going to help stem the virus,"[{'score': 0.570099, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
17 persons found #COVID19 positive in #Tripura today from 86th Battalion- BSF Ambassa. No civilian found positive among them: Tripura CM Biplab Kumar Deb,2020-05-09 17:21:53+00:00,0,1,#COVID19 #Tripura,Mumbai,17 persons found COVID19 positive in Tripura today from 86th Battalion BSF Ambassa No civilian found positive among them Tripura CM Biplab Kumar Deb,"[{'score': 0.737452, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,1.0,,
It's all the memories we made that keeps us going in these times of #covid19. . . #family #familyfirst #lafamilia #weddings #wedding #weddingdetail #weddingday #weddingdecor #weddingphotography #weddingideas… https://www.instagram.com/p/B_-YDELJAoN/?igshid=1sm830u6mv2el,2020-05-09 16:57:19+00:00,0,1,#covid19 #family #familyfirst #lafamilia #weddings #wedding #weddingdetail #weddingday #weddingdecor #weddingphotography #weddingideas,Mumbai,It s all the memories we made that keeps us going in these times of covid19 family familyfirst lafamilia weddings wedding weddingdetail weddingday weddingdecor weddingphotography weddingideas,"[{'score': 0.547436, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
#Maharashtra #COVID19 Cases cross 20K ◆ New cases in last 24 hrs 1165 ◆ Total cases 20228 ◆ Deaths in last 24 hrs 48 (Tot 779) #Mumbai #CoronaUpdates ◆ New cases in last 24 hrs 722 ◆ Total cases 12864 ◆ Deaths in last 24 hrs 27 (Tot 489) 3800 dischargd til date,2020-05-09 16:48:26+00:00,3,5,#Maharashtra #COVID19 #Mumbai #CoronaUpdates,Mumbai,Maharashtra COVID19 Cases cross 20K New cases in last 24 hrs 1165 Total cases 20228 Deaths in last 24 hrs 48 Tot 779 Mumbai CoronaUpdates New cases in last 24 hrs 722 Total cases 12864 Deaths in last 24 hrs 27 Tot 489 3800 dischargd til date,"[{'score': 0.545516, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"#Chandigarh reports second #COVID19 death, 23 fresh cases bring union territory's tally to 169: Officials",2020-05-09 16:44:09+00:00,0,0,#Chandigarh #COVID19,Mumbai,Chandigarh reports second COVID19 death 23 fresh cases bring union territory s tally to 169 Officials,[],,,,,,,
"Number of #COVID19 cases reaches 1762 in #Punjab, with 31 more people testing positive today. Number of active cases &amp; fatalities due to the infection stands at 1574 &amp; 31, respectively: Punjab Health Department",2020-05-09 16:43:07+00:00,0,0,#COVID19 #Punjab,Mumbai,Number of COVID19 cases reaches 1762 in Punjab with 31 more people testing positive today Number of active cases amp fatalities due to the infection stands at 1574 amp 31 respectively Punjab Health Department,"[{'score': 0.535745, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Number of #COVID19 cases reaches 675 #Haryana, including 290 recoveries &amp; 9 deaths. Number of active cases stands at 376. Doubling rate of cases in the state is 9 days: Haryana Health Department",2020-05-09 16:41:23+00:00,0,0,#COVID19 #Haryana,Mumbai,Number of COVID19 cases reaches 675 Haryana including 290 recoveries amp 9 deaths Number of active cases stands at 376 Doubling rate of cases in the state is 9 days Haryana Health Department,[],,,,,,,
"Number of #COVID19 cases reaches 3457 in #MadhyaPradesh, with 116 new cases being reported today. Out of the total cases, 1480 patients have recovered while 211 others succumbed to the infection. There are 625 containment areas in the state: Madhya Pradesh Health Department",2020-05-09 16:40:05+00:00,0,0,#COVID19 #MadhyaPradesh,Mumbai,Number of COVID19 cases reaches 3457 in MadhyaPradesh with 116 new cases being reported today Out of the total cases 1480 patients have recovered while 211 others succumbed to the infection There are 625 containment areas in the state Madhya Pradesh Health Department,[],,,,,,,
"A man has been tested positive for #COVID19 in Kangra, taking total number of active cases to 10 in #HimachalPradesh: State Additional Chief Secretary (Health) RD Dhiman",2020-05-09 16:39:04+00:00,0,0,#COVID19 #HimachalPradesh,Mumbai,A man has been tested positive for COVID19 in Kangra taking total number of active cases to 10 in HimachalPradesh State Additional Chief Secretary Health RD Dhiman,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
"Government of #Delhi issues orders to all Deputy Commissioners, Govt of Delhi on the release and inter-state movement of stranded persons related to Tablighi Jamaat from Delhi. #COVID19 ",2020-05-09 16:38:43+00:00,1,0,#Delhi #COVID19,Mumbai,Government of Delhi issues orders to all Deputy Commissioners Govt of Delhi on the release and inter state movement of stranded persons related to Tablighi Jamaat from Delhi COVID19,"[{'score': 0.570486, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"129 fresh cases of #COVID19 &amp; three deaths have been reported in #Rajasthan today, taking total number of cases &amp; deaths to 3708 &amp; 106, respectively. Number of active cases stands at 1440: Rajasthan Health Department",2020-05-09 16:38:12+00:00,0,0,#COVID19 #Rajasthan,Mumbai,129 fresh cases of COVID19 amp three deaths have been reported in Rajasthan today taking total number of cases amp deaths to 3708 amp 106 respectively Number of active cases stands at 1440 Rajasthan Health Department,[],,,,,,,
"Western railway runs special train to essential service employees during 45th day of nationwide lockdown 3 to coronavirus pandemic at Ram Mandir station, Goregaon in Mumbai on 08/05/2020. @satejss #satejshinde #midday #twittervideo #lockdown3 #45thday #COVID19 #rammandirstation – at Ram Mandir Railway Station",2020-05-09 16:36:45+00:00,0,0,#satejshinde #midday #twittervideo #lockdown3 #45thday #COVID19 #rammandirstation,Mumbai,Western railway runs special train to essential service employees during 45th day of nationwide lockdown 3 to coronavirus pandemic at Ram Mandir station Goregaon in Mumbai on 08 05 2020 satejshinde midday twittervideo lockdown3 45thday COVID19 rammandirstation at Ram Mandir Railway Station,[],,,,,,,
"1165 new #COVID19 cases , 48 deaths reported in #Maharashtra today. The total number of positive cases in the state rises to 20,228, reports ANI quoting state health department #CoronavirusPandemic #CautionYesPanicNo",2020-05-09 16:23:05+00:00,0,0,#COVID19 #Maharashtra #CoronavirusPandemic #CautionYesPanicNo,Mumbai,1165 new COVID19 cases 48 deaths reported in Maharashtra today The total number of positive cases in the state rises to 20 228 reports ANI quoting state health department CoronavirusPandemic CautionYesPanicNo,"[{'score': 0.637011, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.519491, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.605143, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,1.0,,
"Number of #COVID19 containment zones increases to 2,646 in #Mumbai, reports ANI quoting Brihanmumbai Municipal Corporation #COVID19Lockdown #CautionYesPanicNo",2020-05-09 16:22:43+00:00,0,0,#COVID19 #Mumbai #COVID19Lockdown #CautionYesPanicNo,Mumbai,Number of COVID19 containment zones increases to 2 646 in Mumbai reports ANI quoting Brihanmumbai Municipal Corporation COVID19Lockdown CautionYesPanicNo,[],,,,,,,
"Exterior of empty modern office premises during 45th day of nationwide lockdown 3 to coronavirus pandemic at Nerlon Knowledge Park, Goregaon in Mumbai on 08/05/2020. @satejss #satejshinde #midday #instavideo #lockdown3 #45thday #COVID19 #nirlonknowledgepark #goregaon – at Nirlon Knowledge Park",2020-05-09 16:20:06+00:00,0,1,#satejshinde #midday #instavideo #lockdown3 #45thday #COVID19 #nirlonknowledgepark #goregaon,Mumbai,Exterior of empty modern office premises during 45th day of nationwide lockdown 3 to coronavirus pandemic at Nerlon Knowledge Park Goregaon in Mumbai on 08 05 2020 satejshinde midday instavideo lockdown3 45thday COVID19 nirlonknowledgepark goregaon at Nirlon Knowledge Park,[],,,,,,,
I really admire the way Shri @myogiadityanath @CMOfficeUP is handling the #COVID19 crisis in the state. They have been good job for migrant workers but a lot needs to be done more.,2020-05-09 16:16:09+00:00,0,4,#COVID19,Mumbai,I really admire the way Shri is handling the COVID19 crisis in the state They have been good job for migrant workers but a lot needs to be done more,[],,,,,,,
#Mumbai #Pune #Maharashtra #COVID19 updates ,2020-05-09 15:19:12+00:00,2,2,#Mumbai #Pune #Maharashtra #COVID19,Mumbai,Mumbai Pune Maharashtra COVID19 updates,[],,,,,,,
SET 02 - 44th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali to Goregaon in Mumbai on 07/05/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #lockdown #45thday #COVID19 #kandivali #mask #goregaon,2020-05-09 14:27:04+00:00,0,0,#satejshinde #midday #middayonline #twitterphoto #lockdown #45thday #COVID19 #kandivali #mask #goregaon,Mumbai,SET 02 44th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali to Goregaon in Mumbai on 07 05 2020 satejshinde midday middayonline twitterphoto lockdown 45thday COVID19 kandivali mask goregaon,[],,,,,,,
#liveinteraction with _surbhi_patil_ Dr. Surbhi is one of the #CoronaFighter Doctor in Mumbai. #covid19 #medicaldoctor #coronavirus #foundationofinternationaleducationservices #fies_studyabroad… https://www.instagram.com/p/B_-G1D0p0Ti/?igshid=fc9og833fvfp,2020-05-09 14:26:42+00:00,0,1,#liveinteraction #CoronaFighter #covid19 #medicaldoctor #coronavirus #foundationofinternationaleducationservices #fies_studyabroad,Mumbai,liveinteraction with surbhi patil Dr Surbhi is one of the CoronaFighter Doctor in Mumbai covid19 medicaldoctor coronavirus foundationofinternationaleducationservices fies studyabroad,[],,,,,,,
SET 01 - 44th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali to Goregaon in Mumbai on 07/05/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #lockdown #45thday #COVID19 #kandivali #mask #goregaon,2020-05-09 14:26:29+00:00,0,0,#satejshinde #midday #middayonline #twitterphoto #lockdown #45thday #COVID19 #kandivali #mask #goregaon,Mumbai,SET 01 44th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali to Goregaon in Mumbai on 07 05 2020 satejshinde midday middayonline twitterphoto lockdown 45thday COVID19 kandivali mask goregaon,[],,,,,,,
"""Divided by #Ego, United by #gossips"" - #women ""Divided by women, United by #liquor"" - #Men #girlslockeroom #COVID19 #Covid_19 #coronavirus #COVIDIOT",2020-05-09 14:09:53+00:00,0,1,#Ego #gossips #women #liquor #Men #girlslockeroom #COVID19 #Covid_19 #coronavirus #COVIDIOT,Mumbai,Divided by Ego United by gossips women Divided by women United by liquor Men girlslockeroom COVID19 Covid 19 coronavirus COVIDIOT,[],,,,,,,
SET 02 - 45th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali to Ram Mandir in Mumbai on 08/05/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #Lockdown3 #45thday #COVID19 #kandivali #mask #rammandirstation #goregaon,2020-05-09 13:56:41+00:00,0,0,#satejshinde #midday #middayonline #twitterphoto #Lockdown3 #45thday #COVID19 #kandivali #mask #rammandirstation #goregaon,Mumbai,SET 02 45th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali to Ram Mandir in Mumbai on 08 05 2020 satejshinde midday middayonline twitterphoto Lockdown3 45thday COVID19 kandivali mask rammandirstation goregaon,[],,,,,,,
SET 01 - 45th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali to Ram Mandir in Mumbai on 08/05/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #Lockdown3 #45thday #COVID19 #kandivali #mask #rammandirstation #goregaon,2020-05-09 13:55:31+00:00,0,1,#satejshinde #midday #middayonline #twitterphoto #Lockdown3 #45thday #COVID19 #kandivali #mask #rammandirstation #goregaon,Mumbai,SET 01 45th day of nationwide lockdown 3 to coronavirus pandemic at Kandivali to Ram Mandir in Mumbai on 08 05 2020 satejshinde midday middayonline twitterphoto Lockdown3 45thday COVID19 kandivali mask rammandirstation goregaon,[],,,,,,,
Jana Sewa Foundation donated #faceshields to #CovidWarriors Sanitizing the Areas at Marol Andheri East . #COVID19 #bmc #Mumbai #indiafightcoronavirus – at Marol Fire Brigade Station,2020-05-09 13:49:26+00:00,0,0,#faceshields #CovidWarriors #COVID19 #bmc #Mumbai #indiafightcoronavirus,Mumbai,Jana Sewa Foundation donated faceshields to CovidWarriors Sanitizing the Areas at Marol Andheri East COVID19 bmc Mumbai indiafightcoronavirus at Marol Fire Brigade Station,[],,,,,,,
What a evening...... #evening #sunsetphotography #sunset #sun #nature #covid19 #scenery #framing #landscapephotography #clouds #abstract #ankitmangalphotography @Single Shot Media https://www.instagram.com/p/B_9-NJTlaYq/?igshid=zb99e7gizcfo,2020-05-09 13:11:21+00:00,0,1,#evening #sunsetphotography #sunset #sun #nature #covid19 #scenery #framing #landscapephotography #clouds #abstract #ankitmangalphotography,Mumbai,What a evening evening sunsetphotography sunset sun nature covid19 scenery framing landscapephotography clouds abstract ankitmangalphotography Shot Media,"[{'score': 0.836059, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
#Mumbai's #Dharavi area reports 25 new #COVID19 cases on Saturday including one dead. Total number of Covid-19 cases now in the locality stands at 833 which includes 27 deaths. #coronavirusinmumbai #CautionYesPanicNo,2020-05-09 12:34:16+00:00,0,0,#Mumbai #Dharavi #COVID19 #coronavirusinmumbai #CautionYesPanicNo,Mumbai,Mumbai s Dharavi area reports 25 new COVID19 cases on Saturday including one dead Total number of Covid 19 cases now in the locality stands at 833 which includes 27 deaths coronavirusinmumbai CautionYesPanicNo,[],,,,,,,
"2 new #COVID19 positive cases reported in Ganjam and Nayagarh, taking the total number of positive cases in the state to 289: #Odisha Health Department",2020-05-09 12:31:52+00:00,0,0,#COVID19 #Odisha,Mumbai,2 new COVID19 positive cases reported in Ganjam and Nayagarh taking the total number of positive cases in the state to 289 Odisha Health Department,"[{'score': 0.705774, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"6 new #COVID19 positive cases reported in the last 24 hours; till now, a total of 100 personnel (all in #Delhi) have tested positive for COVID19: Indo-Tibetan Border Police (ITBP)",2020-05-09 12:31:21+00:00,0,0,#COVID19 #Delhi,Mumbai,6 new COVID19 positive cases reported in the last 24 hours till now a total of 100 personnel all in Delhi have tested positive for COVID19 Indo Tibetan Border Police ITBP,"[{'score': 0.659997, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.877839, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"Two foreign returnees have tested positive for #COVID19 in #Kerala today, taking total number of active cases to 17 in the state: Chief Minister Pinarayi Vijayan",2020-05-09 12:30:55+00:00,0,0,#COVID19 #Kerala,Mumbai,Two foreign returnees have tested positive for COVID19 in Kerala today taking total number of active cases to 17 in the state Chief Minister Pinarayi Vijayan,"[{'score': 0.512886, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,1.0,,
"A 7-member team led by Director Health Services, with representatives from WHO & Regional Medical Research Center of ICMR, is being sent to Ganjam (which has reported 89 #COVID19 cases) for strengthening containment, surveillance &amp; medical response: Odisha Health Department",2020-05-09 12:29:56+00:00,0,0,#COVID19,Mumbai,A 7 member team led by Director Health Services with representatives from WHO Regional Medical Research Center of ICMR is being sent to Ganjam which has reported 89 COVID19 cases for strengthening containment surveillance amp medical response Odisha Health Department,[],,,,,,,
"41 new cases of #COVID19 have been reported in #Karnataka today, taking total number of cases to 794 including 30 deaths &amp; 386 discharges. Number of active cases stands at 377: Karnataka Health Department",2020-05-09 12:29:43+00:00,0,0,#COVID19 #Karnataka,Mumbai,41 new cases of COVID19 have been reported in Karnataka today taking total number of cases to 794 including 30 deaths amp 386 discharges Number of active cases stands at 377 Karnataka Health Department,[],,,,,,,
"9)Dizziness, lightheadedness and fainting. In case you experience any of these symptoms contact +919920232342. . . . . . . . . #covi̇d #behome #precautions #bettersafethansorry #doctors #doctorlife #weareone #awareness #mumbai #mumbaikar #stayindoors #COVID19 #coronavirus",2020-05-09 11:50:25+00:00,1,1,#covi #behome #precautions #bettersafethansorry #doctors #doctorlife #weareone #awareness #mumbai #mumbaikar #stayindoors #COVID19 #coronavirus,Mumbai,9 Dizziness lightheadedness and fainting In case you experience any of these symptoms contact 919920232342 covi d behome precautions bettersafethansorry doctors doctorlife weareone awareness mumbai mumbaikar stayindoors COVID19 coronavirus,[],,,,,,,
Organizations need to be battle ready for the next challenging phase & focus on digitizing the supply chain. #strategyshift #businessstrategy #supplychain #covid19 Source - @EconomicTimes,2020-05-09 11:40:36+00:00,1,0,#strategyshift #businessstrategy #supplychain #covid19,Mumbai,Organizations need to be battle ready for the next challenging phase focus on digitizing the supply chain strategyshift businessstrategy supplychain covid19 Source,[],,,,,,,
Great sign at @FedExIndia office in #Mumbai. Sums up the best way to think about #SocialDistancing for #COVID19 today in #India and the world. – at fedex,2020-05-09 11:36:20+00:00,0,0,#Mumbai #SocialDistancing #COVID19 #India,Mumbai,Great sign at office in Mumbai Sums up the best way to think about SocialDistancing for COVID19 today in India and the world at fedex,"[{'score': 0.796051, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.5449, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
@CMOMaharashtra @rajeshtope11 @PMOIndia @AmitShah @drharshvardhan @SKThakur56 @News18India @manashTOI This video is of SION Govt hospital ward no.2--- where 2 patients on one bed Where is social distancing? This is how #COVID19 treated? @MumbaiPolice #DMER @WHO @swatidTOI,2020-05-09 11:19:02+00:00,1,1,#COVID19 #DMER,Mumbai,This video is of SION Govt hospital ward no 2 where 2 patients on one bed Where is social distancing This is how COVID19 treated DMER,"[{'score': 0.724406, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"This is how Mumbai municipal corporation hospitals have been, 2 pts on a bed, floor beds, shortage of medicines even without #COVID19. Shiv Sena ruled BMC had time to prepare. Did they? @OfficeofUT @AUThackeray",2020-05-09 11:01:53+00:00,30,35,#COVID19,Mumbai,This is how Mumbai municipal corporation hospitals have been 2 pts on a bed floor beds shortage of medicines even without COVID19 Shiv Sena ruled BMC had time to prepare Did they,[],,,,,,,
Long sleeps in Quarantine life is surely one thing we all are enjoying to the core. . . . . #LongPost #TrendingPost #stayhome #staysafe #COVID19 #coronaindia #LSAuxiChemPvtLtd,2020-05-09 10:48:59+00:00,0,1,#LongPost #TrendingPost #stayhome #stayhome #staysafe #COVID19 #coronaindia #LSAuxiChemPvtLtd,Mumbai,Long sleeps in Quarantine life is surely one thing we all are enjoying to the core LongPost TrendingPost stayhome staysafe COVID19 coronaindia LSAuxiChemPvtLtd,"[{'score': 0.778289, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.812632, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
Game Of #Modi #गद्दार_मोदी_लुटेरा_है #AntiNationalNarendraModi #BJPTheRealAntiNational #BJP #AccheDin #BJPwithTerrorists #Covid19 #Mumbai #Maharashtra #ModiGovtFailsIndia #PMCaresFund_का_हिसाब_दो #IndiaIsNotWithZeeNews #BJPKillsFederalism #BjpFails https://twitter.com/SatyaPrakashAAP/status/1259069796538179584,2020-05-09 10:42:21+00:00,3,1,#Modi #AntiNationalNarendraModi #BJPTheRealAntiNational #BJP #AccheDin #BJPwithTerrorists #Covid19 #Mumbai #Maharashtra #ModiGovtFailsIndia #PMCaresFund_ #IndiaIsNotWithZeeNews #BJPKillsFederalism #BjpFails,Mumbai,Game Of Modi AntiNationalNarendraModi BJPTheRealAntiNational BJP AccheDin BJPwithTerrorists Covid19 Mumbai Maharashtra ModiGovtFailsIndia PMCaresFund IndiaIsNotWithZeeNews BJPKillsFederalism BjpFails,[],,,,,,,
@mybmcWardL @mybmc @mybmcPHD We have a confirmed #COVID19 patient in our society (Palazzio she is already admitted at sevenhills hospital. We haven’t received any help/instructions on quarantine from authorities. Please help ! Please contact Naved 9821705650,2020-05-09 10:11:42+00:00,0,1,#COVID19,Mumbai,We have a confirmed COVID19 patient in our society Palazzio she is already admitted at sevenhills hospital We haven t received any help instructions on quarantine from authorities Please help Please contact Naved 9821705650,"[{'score': 0.669153, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"Close Friends n Relatives expressing condolences to a Family at Delhi, who lost their dear one due to Covid. Even they are not able to Come out of the Cars to Express/Share the grief. Pls take care it’s a sad situation #ChinaLiedPeopleDied #COVID19 #StayHome #Condolences",2020-05-09 10:08:12+00:00,0,1,#ChinaLiedPeopleDied #COVID19 #StayHome #StayHome #Condolences,Mumbai,Close Friends n Relatives expressing condolences to a Family at Delhi who lost their dear one due to Covid Even they are not able to Come out of the Cars to Express Share the grief Pls take care it s a sad situation ChinaLiedPeopleDied COVID19 StayHome Condolences,"[{'score': 0.938617, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.570513, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
YOUR GENEROSITY HAS HELPED US FEED HUNDREDS OF NEEDY.@zeeshan_iyc #support #covid19 #FeedTheNeedy #donate #helpus #share #supportlocal #follow #Covid_19 #lockdown #HelpingOthers #CareForAll #care #givetogethernow,2020-05-09 09:25:26+00:00,1,2,#support #covid19 #FeedTheNeedy #donate #helpus #share #supportlocal #follow #Covid_19 #lockdown #HelpingOthers #CareForAll #care #givetogethernow,Mumbai,YOUR GENEROSITY HAS HELPED US FEED HUNDREDS OF NEEDY iyc support covid19 FeedTheNeedy donate helpus share supportlocal follow Covid 19 lockdown HelpingOthers CareForAll care givetogethernow,"[{'score': 0.532727, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
#COVID19 | #Mumbai municipal commissioner Iqbal Singh Chahal on the first day after taking charge visits Nair Hospital and reviews overall preparedness of the hosp in dealing with the #CoronavirusPandemic . He will also visit #Dharavi area which is among the worst affected.,2020-05-09 08:39:52+00:00,1,0,#COVID19 #Mumbai #CoronavirusPandemic #Dharavi,Mumbai,COVID19 Mumbai municipal commissioner Iqbal Singh Chahal on the first day after taking charge visits Nair Hospital and reviews overall preparedness of the hosp in dealing with the CoronavirusPandemic He will also visit Dharavi area which is among the worst affected,[],,,,,,,
"Primary #Ashtaangyoga | Best immunity booster,The best way to fight anything is build yourself internally strong.Mantra chants/yoga /#meditation /rising early in the morning /Staying lite on your stomach / not eating post sunset #covidimmunity #covid19 #fighter #internalmedicine",2020-05-09 08:39:43+00:00,6,19,#Ashtaangyoga #meditation #covidimmunity #covid19 #fighter #internalmedicine,Mumbai,Primary Ashtaangyoga Best immunity booster The best way to fight anything is build yourself internally strong Mantra chants yoga meditation rising early in the morning Staying lite on your stomach not eating post sunset covidimmunity covid19 fighter internalmedicine,"[{'score': 0.910081, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Home made Ragda Pattice by Chef Momma.. not missing #streetfood anymore. #streetfoodathome #lockdownlife #covıd19 . . Follow TheHungerBlogger Instastories for live updates on food,travel,fitness &amp; lifestyle..Lets… https://www.instagram.com/p/B_9cBM2HER7/?igshid=1me5qygxmk54a",2020-05-09 08:12:37+00:00,0,0,#streetfood #streetfoodathome #lockdownlife #cov,Mumbai,Home made Ragda Pattice by Chef Momma not missing streetfood anymore streetfoodathome lockdownlife cov d19 Follow TheHungerBlogger Instastories for live updates on food travel fitness amp lifestyle Lets,"[{'score': 0.835341, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
13 more Central Industrial Security Force (#CISF) personnel tested positive for #COVID19 in last 24 hours; 48 CISF personnel have tested COVID19 positive till date: CISF (ANI),2020-05-09 08:11:43+00:00,0,0,#CISF #COVID19,Mumbai,13 more Central Industrial Security Force CISF personnel tested positive for COVID19 in last 24 hours 48 CISF personnel have tested COVID19 positive till date CISF ANI,"[{'score': 0.504978, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.763553, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"3320 more #COVID19 cases &amp; 95 deaths reported in last 24 hours. Total number of cases in #India rises to 59662, including 39834 active cases, 17847 cured/discharged/migrated, and 1981 deaths: Ministry of Health and Family Welfare",2020-05-09 08:01:52+00:00,0,0,#COVID19 #India,Mumbai,3320 more COVID19 cases amp 95 deaths reported in last 24 hours Total number of cases in India rises to 59662 including 39834 active cases 17847 cured discharged migrated and 1981 deaths Ministry of Health and Family Welfare,"[{'score': 0.590103, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
57 new #COVID19 positive cases have been reported today taking the total number of positive cases to 3636. Death toll is at 103: #Rajasthan Health Department,2020-05-09 08:00:58+00:00,0,0,#COVID19 #Rajasthan,Mumbai,57 new COVID19 positive cases have been reported today taking the total number of positive cases to 3636 Death toll is at 103 Rajasthan Health Department,"[{'score': 0.66092, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.839923, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
Ministry of Health & Family Welfare (MoHFW) issues revised discharge policy for #COVID19 patients. ,2020-05-09 08:00:35+00:00,0,0,#COVID19,Mumbai,Ministry of Health Family Welfare MoHFW issues revised discharge policy for COVID19 patients,[],,,,,,,
