Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,sadness,analytical,confident,tentative,anger,fear
1 Companies will leverage tech to move as many processes online. 2 Speed & responsiveness will improve due to automation. 3 Remote working & WFH etc will be the new normal. 4 New business models 5 Little to no travel. 6 contracts signing is all online #ChangeToSustain #Covid19,2020-04-28 05:40:53+00:00,1,2,#ChangeToSustain #Covid19,Mumbai,1 Companies will leverage tech to move as many processes online 2 Speed responsiveness will improve due to automation 3 Remote working WFH etc will be the new normal 4 New business models 5 Little to no travel 6 contracts signing is all online ChangeToSustain Covid19,[],,,,,,,
‘Speaking for India’ offers bespoke webinars to motivate your audience during these unprecedented times. All proceeds until 15th May 2020 to PM CARES FUND for #COVID19 relief work. Send your speaking inquiries at gaurgopald@gmail.com @narendramodi @PMOIndia,2020-04-28 05:35:04+00:00,16,129,#COVID19,Mumbai,Speaking for India offers bespoke webinars to motivate your audience during these unprecedented times All proceeds until 15th May 2020 to PM CARES FUND for COVID19 relief work Send your speaking inquiries at gaurgopald com,[],,,,,,,
"For those spreading #CommunalVirus dangerous than #COVID19 ! Here is a #TablighiJamat member, one of the first #Plasma donors in Mumbai for #PlasmaTherapy #CoronaWarriors #CovidWarriors",2020-04-28 05:30:53+00:00,0,1,#CommunalVirus #COVID19 #TablighiJamat #Plasma #PlasmaTherapy #CoronaWarriors #CovidWarriors,Mumbai,For those spreading CommunalVirus dangerous than COVID19 Here is a TablighiJamat member one of the first Plasma donors in Mumbai for PlasmaTherapy CoronaWarriors CovidWarriors,[],,,,,,,
Best Bootlicker Award Goes to #tuesdayvibes #arnabinterrogation #ArnabGoswami #SoniaGandhi #COVID19 #Covid_19india,2020-04-28 05:07:57+00:00,0,1,#tuesdayvibes #arnabinterrogation #ArnabGoswami #SoniaGandhi #COVID19 #Covid_19india,Mumbai,Best Bootlicker Award Goes to tuesdayvibes arnabinterrogation ArnabGoswami SoniaGandhi COVID19 Covid 19india,"[{'score': 0.776312, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Urgent critical need for medical items. Support now 23+ strays picked in #covıd19 lockdown. https://www.donatekart.com/AnimalMattersToMe/Help-Animal Or Google pay : 9819380310 Or http://www.amtmindia.org/donate/,2020-04-28 04:56:25+00:00,7,12,#cov,Mumbai,Urgent critical need for medical items Support now 23 strays picked in cov d19 lockdown Or Google pay 9819380310 Or,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
#Lockdown2 #lockdown #COVID19 #Mumbai #Mumbailockdown collection of my mumbai clicks during many photo walks the city which never sleeps is so calm. @CMOMaharashtra @AUThackeray @htTweets @MirchiJeeturaaj @MumbaiPolice special thank to you.,2020-04-28 04:20:13+00:00,1,2,#Lockdown2 #lockdown #COVID19 #Mumbai #Mumbailockdown,Mumbai,Lockdown2 lockdown COVID19 Mumbai Mumbailockdown collection of my mumbai clicks during many photo walks the city which never sleeps is so calm special thank to you,"[{'score': 0.84537, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Turn It Up! #TuesdayMotivation #TuesdayThoughts #tuesdayvibes #tuesdayselfies #Trending #TheChainsmokers #MusicForHope #music #tweetme #SocialDistancing #COVID19 #follo4follo #follobackforfolloback #FolloForFolloBack #LikeForLikes #like4likes #Mayhem #SocialMedia #YouTuber,2020-04-28 04:10:09+00:00,1,4,#TuesdayMotivation #TuesdayThoughts #tuesdayvibes #tuesdayselfies #Trending #TheChainsmokers #MusicForHope #music #tweetme #SocialDistancing #COVID19 #follo4follo #follobackforfolloback #FolloForFolloBack #LikeForLikes #like4likes #Mayhem #SocialMedia #YouTuber,Mumbai,Turn It Up TuesdayMotivation TuesdayThoughts tuesdayvibes tuesdayselfies Trending TheChainsmokers MusicForHope music tweetme SocialDistancing COVID19 follo4follo follobackforfolloback FolloForFolloBack LikeForLikes like4likes Mayhem SocialMedia YouTuber,"[{'score': 0.768489, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Development of #Agriculture sector is the best way to ensure revival of Indian economy. Agriculture, with its allied sectors, is the largest source of livelihoods in India. Development of farm sector is key to ensure economic empowerment of masses #Sustainability #Covid19 ",2020-04-28 04:04:02+00:00,0,0,#Agriculture #Sustainability #Covid19,Mumbai,Development of Agriculture sector is the best way to ensure revival of Indian economy Agriculture with its allied sectors is the largest source of livelihoods in India Development of farm sector is key to ensure economic empowerment of masses Sustainability Covid19,[],,,,,,,
@akshaykumar sir there is a Tribute from side as well for the #COVID19 #Warriors #coronavirus #TeriMitti #AkshayKumar plz do watch it sir #MainHoon,2020-04-28 03:59:01+00:00,1,1,#COVID19 #Warriors #coronavirus #TeriMitti #AkshayKumar #MainHoon,Mumbai,sir there is a Tribute from side as well for the COVID19 Warriors coronavirus TeriMitti AkshayKumar plz do watch it sir MainHoon,"[{'score': 0.55782, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Huge Thank You! to Doctors, Nurses, all Medical Personnel, many of whom are away from their families. Thanks also to everyone who is helping during this crisis. #ThankYouDoctors #ThankYouNurses #ThankYouMedical #COVID #COVID19 #Doctors #HealthcareHeroes",2020-04-28 02:39:04+00:00,0,0,#ThankYouDoctors #ThankYouNurses #ThankYouMedical #COVID #COVID19 #Doctors #HealthcareHeroes,Mumbai,Huge Thank You to Doctors Nurses all Medical Personnel many of whom are away from their families Thanks also to everyone who is helping during this crisis ThankYouDoctors ThankYouNurses ThankYouMedical COVID COVID19 Doctors HealthcareHeroes,"[{'score': 0.628159, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
I always thought Indian Education sector to be recession proof . I was wrong #COVID19,2020-04-28 01:35:26+00:00,0,2,#COVID19,Mumbai,I always thought Indian Education sector to be recession proof I was wrong COVID19,"[{'score': 0.678608, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,1.0,,,
J&K: 23 more people tested positive for #COVID19 in last 24 hours taking the total cases in the Union territory to 546. #CoronaVirusUpdates,2020-04-28 00:06:27+00:00,0,0,#COVID19 #CoronaVirusUpdates,Mumbai,J K 23 more people tested positive for COVID19 in last 24 hours taking the total cases in the Union territory to 546 CoronaVirusUpdates,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
"Mumbra Police Station Senior Police Inspector recovered from Corona Virus who tested positive for #COVID19 , recovers, discharged , He receives a warm welcome from DCP and colleagues. @mumbra_citizens Watch Video ",2020-04-27 23:59:00+00:00,1,0,#COVID19,Mumbai,Mumbra Police Station Senior Police Inspector recovered from Corona Virus who tested positive for COVID19 recovers discharged He receives a warm welcome from DCP and colleagues citizens Watch Video,"[{'score': 0.630376, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
#Police should be always unbiased during their duties. #MumbaiPolice @MumbaiPolice @CPMumbaiPolice #lockdownhustle #coronavirus #RepublicTV #Interrogation #COVID19 #ArnabGoswami,2020-04-27 23:35:27+00:00,1,4,#Police #MumbaiPolice #lockdownhustle #coronavirus #RepublicTV #Interrogation #COVID19 #ArnabGoswami,Mumbai,Police should be always unbiased during their duties MumbaiPolice lockdownhustle coronavirus RepublicTV Interrogation COVID19 ArnabGoswami,"[{'score': 0.587989, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,1.0,,,
"असा महापौर होणे नाही... @KishoriPednekar Proud of u ताई..Anything For Mumbai We cant do work from home, we are on the field for you, stay at your home, take care.... #covid19 At Nair Hospital #Hatsoff @uddhavthackeray @CMOMaharashtra @AUThackeray ",2020-04-27 22:23:42+00:00,1,3,#covid19 #Hatsoff,Mumbai,Proud of u Anything For Mumbai We cant do work from home we are on the field for you stay at your home take care covid19 At Nair Hospital Hatsoff,"[{'score': 0.500501, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
""" When the power of Love overcomes the Love of Power, the world will know PEACE."" India will always lead the peace & PM @narendramodi as a Peace Ambassador. @realDonaldTrump @KremlinRussia_E #TogetherWeCan #pandemic #COVID19 #India",2020-04-27 21:38:33+00:00,0,2,#TogetherWeCan #pandemic #COVID19 #India,Mumbai,When the power of Love overcomes the Love of Power the world will know PEACE India will always lead the peace PM as a Peace Ambassador E TogetherWeCan pandemic COVID19 India,"[{'score': 0.896645, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.519491, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
10 Indonesians who attended the religious meet at #Nizamuddinmarkaz in #Delhi in March recently arrested by #MumbaiPolice under various sections of IPC on completion of their #quarantine period (@airnewsalerts ) #coronavirus #COVID19 #StayHome #CoronavirusOutbreak,2020-04-27 21:16:54+00:00,0,0,#Nizamuddinmarkaz #Delhi #MumbaiPolice #quarantine #coronavirus #COVID19 #StayHome #StayHome #CoronavirusOutbreak,Mumbai,10 Indonesians who attended the religious meet at Nizamuddinmarkaz in Delhi in March recently arrested by MumbaiPolice under various sections of IPC on completion of their quarantine period coronavirus COVID19 StayHome CoronavirusOutbreak,[],,,,,,,
A Film by Aditya varma. Voice over written by Ritwika Pal https://youtu.be/PxupKU-XymA #StayHomeStaySafe #StayHomeIndia #StayHome #StayAtHomeChallenge #Filmmaker #ArtistsAtHomeSessions #Artist #birdwatching #COVID2019india #COVID #COVID19 ,2020-04-27 20:26:53+00:00,0,3,#StayHomeStaySafe #StayHomeIndia #StayHome #StayHome #StayAtHomeChallenge #Filmmaker #ArtistsAtHomeSessions #Artist #birdwatching #COVID2019india #COVID #COVID19,Mumbai,A Film by Aditya varma Voice over written by Ritwika Pal StayHomeStaySafe StayHomeIndia StayHome StayAtHomeChallenge Filmmaker ArtistsAtHomeSessions Artist birdwatching COVID2019india COVID COVID19,"[{'score': 0.644813, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Join us for a FREE, LIVE #Webinar on ""#CorporateIntelligence &amp; Monitoring by @aparnaguddad, Team Manager, @MitKat_Advisory "" Tuesday, April 28 at 11:00 AM. You can register here : https://bit.ly/2KqEgea #geopolitical #Pandemic #lockdownlearning #covid19 ",2020-04-27 19:12:06+00:00,3,3,#Webinar #CorporateIntelligence #geopolitical #Pandemic #lockdownlearning #covid19,Mumbai,Join us for a FREE LIVE Webinar on CorporateIntelligence amp Monitoring by Team Manager Advisory Tuesday April 28 at 11 00 AM You can register here geopolitical Pandemic lockdownlearning covid19,"[{'score': 0.642724, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"#Mumbai which currently has maximum no of #COVID19 cases in #India ,also it's amongst the coastal cities warned of submersion due to rising sealevels by 2050,but no lessons learnt yet,100s of acres of sea being reclaimed here for #coastalroad even during #lockdown @GretaThunberg",2020-04-27 18:34:27+00:00,16,32,#Mumbai #COVID19 #India #coastalroad #lockdown,Mumbai,Mumbai which currently has maximum no of COVID19 cases in India also it s amongst the coastal cities warned of submersion due to rising sealevels by 2050 but no lessons learnt yet 100s of acres of sea being reclaimed here for coastalroad even during lockdown,"[{'score': 0.602352, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
Another twist of conspiracy theory on #Covid19 ! ,2020-04-27 18:10:06+00:00,0,0,#Covid19,Mumbai,Another twist of conspiracy theory on Covid19,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
"20 police personnel have contracted #COVID19 in #MORADABAD, #Kanpur City, #Bijnor, #Varanasi and #Agra. They have been admitted to different hospitals: Police___ANI",2020-04-27 18:04:13+00:00,0,0,#COVID19 #MORADABAD #Kanpur #Bijnor #Varanasi #Agra,Mumbai,20 police personnel have contracted COVID19 in MORADABAD Kanpur City Bijnor Varanasi and Agra They have been admitted to different hospitals Police ANI,[],,,,,,,
"While the world is fighting #Covid19, we are fighting against democracy. ",2020-04-27 18:03:28+00:00,1,0,#Covid19,Mumbai,While the world is fighting Covid19 we are fighting against democracy,[],,,,,,,
Bezubaan- They Deserve Better an @asbbtrust initiative ASBB feeding love during #COVID19...... #day32,2020-04-27 17:38:49+00:00,2,2,#COVID19 #day32,Mumbai,Bezubaan They Deserve Better an initiative ASBB feeding love during COVID19 day32,"[{'score': 0.810514, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
@aditinramesh outlines data rights in the time of #covid19 #datarights,2020-04-27 17:36:24+00:00,0,2,#covid19 #datarights,Mumbai,outlines data rights in the time of covid19 datarights,[],,,,,,,
Time Pass on self timer mode #lockdown #lockdownphotochallenge #coronavirus #COVID19 ,2020-04-27 17:10:06+00:00,5,150,#lockdown #lockdownphotochallenge #coronavirus #COVID19,Mumbai,Time Pass on self timer mode lockdown lockdownphotochallenge coronavirus COVID19,[],,,,,,,
#COVID19 death toll rises to 19 in #Punjab after 63-year-old woman dies in #patiala; total cases 330 after 8 people test positive – 5 in Tarn Taran &amp; 3 in #Kapurthala,2020-04-27 17:09:52+00:00,0,0,#COVID19 #Punjab #patiala #Kapurthala,Mumbai,COVID19 death toll rises to 19 in Punjab after 63 year old woman dies in patiala total cases 330 after 8 people test positive 5 in Tarn Taran amp 3 in Kapurthala,"[{'score': 0.602528, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
Just imagine what kids are going thru during this #lockdown #lockdownhustle due to #COVIDー19 #COVID19 #coronavirus my son trying to #SecureTheGlobe in #CoronavirusOutbreak,2020-04-27 17:06:28+00:00,2,1,#lockdown #lockdownhustle #COVID #COVID19 #coronavirus #SecureTheGlobe #CoronavirusOutbreak,Mumbai,Just imagine what kids are going thru during this lockdown lockdownhustle due to COVID 19 COVID19 coronavirus my son trying to SecureTheGlobe in CoronavirusOutbreak,"[{'score': 0.63698, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.716804, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
190 new #COVID19 positive cases have been reported in #Delhi today; taking the total number of positive cases to 3108. Total death toll stands at 54 and 877 patients have recovered: Government of Delhi,2020-04-27 17:00:39+00:00,0,0,#COVID19 #Delhi,Mumbai,190 new COVID19 positive cases have been reported in Delhi today taking the total number of positive cases to 3108 Total death toll stands at 54 and 877 patients have recovered Government of Delhi,"[{'score': 0.816764, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
"#COVID19 cases rise to 2,165 in #MadhyaPradesh after 75 people, including 31 in Indore, test positive; death toll 110 after 7 fatalities - 3 each in #Indore &amp; #Bhopal, and 1 in #Mandsaur: Health Department__PTI",2020-04-27 16:58:34+00:00,0,0,#COVID19 #MadhyaPradesh #Indore #Bhopal #Mandsaur,Mumbai,COVID19 cases rise to 2 165 in MadhyaPradesh after 75 people including 31 in Indore test positive death toll 110 after 7 fatalities 3 each in Indore amp Bhopal and 1 in Mandsaur Health Department PTI,[],,,,,,,
"No new #COVID19 case in #HimachalPradesh for past 4 days, active cases 10: Health Department official_ PTI",2020-04-27 16:56:08+00:00,0,0,#COVID19 #HimachalPradesh,Mumbai,No new COVID19 case in HimachalPradesh for past 4 days active cases 10 Health Department official PTI,[],,,,,,,
"#COVID19 cases rise to 301 in #Haryana after 5 people test positive -- first case in #Jhajjar, 2 in #Sonipat, 1 each #Faridabad &amp; #Ambala districts; active cases 85",2020-04-27 16:51:37+00:00,0,0,#COVID19 #Haryana #Jhajjar #Sonipat #Faridabad #Ambala,Mumbai,COVID19 cases rise to 301 in Haryana after 5 people test positive first case in Jhajjar 2 in Sonipat 1 each Faridabad amp Ambala districts active cases 85,"[{'score': 0.619514, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.527804, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
"Till date, 2165 cases of #COVID19 have been reported in #MadhyaPradesh and 110 people have lost their lives. Indore has recorded 1207 cases &amp; 60 deaths while in #Bhopal there are 428 cases &amp; 12 deaths: Health Department, Madhya Pradesh",2020-04-27 16:49:45+00:00,1,0,#COVID19 #MadhyaPradesh #Bhopal,Mumbai,Till date 2165 cases of COVID19 have been reported in MadhyaPradesh and 110 people have lost their lives Indore has recorded 1207 cases amp 60 deaths while in Bhopal there are 428 cases amp 12 deaths Health Department Madhya Pradesh,"[{'score': 0.705714, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"Total 77 #COVID19 cases reported in Rajasthan today - 25 in Jaipur, 11 in Jodhpur, 10 in Jhalawar, 8 in Tonk, 7 each in #Kota &amp; Chittorgarh, 3 in Nagour, 2 in Bhilwara and 1 each in Ajmer, Jaisalmer, Pali &amp; Udaipur. Total no.of positive cases here rises to 2262: State Health Dept",2020-04-27 16:48:58+00:00,0,1,#COVID19 #Kota,Mumbai,Total 77 COVID19 cases reported in Rajasthan today 25 in Jaipur 11 in Jodhpur 10 in Jhalawar 8 in Tonk 7 each in Kota amp Chittorgarh 3 in Nagour 2 in Bhilwara and 1 each in Ajmer Jaisalmer Pali amp Udaipur Total no of positive cases here rises to 2262 State Health Dept,[],,,,,,,
"Eight new #COVID19 positive cases have been reported in #Punjab today; taking the total number of positive cases to 330: Department of Health, Punjab",2020-04-27 16:47:54+00:00,0,0,#COVID19 #Punjab,Mumbai,Eight new COVID19 positive cases have been reported in Punjab today taking the total number of positive cases to 330 Department of Health Punjab,"[{'score': 0.607085, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.859692, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
"#Maharashtra recorded its highest single-day #Covid19 death toll at 27, the biggest jump in casualties since 25 people succumbed to the dreaded virus on April 9, health officials said on Monday. #COVIDー19… https://www.instagram.com/p/B_fcDdgF82z/?igshid=e3aqabfghk8x",2020-04-27 16:35:43+00:00,1,1,#Maharashtra #Covid19 #COVID,Mumbai,Maharashtra recorded its highest single day Covid19 death toll at 27 the biggest jump in casualties since 25 people succumbed to the dreaded virus on April 9 health officials said on Monday COVID 19,[],,,,,,,
We are there with you #COVID19 #royaldentalclinics #IndiaFightsCorona,2020-04-27 16:35:32+00:00,0,0,#COVID19 #royaldentalclinics #IndiaFightsCorona,Mumbai,We are there with you COVID19 royaldentalclinics IndiaFightsCorona,[],,,,,,,
"@PMOIndia @HMOIndia IT IS UNDERSTOOD THAT THE STATE GOVERNMENT LIKE IN #MAHARASHTRA TO GET THE FACTORY WORK PERMISSION EVEN FOR ESSENTIAL SUPPLY CHAIN PRODUCTS,IT IS THE COMPANY's responsibility to maintain all the Necessary State requirement! BUT WHO WILL PAY THIS COST? #covid19",2020-04-27 16:01:07+00:00,0,0,#MAHARASHTRA #covid19,Mumbai,IT IS UNDERSTOOD THAT THE STATE GOVERNMENT LIKE IN MAHARASHTRA TO GET THE FACTORY WORK PERMISSION EVEN FOR ESSENTIAL SUPPLY CHAIN PRODUCTS IT IS THE COMPANY s responsibility to maintain all the Necessary State requirement BUT WHO WILL PAY THIS COST covid19,"[{'score': 0.700909, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,1.0,
"#Maharashtra reports 522 positive Covid-19 cases today, taking the total cases to 8590. With 27 new deaths, the total death count in the State is 369. #Mumbai cases have increased to 5776 with 219 deaths. 1282 patients have been discharged so far in the State. #COVID19",2020-04-27 15:37:06+00:00,3,4,#Maharashtra #Mumbai #COVID19,Mumbai,Maharashtra reports 522 positive Covid 19 cases today taking the total cases to 8590 With 27 new deaths the total death count in the State is 369 Mumbai cases have increased to 5776 with 219 deaths 1282 patients have been discharged so far in the State COVID19,"[{'score': 0.591381, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.55576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.560944, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,1.0,,,
#coronavirus #Maharashtra #UPDATE ◆ 522 New #COVID19 cases in last 24 hrs ◆ 27 deaths (Total 369) ◆ Total cases 8590 #Mumbai ◆369 New cases in last 24 hrs ◆ Total cases in Mumbai 5776 ◆ Deaths15 (Total 219) 1282 Recovered till date. #MaharashtraFightsCorona,2020-04-27 15:14:02+00:00,0,1,#coronavirus #Maharashtra #UPDATE #COVID19 #Mumbai #MaharashtraFightsCorona,Mumbai,coronavirus Maharashtra UPDATE 522 New COVID19 cases in last 24 hrs 27 deaths Total 369 Total cases 8590 Mumbai 369 New cases in last 24 hrs Total cases in Mumbai 5776 Deaths15 Total 219 1282 Recovered till date MaharashtraFightsCorona,"[{'score': 0.526489, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.628634, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"New 247 #COVID19 positive cases have been reported in #Gujarat in last 24 hours. Total positive cases rise to 3548 which includes 394 cured/discharged and 162 deaths: Health Department, Gujarat",2020-04-27 14:56:00+00:00,0,0,#COVID19 #Gujarat,Mumbai,New 247 COVID19 positive cases have been reported in Gujarat in last 24 hours Total positive cases rise to 3548 which includes 394 cured discharged and 162 deaths Health Department Gujarat,"[{'score': 0.635089, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.790402, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
Auto rickshaws parked on street during nationwide lockdown against COVID-19 Mumbai #lockdown2020 #nationwidelockdown #lockdownphoto #offbeatphoto #COVID19 #coronavirus #autorickshaw #transport #transportlockdown #mumbai #photojournalist #tweetphoto #mumbai #india #milind_shelte,2020-04-27 14:41:27+00:00,0,2,#lockdown2020 #nationwidelockdown #lockdownphoto #offbeatphoto #COVID19 #coronavirus #autorickshaw #transport #transportlockdown #mumbai #photojournalist #tweetphoto #mumbai #india #milind_shelte,Mumbai,Auto rickshaws parked on street during nationwide lockdown against COVID 19 Mumbai lockdown2020 nationwidelockdown lockdownphoto offbeatphoto COVID19 coronavirus autorickshaw transport transportlockdown mumbai photojournalist tweetphoto mumbai india milind shelte,[],,,,,,,
"Who else is missing such #streetfoods ? #lockdownlife #covıd19 . . Follow TheHungerBlogger Instastories for live updates on food,travel,fitness &amp; lifestyle..Lets talk.. . . #thehungerblogger #food… https://www.instagram.com/p/B_fJQIQHIUj/?igshid=hxqgyj8ri26n",2020-04-27 13:51:26+00:00,0,0,#streetfoods #lockdownlife #cov #thehungerblogger #food,Mumbai,Who else is missing such streetfoods lockdownlife cov d19 Follow TheHungerBlogger Instastories for live updates on food travel fitness amp lifestyle Lets talk thehungerblogger food,"[{'score': 0.645993, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Karnataka: A 57-year-old man who had tested positive for #COVID19 passed away today; death toll rises to 5 in Kalaburagi district. The deceased was admitted to Gulbarga Institute of Medical Sciences with breathing problems.,2020-04-27 13:44:35+00:00,0,0,#COVID19,Mumbai,Karnataka A 57 year old man who had tested positive for COVID19 passed away today death toll rises to 5 in Kalaburagi district The deceased was admitted to Gulbarga Institute of Medical Sciences with breathing problems,"[{'score': 0.870765, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"13 new cases of #COVID19 have been reported in #Dharavi area of #Mumbai today, taking the total number of cases to 288 including 14 death: Brihanmumbai Municipal Corporation (BMC)",2020-04-27 13:44:20+00:00,0,0,#COVID19 #Dharavi #Mumbai,Mumbai,13 new cases of COVID19 have been reported in Dharavi area of Mumbai today taking the total number of cases to 288 including 14 death Brihanmumbai Municipal Corporation BMC,[],,,,,,,
"Nine new cases of #COVID19 have been reported in #Karnataka in the last 24 hours, taking the total number of cases to 512 including 19 deaths &amp; 193 discharges. Number of active cases stands at 299: #Karnataka Health Department",2020-04-27 13:16:01+00:00,0,0,#COVID19 #Karnataka #Karnataka,Mumbai,Nine new cases of COVID19 have been reported in Karnataka in the last 24 hours taking the total number of cases to 512 including 19 deaths amp 193 discharges Number of active cases stands at 299 Karnataka Health Department,[],,,,,,,
"A 34-year-old man has been found positive for #COVID19 in #Jajpur, taking the total number of cases to 111 in #Odisha: State Health Department",2020-04-27 13:15:17+00:00,0,0,#COVID19 #Jajpur #Odisha,Mumbai,A 34 year old man has been found positive for COVID19 in Jajpur taking the total number of cases to 111 in Odisha State Health Department,"[{'score': 0.588203, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
"In the wake of #COVID19 lockdown, #HaryanaPolice has issued an advisory requesting citizens not to share any personal information or respond to suspicious links on #WhatsApp or #email as it could result in funds being siphon off from their bank accounts: #HaryanaPolice",2020-04-27 13:14:21+00:00,0,0,#COVID19 #HaryanaPolice #WhatsApp #email #HaryanaPolice,Mumbai,In the wake of COVID19 lockdown HaryanaPolice has issued an advisory requesting citizens not to share any personal information or respond to suspicious links on WhatsApp or email as it could result in funds being siphon off from their bank accounts HaryanaPolice,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.845297, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,1.0,,
"Total of 14 patients were found positive, of which there are 6 health workers. Total positive patients till now are 129: District Surveillance Officer, Gautam Buddh Nagar #COVID19",2020-04-27 13:13:24+00:00,0,2,#COVID19,Mumbai,Total of 14 patients were found positive of which there are 6 health workers Total positive patients till now are 129 District Surveillance Officer Gautam Buddh Nagar COVID19,"[{'score': 0.605535, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.866237, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
"1463 new cases and 60 deaths reported in the last 24 hours. This is the highest death toll reported in 24 hours. #India's total number of #COVID19 positive cases reported stands at 28,380 (including 6362 cured/migrated and 886 deaths) ",2020-04-27 13:07:47+00:00,0,0,#India #COVID19,Mumbai,1463 new cases and 60 deaths reported in the last 24 hours This is the highest death toll reported in 24 hours India s total number of COVID19 positive cases reported stands at 28 380 including 6362 cured migrated and 886 deaths,"[{'score': 0.63525, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"Four new #COVID19 cases have been reported in #Chandigarh today; taking the total number of positive cases to 40: Health Department, #Chandigarh",2020-04-27 13:06:50+00:00,0,0,#COVID19 #Chandigarh #Chandigarh,Mumbai,Four new COVID19 cases have been reported in Chandigarh today taking the total number of positive cases to 40 Health Department Chandigarh,"[{'score': 0.621214, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.735644, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
Odisha CM Naveen Patnaik has announced Rs 15 lakh compassionate assistance to families of working journalists who may lose life to #COVID19 infection: Odisha Chief Minister's Office ,2020-04-27 13:04:58+00:00,0,1,#COVID19,Mumbai,Odisha CM Naveen Patnaik has announced Rs 15 lakh compassionate assistance to families of working journalists who may lose life to COVID19 infection Odisha Chief Minister s Office,[],,,,,,,
No new #COVID19 case reported in #Uttarakhand today. The total number of cases in the state stands at 51: State Health Department,2020-04-27 13:04:43+00:00,0,0,#COVID19 #Uttarakhand,Mumbai,No new COVID19 case reported in Uttarakhand today The total number of cases in the state stands at 51 State Health Department,"[{'score': 0.541591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
