Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,confident,analytical,sadness,tentative,fear,anger
"Mumbai has given everything to all,Mumbaikars gave verdict in2019 only 5/36 MLAs from UPA were elected.irony is though rejected 3of5 became ministers.lust for power and greed superseeds,this is what @INCIndia does #माझाकाय even in #Covid19 crisis @Dev_Fadnavis #MaharashtraBachao",2020-05-24 06:44:02+00:00,110,212,#Covid19 #MaharashtraBachao,Mumbai,Mumbai has given everything to all Mumbaikars gave verdict in2019 only 5 36 MLAs from UPA were elected irony is though rejected 3of5 became ministers lust for power and greed superseeds this is what does even in Covid19 crisis Fadnavis MaharashtraBachao,"[{'score': 0.608761, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,1.0,,,
 Social distancing Proper Hygiene protocol Complete isolation of prisoners All these safety measures to prevent #COVID19 are not possible in jails. So government should take steps to prevent #CoronaRiskInJail,2020-05-24 06:26:04+00:00,1,1,#COVID19 #CoronaRiskInJail,Mumbai,Social distancing Proper Hygiene protocol Complete isolation of prisoners All these safety measures to prevent COVID19 are not possible in jails So government should take steps to prevent CoronaRiskInJail,[],,,,,,,
"» #noeidshopping – spend the saved money to feed the poor in our neighbourhood, town and city #keepyourheartclean #goodwill #humanfamily #helpeachother #besafe #coronaviruslockdown #covid19 #hopethisendsoon… https://www.instagram.com/p/CAjzOdPH394/?igshid=1xjyk21ai861a",2020-05-24 05:47:11+00:00,0,0,#noeidshopping #keepyourheartclean #goodwill #humanfamily #helpeachother #besafe #coronaviruslockdown #covid19 #hopethisendsoon,Mumbai,noeidshopping spend the saved money to feed the poor in our neighbourhood town and city keepyourheartclean goodwill humanfamily helpeachother besafe coronaviruslockdown covid19 hopethisendsoon,"[{'score': 0.648275, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,1.0,,,
"Thank you Dr. Medha for the tag. Yes, it's true, Dentists (especially young ones having who have just 2-5 yrs of experience post BDS/MDS) will suffer the maximum due to #covid19",2020-05-24 04:35:32+00:00,2,0,#covid19,Mumbai,Thank you Dr Medha for the tag Yes it s true Dentists especially young ones having who have just 2 5 yrs of experience post BDS MDS will suffer the maximum due to covid19,[],,,,,,,
@kashmerashah &amp; @Krushna_KAS can't thank you enough. Chanel is blessing us all. @OmungKumar &amp; @Vanita_ok you are pillar of @amtmindia To buy a painting dm @OmungKumar or @Vanita_ok now. All proceeds go for #covid19 relief for strays and abandoned animals birds &amp; reptiles. – at Animals Matter To Me,2020-05-24 04:20:28+00:00,0,1,#covid19,Mumbai,amp KAS can t thank you enough Chanel is blessing us all amp ok you are pillar of To buy a painting dm or ok now All proceeds go for covid19 relief for strays and abandoned animals birds amp reptiles at Animals Matter To Me,"[{'score': 0.726213, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"US records another 1,127 deaths from #COVID19, bringing its total to 97,048; number of infected people stands at 1,621,658 till now: Johns Hopkins University tally ",2020-05-24 01:34:17+00:00,0,0,#COVID19,Mumbai,US records another 1 127 deaths from COVID19 bringing its total to 97 048 number of infected people stands at 1 621 658 till now Johns Hopkins University tally,[],,,,,,,
#Karnataka: Authorities of Kempegowda International Airport in Bengaluru are taking measures to ensure social distancing among the passengers in view of resumption of domestic flight services from May 25. #COVID19 ,2020-05-24 01:33:52+00:00,0,0,#Karnataka #COVID19,Mumbai,Karnataka Authorities of Kempegowda International Airport in Bengaluru are taking measures to ensure social distancing among the passengers in view of resumption of domestic flight services from May 25 COVID19,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"As on 20th May, 579 ICMR approved labs across . 407 : Govt. (70%) &amp; 180 : Pvt. (30%) 416/630 (66%) districts that have atleast 1 #COVIDー19 case in have NO #covid19 lab. 48% labs in concentrated in 5 states: TN : 67 Maha : 66 Karnataka : 53 AP: 52 Gujarat : 39 ",2020-05-24 01:31:18+00:00,4,9,#COVID #covid19,Mumbai,As on 20th May 579 ICMR approved labs across 407 Govt 70 amp 180 Pvt 30 416 630 66 districts that have atleast 1 COVID 19 case in have NO covid19 lab 48 labs in concentrated in 5 states TN 67 Maha 66 Karnataka 53 AP 52 Gujarat 39,[],,,,,,,
The train is aatmanirbhar too. It’s a mockery. Couldn’t they have atleast informed the passengers through the TC or bulk messages to the registered passengers or at stations etc. #covid19 @WesternRly,2020-05-23 23:27:06+00:00,0,0,#covid19,Mumbai,The train is aatmanirbhar too It s a mockery Couldn t they have atleast informed the passengers through the TC or bulk messages to the registered passengers or at stations etc covid19,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.535726, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
"Allah have mercy on one & all, living- non-living, believers, non-believers,#COVID19 #CoronavirusIndia #SonuSood #Immunity #AirQuality #healthcare #EidMubarak #EidUlFitr #Eid2020 #EidAlFitr #EidAtHome #eidmubarak2020 #Eid_For_Humanity #eidulfitr2020 @amfahindia",2020-05-23 19:07:01+00:00,0,5,#COVID19 #CoronavirusIndia #SonuSood #Immunity #AirQuality #healthcare #EidMubarak #EidUlFitr #Eid2020 #EidAlFitr #EidAtHome #eidmubarak2020 #Eid_For_Humanity #eidulfitr2020,Mumbai,Allah have mercy on one all living non living believers non believers COVID19 CoronavirusIndia SonuSood Immunity AirQuality healthcare EidMubarak EidUlFitr Eid2020 EidAlFitr EidAtHome eidmubarak2020 Eid For Humanity eidulfitr2020,"[{'score': 0.531925, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"As nominated by @ImPKshinning, this is my #NewNormalInLife video. @zforgandonation @arunjitborah #Covid19 #StayPositive",2020-05-23 18:54:07+00:00,1,4,#NewNormalInLife #Covid19 #StayPositive,Mumbai,As nominated by this is my NewNormalInLife video Covid19 StayPositive,[],,,,,,,
Open #Mumbai. Announce local trains are plying. Have docs/volunteers check every passenger entering every station via a queue. Give tickets to people who get them checked. Get TCs/volunteers to forcefully check every passenger at destinations. Faster way of eradicating #COVID19,2020-05-23 17:55:40+00:00,0,0,#Mumbai #COVID19,Mumbai,Open Mumbai Announce local trains are plying Have docs volunteers check every passenger entering every station via a queue Give tickets to people who get them checked Get TCs volunteers to forcefully check every passenger at destinations Faster way of eradicating COVID19,"[{'score': 0.606262, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.683494, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,1.0,,,,
"Finally a well spent Birthday. Thanks to one and all for your good wishes. It really made my birthday more special. #2020 #quarantinelife #covid19 #talentt2 @Navi Mumbai (New Mumbai),… https://www.instagram.com/p/CAihX0AllUoewoBseDvf_3IPe4ECnn8n4lxII00/?igshid=1o2l372zuzr8",2020-05-23 17:51:19+00:00,0,0,#quarantinelife #covid19 #talentt2,Mumbai,Finally a well spent Birthday Thanks to one and all for your good wishes It really made my birthday more special 2020 quarantinelife covid19 talentt2 Mumbai New Mumbai,"[{'score': 0.935091, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
As u all know the growth rate of #COVID19 cases in #mumbai is very high. Is it good to stay here or we shall migrate to other states? On #SocialMedia i saw many incidents about lack of #ambulances and #beds for positive patients. @CPMumbaiPolice @KiritSomaiya @manoj_kotak,2020-05-23 17:47:06+00:00,0,0,#COVID19 #mumbai #SocialMedia #ambulances #beds,Mumbai,As u all know the growth rate of COVID19 cases in mumbai is very high Is it good to stay here or we shall migrate to other states On SocialMedia i saw many incidents about lack of ambulances and beds for positive patients kotak,"[{'score': 0.770242, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"#COVID19 claimed its most illustrious victim Prof. J.N Pande, Director &amp; Prof of Pulmonology, #AIIMS, Delhi. May his soul rest in peace ",2020-05-23 16:50:13+00:00,0,2,#COVID19 #AIIMS,Mumbai,COVID19 claimed its most illustrious victim Prof J N Pande Director amp Prof of Pulmonology AIIMS Delhi May his soul rest in peace,"[{'score': 0.70706, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.63698, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,1.0,,
SonuSood is arranging buses for migrants who want to go back to their homes.He is trying to help as many migrants as he can.The on screen villain is an inspiring hero in reality! God bless him @SonuSood #SonuSood #COVID19 #Corona @PMOIndia @RahulGandhi @AnilDeshmukhNCP @satejp,2020-05-23 16:25:42+00:00,5,10,#SonuSood #COVID19 #Corona,Mumbai,SonuSood is arranging buses for migrants who want to go back to their homes He is trying to help as many migrants as he can The on screen villain is an inspiring hero in reality God bless him SonuSood COVID19 Corona,"[{'score': 0.693652, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
SET 03 - 59th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali to Powai in Mumbai on 22/05/2020. . @satejss . #satejshinde #midday #middayonline #instaphoto #lockdown4 #59thday #COVID19 #borivali,2020-05-23 15:44:06+00:00,0,0,#satejshinde #midday #middayonline #instaphoto #lockdown4 #59thday #COVID19 #borivali,Mumbai,SET 03 59th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali to Powai in Mumbai on 22 05 2020 satejshinde midday middayonline instaphoto lockdown4 59thday COVID19 borivali,[],,,,,,,
SET 02 - 59th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali to Powai in Mumbai on 22/05/2020. . @satejss . #satejshinde #midday #middayonline #instaphoto #lockdown4 #59thday #COVID19 #kandivali #samtanagar #thakurvillage #powai #jogeshwari – at Jogeshwari East,2020-05-23 15:42:39+00:00,0,0,#satejshinde #midday #middayonline #instaphoto #lockdown4 #59thday #COVID19 #kandivali #samtanagar #thakurvillage #powai #jogeshwari,Mumbai,SET 02 59th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali to Powai in Mumbai on 22 05 2020 satejshinde midday middayonline instaphoto lockdown4 59thday COVID19 kandivali samtanagar thakurvillage powai jogeshwari at Jogeshwari East,[],,,,,,,
SET 01 - 59th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali to Powai in Mumbai on 22/05/2020. . @satejss . #satejshinde #midday #middayonline #instaphoto #lockdown4 #59thday #COVID19 #kandivali #samtanagar #thakurvillage #powai,2020-05-23 15:40:57+00:00,0,0,#satejshinde #midday #middayonline #instaphoto #lockdown4 #59thday #COVID19 #kandivali #samtanagar #thakurvillage #powai,Mumbai,SET 01 59th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali to Powai in Mumbai on 22 05 2020 satejshinde midday middayonline instaphoto lockdown4 59thday COVID19 kandivali samtanagar thakurvillage powai,[],,,,,,,
I DON'T NEED NO MASK AND GLOVES! This biker seems to be cocking a snook at lockdown guildelines by not putting on any protective gear yet covering the mirrors of his bike woth gloves. @satejss #satejshinde #midday #news #COVID19 #lockdown #nomask #nogloves #thakurvillage – at Vasant Sagar Complex,2020-05-23 15:24:16+00:00,0,0,#satejshinde #midday #news #COVID19 #lockdown #nomask #nogloves #thakurvillage,Mumbai,I DON T NEED NO MASK AND GLOVES This biker seems to be cocking a snook at lockdown guildelines by not putting on any protective gear yet covering the mirrors of his bike woth gloves satejshinde midday news COVID19 lockdown nomask nogloves thakurvillage at Vasant Sagar Complex,"[{'score': 0.604676, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,1.0,,,
Situation is only getting worse in Mumbai. Can't begin to imagine the kind of situation that tens of thousands in the city are having to go through. #Covid_19india #COVID19 ,2020-05-23 15:22:19+00:00,0,0,#Covid_19india #COVID19,Mumbai,Situation is only getting worse in Mumbai Can t begin to imagine the kind of situation that tens of thousands in the city are having to go through Covid 19india COVID19,"[{'score': 0.527194, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.744986, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
"@richapintoTOI hi Richa, what's the #COVID19 count for today in Mumbai? I am sure it would be above 1k",2020-05-23 15:01:08+00:00,0,0,#COVID19,Mumbai,hi Richa what s the COVID19 count for today in Mumbai I am sure it would be above 1k,"[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
#Covid19 cases in #Dharavi cross 1500 #Mumbai @DeccanHerald,2020-05-23 14:38:42+00:00,2,2,#Covid19 #Dharavi #Mumbai,Mumbai,Covid19 cases in Dharavi cross 1500 Mumbai,[],,,,,,,
@Maha_MEDD @AUThackeray @rajeshtope11 @AmitV_Deshmukh @DrSanMukherjee plz guide us regarding duty pattern of staff nurses in covid unit of St. Georges Hosp so as to decrease the infection rate among staff member and to provide promt medical care to patients affected with #Covid19,2020-05-23 14:29:49+00:00,0,0,#Covid19,Mumbai,MEDD Deshmukh plz guide us regarding duty pattern of staff nurses in covid unit of St Georges Hosp so as to decrease the infection rate among staff member and to provide promt medical care to patients affected with Covid19,"[{'score': 0.63441, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
First Birthday Celebration of COVID19 positive baby at @HospitalTerna #HappyBirthday #COVID19 #Corona #CoronaVirus #ternahospital . . . . . . #जातिवाद_मुर्दाबाद #100daysForKicchotsava #StandWithJamia #தமிழினதலஅஜித் #आरक्षण_मुर्दाबाद Sikkim,2020-05-23 14:26:10+00:00,15,7,#HappyBirthday #COVID19 #Corona #CoronaVirus #ternahospital #100daysForKicchotsava #StandWithJamia,Mumbai,First Birthday Celebration of COVID19 positive baby at HappyBirthday COVID19 Corona CoronaVirus ternahospital 100daysForKicchotsava StandWithJamia Sikkim,"[{'score': 0.94212, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"This is the state of affairs. No one, absolutely no one knows what is the process / protocol when in a situation like this. The first step anyone would need is an ambulance that will take you to the hospital. And that itself is ambiguous. Very sad. #mumbailockdown #Covid19 ",2020-05-23 13:25:29+00:00,0,0,#mumbailockdown #Covid19,Mumbai,This is the state of affairs No one absolutely no one knows what is the process protocol when in a situation like this The first step anyone would need is an ambulance that will take you to the hospital And that itself is ambiguous Very sad mumbailockdown Covid19,"[{'score': 0.718704, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.561818, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.850471, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,1.0,1.0,,
India is celebrating happiness on completion of one year. Modi ji will be looking forward to end the #Covid19 epidemic in this way.. #HistoricOneYearOfModi2,2020-05-23 12:30:39+00:00,9,13,#Covid19 #HistoricOneYearOfModi2,Mumbai,India is celebrating happiness on completion of one year Modi ji will be looking forward to end the Covid19 epidemic in this way HistoricOneYearOfModi2,"[{'score': 0.833529, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Someone somewhere is getting paid to write such articles while others are getting laid off during this pandemic... https://www.pinkvilla.com/tv/news-gossip/did-devoleena-bhattacharjee-poke-fun-rashami-desai-her-tea-fight-sidharth-shukla-bigg-boss-13-535149 #Lockdown #Covid19 #Articles #Jobs #PaidJobs #Worldmakesnosense,2020-05-23 11:55:26+00:00,0,0,#Lockdown #Covid19 #Articles #Jobs #PaidJobs #Worldmakesnosense,Mumbai,Someone somewhere is getting paid to write such articles while others are getting laid off during this pandemic Lockdown Covid19 Articles Jobs PaidJobs Worldmakesnosense,"[{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
"17 new #COVID19 positive cases reported today, taking the total number of positive cases in the district to 323: District Surveillance Officer, #UttarPradesh Gautam Budh Nagar district",2020-05-23 11:36:38+00:00,0,1,#COVID19 #UttarPradesh,Mumbai,17 new COVID19 positive cases reported today taking the total number of positive cases in the district to 323 District Surveillance Officer UttarPradesh Gautam Budh Nagar district,"[{'score': 0.564028, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.829999, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"The second consignment of essential medicine supplies from India arrived today in Port Louis aboard INS Kesari. The shipment, in addition, also includes around 10 tonnes of Ayurvedic medicines: High Commission of India, Port Louis #COVID19",2020-05-23 11:32:37+00:00,0,1,#COVID19,Mumbai,The second consignment of essential medicine supplies from India arrived today in Port Louis aboard INS Kesari The shipment in addition also includes around 10 tonnes of Ayurvedic medicines High Commission of India Port Louis COVID19,[],,,,,,,
Just came across a comment on one of the posts about COVID. Some people are of the opinion that this whole pandemic is actually a scam planed by the ‘ILLUMINATI’. What’s your say?? #COVID19,2020-05-23 10:22:17+00:00,0,0,#COVID19,Mumbai,Just came across a comment on one of the posts about COVID Some people are of the opinion that this whole pandemic is actually a scam planed by the ILLUMINATI What s your say COVID19,"[{'score': 0.5687, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
Top #onlinecourses during #COVID19 #learning #digital,2020-05-23 08:37:06+00:00,0,0,#onlinecourses #COVID19 #learning #digital,Mumbai,Top onlinecourses during COVID19 learning digital,"[{'score': 0.601817, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"But lockdown can't continue indefinitely. The Govt should have used the lockdown to create extra ICU beds, at the same time aggressive testing to identify & quarantine #Covid19 positive cases, so that once the state comes out of lockdown, spread can be minimised. We missed that.",2020-05-23 07:58:11+00:00,0,0,#Covid19,Mumbai,But lockdown can t continue indefinitely The Govt should have used the lockdown to create extra ICU beds at the same time aggressive testing to identify quarantine Covid19 positive cases so that once the state comes out of lockdown spread can be minimised We missed that,"[{'score': 0.763011, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.808667, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
#Kuwait has the worst doctors! Bloody cowards. How can you give a report stating “Covid +ve” without testing someone? @indembkwt @kuwait #Covid_19 #covid19,2020-05-23 07:31:41+00:00,0,0,#Kuwait #Covid_19 #covid19,Mumbai,Kuwait has the worst doctors Bloody cowards How can you give a report stating Covid ve without testing someone Covid 19 covid19,"[{'score': 0.506615, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,,1.0
"Allopathic, Unani, Ayurveda, Homeopathy... So many #drugs claiming remedy for #COVID19. Bas #Hajmola bacha hai ab! ",2020-05-23 07:19:27+00:00,0,4,#drugs #COVID19 #Hajmola,Mumbai,Allopathic Unani Ayurveda Homeopathy So many drugs claiming remedy for COVID19 Bas Hajmola bacha hai ab,[],,,,,,,
"This is the problem MH cases are alMost half and recoveries not even close to national level deaths are almost half , recovery rate is concern. #CoronaVirusUpdate #Maharashtra #covid19 ",2020-05-23 05:08:35+00:00,0,0,#CoronaVirusUpdate #Maharashtra #covid19,Mumbai,This is the problem MH cases are alMost half and recoveries not even close to national level deaths are almost half recovery rate is concern CoronaVirusUpdate Maharashtra covid19,"[{'score': 0.621333, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.845297, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,1.0,,
"Our rivers and fertile soil have been the foundation of our economy and #Indian civilization. With manufacturing and service taking a backseat, Indian economy is looking towards Rural idea to drive consumption and growth... #Sustainability #Water #Agriculture #Covid19 ",2020-05-23 04:35:03+00:00,0,1,#Indian #Sustainability #Water #Agriculture #Covid19,Mumbai,Our rivers and fertile soil have been the foundation of our economy and Indian civilization With manufacturing and service taking a backseat Indian economy is looking towards Rural idea to drive consumption and growth Sustainability Water Agriculture Covid19,[],,,,,,,
"Mask is not to help a #COVID19 infected person, but just to prevent infection from passing on to others. Once they are infected, they need to be in quarantine at home or hospital, but need clear passage for breathing. Masks would definitely interfere with that.",2020-05-23 04:33:18+00:00,0,1,#COVID19,Mumbai,Mask is not to help a COVID19 infected person but just to prevent infection from passing on to others Once they are infected they need to be in quarantine at home or hospital but need clear passage for breathing Masks would definitely interfere with that,[],,,,,,,
You can fool domestic public with fudged data. But you cannot fool death due to #COVID19 in absence of testing and treatment. Worse stopped testing dead. Result : good number on paper but a long que at creamation #COVID19India,2020-05-23 04:04:59+00:00,1,3,#COVID19 #COVID19India,Mumbai,You can fool domestic public with fudged data But you cannot fool death due to COVID19 in absence of testing and treatment Worse stopped testing dead Result good number on paper but a long que at creamation COVID19India,"[{'score': 0.561168, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
14 new areas have been added to the list of containment zones in #Delhi taking the total number of such zones to 92. Till date 34 areas have been de-contained. #COVID19 ,2020-05-22 22:56:49+00:00,1,1,#Delhi #COVID19,Mumbai,14 new areas have been added to the list of containment zones in Delhi taking the total number of such zones to 92 Till date 34 areas have been de contained COVID19,[],,,,,,,
61 more #COVID19 positive cases reported in #Bihar taking the total number of cases in the state to 2166: State Health Department,2020-05-22 22:56:36+00:00,0,0,#COVID19 #Bihar,Mumbai,61 more COVID19 positive cases reported in Bihar taking the total number of cases in the state to 2166 State Health Department,"[{'score': 0.735644, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
Please feel free to get in touch for any queries / requirements. Visit our website : http://www.aristouniversal.com Team Aristo recommends Use of #AarogyaSetu app for protecting you and others from #COVID19 #stayHome #staySafe #RealEstateSafeHai #StayHealthy #HomeBuying #NaviMumbai,2020-05-22 21:26:31+00:00,0,0,#AarogyaSetu #COVID19 #stayHome #stayHome #staySafe #RealEstateSafeHai #StayHealthy #HomeBuying #NaviMumbai,Mumbai,Please feel free to get in touch for any queries requirements Visit our website Team Aristo recommends Use of AarogyaSetu app for protecting you and others from COVID19 stayHome staySafe RealEstateSafeHai StayHealthy HomeBuying NaviMumbai,"[{'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"@AUThackeray @OfficeofUT @KishoriPednekar Kindly consider Visiting Sion Hospital as early as possible and visiting COVID wards facilities, as I am sure Higher authorities and Commissioner are misinformed regarding the #COVID19 facilities and problems of #ResidentDoctors",2020-05-22 20:19:01+00:00,0,0,#COVID19 #ResidentDoctors,Mumbai,Kindly consider Visiting Sion Hospital as early as possible and visiting COVID wards facilities as I am sure Higher authorities and Commissioner are misinformed regarding the COVID19 facilities and problems of ResidentDoctors,"[{'score': 0.682143, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"All the economist, intellectuals and activist who have endorsed this should lead by example and start with point 7.1 #justsaying #COVID19 ",2020-05-22 17:57:40+00:00,0,0,#justsaying #COVID19,Mumbai,All the economist intellectuals and activist who have endorsed this should lead by example and start with point 7 1 justsaying COVID19,"[{'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
@zachking Hello Sir please make a video if possible on the current scenario of #COVID19 U Sir wid ur dimensional altering magic could really bring a peerless ringing smile on d faces of many small innocent kids everywhere. Please Sir this is an earnest request &amp; a sincere appeal.,2020-05-22 17:17:58+00:00,0,0,#COVID19,Mumbai,Hello Sir please make a video if possible on the current scenario of COVID19 U Sir wid ur dimensional altering magic could really bring a peerless ringing smile on d faces of many small innocent kids everywhere Please Sir this is an earnest request amp a sincere appeal,"[{'score': 0.715203, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"World over , for any govt the crux of long term #Covid19 battle has been about getting the when n how of lockdown n that of reopening of economy right. Lockdown can’t be infinite. We need to get on with life with max safeguards. @MirrorNow",2020-05-22 16:49:50+00:00,0,1,#Covid19,Mumbai,World over for any govt the crux of long term Covid19 battle has been about getting the when n how of lockdown n that of reopening of economy right Lockdown can t be infinite We need to get on with life with max safeguards,"[{'score': 0.759951, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,1.0,,,
"I was pleased to join 100+ global experts @USPharmacopeia &amp; MIT to project what the next 20 years will bring for health &amp; medicine. Read the new report that discusses how responses to global crises, like #COVID19, can change health in 2040. https://bit.ly/2zRC9Ot #TrustTomorrow",2020-05-22 16:33:16+00:00,1,7,#COVID19 #TrustTomorrow,Mumbai,I was pleased to join 100 global experts amp MIT to project what the next 20 years will bring for health amp medicine Read the new report that discusses how responses to global crises like COVID19 can change health in 2040 TrustTomorrow,"[{'score': 0.74767, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"#COVID19 has impacted all major aspects of our lives. In the #future, an evolved &amp; collaborative #workplace will emerge with employees strictly following #socialdistancing &amp; firms offering limited business travel. https://bit.ly/2WSRK9J @businessinsider #NewNormal2020",2020-05-22 15:25:41+00:00,2,14,#COVID19 #future #workplace #socialdistancing #NewNormal2020,Mumbai,COVID19 has impacted all major aspects of our lives In the future an evolved amp collaborative workplace will emerge with employees strictly following socialdistancing amp firms offering limited business travel NewNormal2020,"[{'score': 0.638511, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.716147, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"Are the figures declared by Govt genuine? I have heard, cases are not being declared in Mumbai and Delhi... People aren't tested, they don't get hospital beds, & die in the process. How would we know that they died due to #Covid19? ",2020-05-22 15:03:05+00:00,0,1,#Covid19,Mumbai,Are the figures declared by Govt genuine I have heard cases are not being declared in Mumbai and Delhi People aren t tested they don t get hospital beds die in the process How would we know that they died due to Covid19,"[{'score': 0.932674, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.862681, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
SET 03 - 58th day of nationwide lockdown 4 to coronavirus pandemic at Dahisar in Mumbai on 21/05/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #lockdown4 #58thday #COVID19 #kandivali #samtanagar #thakurvillage #dahisarchecknaka #dahisar – at Dahisar Check Naka,2020-05-22 14:49:41+00:00,0,0,#satejshinde #midday #middayonline #twitterphoto #lockdown4 #58thday #COVID19 #kandivali #samtanagar #thakurvillage #dahisarchecknaka #dahisar,Mumbai,SET 03 58th day of nationwide lockdown 4 to coronavirus pandemic at Dahisar in Mumbai on 21 05 2020 satejshinde midday middayonline twitterphoto lockdown4 58thday COVID19 kandivali samtanagar thakurvillage dahisarchecknaka dahisar at Dahisar Check Naka,[],,,,,,,
SET 02 - 58th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali in Mumbai on 21/05/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #lockdown4 #58thday #COVID19 #kandivali #samtanagar #thakurvillage,2020-05-22 14:45:01+00:00,0,1,#satejshinde #midday #middayonline #twitterphoto #lockdown4 #58thday #COVID19 #kandivali #samtanagar #thakurvillage,Mumbai,SET 02 58th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali in Mumbai on 21 05 2020 satejshinde midday middayonline twitterphoto lockdown4 58thday COVID19 kandivali samtanagar thakurvillage,[],,,,,,,
SET 01 - 58th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali in Mumbai on 21/05/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #lockdown4 #58thday #COVID19 #kandivali #samtanagar #thakurvillage,2020-05-22 14:43:39+00:00,0,0,#satejshinde #midday #middayonline #twitterphoto #lockdown4 #58thday #COVID19 #kandivali #samtanagar #thakurvillage,Mumbai,SET 01 58th day of nationwide lockdown 4 to coronavirus pandemic at Kandivali in Mumbai on 21 05 2020 satejshinde midday middayonline twitterphoto lockdown4 58thday COVID19 kandivali samtanagar thakurvillage,[],,,,,,,
