Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,sadness,joy,fear,confident,analytical,tentative,anger
"┏┓ ┃┃╱╲ ┃╱╱╲╲ ╱╱╭╮╲╲ ▔▏┗┛▕▔ ╱▔▔▔▔▔▔▔▔▔▔╲ ╱╱┏┳┓╭╮┏┳┓ ╲╲ ▔▏┗┻┛┃┃┗┻┛ ▕▔ #StayHome, Stay Safe from #COVID19! #IndiaFightsCorona @KKVERMAUP",2020-04-02 05:57:53+00:00,0,2,#StayHome #StayHome #COVID19 #IndiaFightsCorona,Delhi,StayHome Stay Safe from COVID19 IndiaFightsCorona,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
Major missing... #coffee #WednesdayThoughts #wednesdaymorning #coronavirus #covid19 ,2020-04-02 05:49:01+00:00,0,3,#coffee #WednesdayThoughts #wednesdaymorning #coronavirus #covid19,Delhi,Major missing coffee WednesdayThoughts wednesdaymorning coronavirus covid19,"[{'score': 0.54399, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"┏┓ ┃┃╱╲ ┃╱╱╲╲ ╱╱╭╮╲╲ ▔▏┗┛▕▔ ╱▔▔▔▔▔▔▔▔▔▔╲ ╱╱┏┳┓╭╮┏┳┓ ╲╲ ▔▏┗┻┛┃┃┗┻┛ ▕▔ #StayHome, Stay Safe from #COVID19! #IndiaFightsCorona : @sudarsansand",2020-04-02 05:47:12+00:00,0,1,#StayHome #StayHome #COVID19 #IndiaFightsCorona,Delhi,StayHome Stay Safe from COVID19 IndiaFightsCorona,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
#CoronaVirus #India Updates Total #COVID19 positive cases: 1965 Active: 1764 Cured: 150 Deaths: 50 Migrated: 01 ,2020-04-02 05:09:46+00:00,0,1,#CoronaVirus #India #COVID19,Delhi,CoronaVirus India Updates Total COVID19 positive cases 1965 Active 1764 Cured 150 Deaths 50 Migrated 01,"[{'score': 0.833309, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
#CoronaVirus #India Updates Total #COVID19 positive cases: 1965 Active: 1764 Deaths: 50 Cured: 150 Migrated: 01 ,2020-04-02 05:07:08+00:00,0,6,#CoronaVirus #India #COVID19,Delhi,CoronaVirus India Updates Total COVID19 positive cases 1965 Active 1764 Deaths 50 Cured 150 Migrated 01,"[{'score': 0.833309, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
"#COVID19Pandemic update by @MoHFW_INDIA India has 1,965 confirmed #Covid19 cases at 9 am on April 2. Active cases : 1,764 Discharged patients : 150 Deaths so far: 50 Jump cases in last 12 hours: 131 https://twitter.com/ANI/status/1245575619347283969",2020-04-02 04:59:56+00:00,0,1,#COVID19Pandemic #Covid19,Delhi,COVID19Pandemic update by INDIA India has 1 965 confirmed Covid19 cases at 9 am on April 2 Active cases 1 764 Discharged patients 150 Deaths so far 50 Jump cases in last 12 hours 131,"[{'score': 0.721751, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
The #Onground #Warriors we all Need in these testing times of #Covid19 . Helping the #Stray #Animals &amp; #Needy during this #lockdown . . Amazing #Work _nikitayadav_ #hope you get all the more #support that you are… https://www.instagram.com/p/B-dzcKhASTu/?igshid=1dg8x9mhymxxz,2020-04-02 04:51:17+00:00,1,0,#Onground #Warriors #Covid19 #Stray #Animals #Needy #lockdown #Work #hope #support,Delhi,The Onground Warriors we all Need in these testing times of Covid19 Helping the Stray Animals amp Needy during this lockdown Amazing Work nikitayadav hope you get all the more support that you are,"[{'score': 0.730888, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"#DelhiFightsCorona #DelhiCMReliefFunda @CMODelhi #JaiShreeRam #RamNavmi #JaiHanumanJiKi #Fight this #ChinaVirus #COVID19. We are with you because you're with us #India #Delhi #NationalCapital @AamAadmiParty (PS : To all the trolls, I have also donated to PM Care as well)",2020-04-02 04:44:56+00:00,0,0,#DelhiFightsCorona #DelhiCMReliefFunda #JaiShreeRam #RamNavmi #JaiHanumanJiKi #Fight #ChinaVirus #COVID19 #India #Delhi #NationalCapital,Delhi,DelhiFightsCorona DelhiCMReliefFunda JaiShreeRam RamNavmi JaiHanumanJiKi Fight this ChinaVirus COVID19 We are with you because you re with us India Delhi NationalCapital PS To all the trolls I have also donated to PM Care as well,[],,,,,,,
. @nsitharamanoffc: The government has provided relief for third-party auto insurance policy holders and health insurance policy holders in light of the #Covid19 situation. The relevant notifications are attached below. #IndiaFightsCorona,2020-04-02 04:43:23+00:00,2,8,#Covid19 #IndiaFightsCorona,Delhi,The government has provided relief for third party auto insurance policy holders and health insurance policy holders in light of the Covid19 situation The relevant notifications are attached below IndiaFightsCorona,"[{'score': 0.753251, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
"Day 9: Scary trend of rise in cases of #COVID19 being observed in Maharashtra, Kerala, TN ans Delhi as cases mount to 2000 and above. What is one state doing wrong or the other one, right? #coronainindia #Data #lockdownindia",2020-04-02 04:36:14+00:00,3,7,#COVID19 #coronainindia #Data #lockdownindia,Delhi,Day 9 Scary trend of rise in cases of COVID19 being observed in Maharashtra Kerala TN ans Delhi as cases mount to 2000 and above What is one state doing wrong or the other one right coronainindia Data lockdownindia,"[{'score': 0.643364, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,1.0,,,,
#QuarantineThoughts ‘No bra days’ are all fun &amp; chill until you’ve back pain on day 4 due to big boobs! #COVID19 #lockdown,2020-04-02 04:29:38+00:00,0,0,#QuarantineThoughts #COVID19 #lockdown,Delhi,QuarantineThoughts No bra days are all fun amp chill until you ve back pain on day 4 due to big boobs COVID19 lockdown,"[{'score': 0.53511, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
#COVID19 testing kits shortage? Use Binary Search! 1. Take 16 samples. Create mix of few drops of each 2. Test mix. If -ve then in 1 shot U know all 16 R good. 3. If test +ve make 2 mixes of 8 samples. 4. Test. Repeat as above. Will saves time &amp; kits. @drharshvardhan @PMOIndia,2020-04-02 04:14:13+00:00,1,1,#COVID19,Delhi,COVID19 testing kits shortage Use Binary Search 1 Take 16 samples Create mix of few drops of each 2 Test mix If ve then in 1 shot U know all 16 R good 3 If test ve make 2 mixes of 8 samples 4 Test Repeat as above Will saves time amp kits,"[{'score': 0.539068, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
A thread on what we are missing in India in the fight against #COVID19 Trace and test ,2020-04-02 03:47:08+00:00,0,3,#COVID19,Delhi,A thread on what we are missing in India in the fight against COVID19 Trace and test,"[{'score': 0.540626, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
"Msz from #Capetown #Noida AOA 1 more case found #COVID19 +ive (ie at CV7 Cease Fire Employee) in our society and our society is kept sealed for two days, All are requested to support administration in following all the medical protocols otherwise they will take action as per law – at Supertech Capetown",2020-04-02 03:47:01+00:00,1,11,#Capetown #Noida #COVID19,Delhi,Msz from Capetown Noida AOA 1 more case found COVID19 ive ie at CV7 Cease Fire Employee in our society and our society is kept sealed for two days All are requested to support administration in following all the medical protocols otherwise they will take action as per law at Supertech Capetown,"[{'score': 0.62231, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
"Watch: @WHO has given example of India to the world in fight against #Covid19 &amp; praises PM @narendramodi that, the way India is taking steps to fight against corona its worthwhile. Foods 4 poor, Indians r at home to stop transmission of #corona ,mny countries shud do like this ",2020-04-02 03:36:53+00:00,2,2,#Covid19 #corona,Delhi,Watch has given example of India to the world in fight against Covid19 amp praises PM that the way India is taking steps to fight against corona its worthwhile Foods 4 poor Indians r at home to stop transmission of corona mny countries shud do like this,"[{'score': 0.514206, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
We Shall over come.. We will n We Can kick the butt of #Coronavirus #COVID19,2020-04-02 03:25:00+00:00,1,2,#Coronavirus #COVID19,Delhi,We Shall over come We will n We Can kick the butt of Coronavirus COVID19,[],,,,,,,
"“ India fails its citizen by not showing account of funds raised and spent on #COVID19 , disgraceful show of corruption where keeping things transparent becomes pain for the government ...” #Scam #Corruption #Corona",2020-04-02 03:21:41+00:00,0,3,#COVID19 #Scam #Corruption #Corona,Delhi,India fails its citizen by not showing account of funds raised and spent on COVID19 disgraceful show of corruption where keeping things transparent becomes pain for the government Scam Corruption Corona,[],,,,,,,
"I am following this thread, India has other social diseases, deadlier than #COVID19 @PuneetVuneet",2020-04-02 03:21:25+00:00,0,1,#COVID19,Delhi,I am following this thread India has other social diseases deadlier than COVID19,[],,,,,,,
May us all be sensitive while writing about #COVID19 @AnooBhu @BDUTT @MasalaBai @DrSarvapriya @toymango @nistula @journorakesh @KhabarLahariya @KiranManral @PTI_News @ANI @ashutosh83B @ShekharGupta @htTweets @TOIIndiaNews @NavbharatTimes @aajtak @manaman_chhina,2020-04-02 01:56:00+00:00,4,3,#COVID19,Delhi,May us all be sensitive while writing about COVID19 News chhina,[],,,,,,,
"https://www.instagram.com/p/B-cjfnIAvg6/?igshid=1bo05mg38qss8 The mentioned link here is showing how health officials are being treated by Indians The video is from Silawatpura , INDORE.If this method of Indian Citizens will be provided against #COVID19 then please forget to get rid of this @ZeeNews @indiatvnews",2020-04-02 00:09:29+00:00,1,0,#COVID19,Delhi,The mentioned link here is showing how health officials are being treated by Indians The video is from Silawatpura INDORE If this method of Indian Citizens will be provided against COVID19 then please forget to get rid of this,"[{'score': 0.807761, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
Religion!! See what they are doing with doctors who went to their area to screen people for #COVID19 in #Indore. Ye log sahi kar rahe hai doctors ke sath? Doctors kya apne fayde ke liye aese logo ko bacha rahe hai? https://twitter.com/iyervval/status/1245404325355982849?s=21,2020-04-01 21:36:29+00:00,0,0,#COVID19 #Indore,Delhi,Religion See what they are doing with doctors who went to their area to screen people for COVID19 in Indore Ye log sahi kar rahe hai doctors ke sath Doctors kya apne fayde ke liye aese logo ko bacha rahe hai,[],,,,,,,
"The village, is burning, named Kundeshar at Guthani Siwan Bihar. This incident will play a crucial role to struggle people to live in #lockdownindia #LockdownWithoutPlan #COVID2019india #COVID19 #COVIDIOTS . I request @PMOIndia @narendramodi @NitishKumar to help affected people.",2020-04-01 21:20:17+00:00,0,0,#lockdownindia #LockdownWithoutPlan #COVID2019india #COVID19 #COVIDIOTS,Delhi,The village is burning named Kundeshar at Guthani Siwan Bihar This incident will play a crucial role to struggle people to live in lockdownindia LockdownWithoutPlan COVID2019india COVID19 COVIDIOTS I request to help affected people,"[{'score': 0.639719, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
"The village, is burning, named Kundeshar at Guthani Siwan Bihar. This incident will play a crucial role to struggle people to live in #lockdownindia #LockdownWithoutPlan #COVID2019india #COVID19 #COVIDIOTS . I request @PMOIndia @narendramodi @NitishKumar to help affected people. – at B-Block Market, Sector-52",2020-04-01 21:16:30+00:00,0,0,#lockdownindia #LockdownWithoutPlan #COVID2019india #COVID19 #COVIDIOTS,Delhi,The village is burning named Kundeshar at Guthani Siwan Bihar This incident will play a crucial role to struggle people to live in lockdownindia LockdownWithoutPlan COVID2019india COVID19 COVIDIOTS I request to help affected people at B Block Market Sector 52,"[{'score': 0.607017, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
You are right #COVID19 doesn't know religion but some Islamic bigots (Maulanas) on name of Islam don't want to acknowledge pandemic of Covid. ,2020-04-01 20:43:00+00:00,1,9,#COVID19,Delhi,You are right COVID19 doesn t know religion but some Islamic bigots Maulanas on name of Islam don t want to acknowledge pandemic of Covid,"[{'score': 0.74948, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
"Bohot mehnat lagi merko aaj , not even joking. 21 din me i will not move . #lockdown #covid19 #home #stayhome #delhilockdown #covidmemes #covid2020 #covidindia #lockdown2020 #lockdownindia #tweet #vaibhavjainn… https://www.instagram.com/p/B-c57Z5g2B9/?igshid=rwhqr1b4gq5m",2020-04-01 20:27:39+00:00,0,0,#lockdown #covid19 #home #stayhome #stayhome #delhilockdown #covidmemes #covid2020 #covidindia #lockdown2020 #lockdownindia #tweet #vaibhavjainn,Delhi,Bohot mehnat lagi merko aaj not even joking 21 din me i will not move lockdown covid19 home stayhome delhilockdown covidmemes covid2020 covidindia lockdown2020 lockdownindia tweet vaibhavjainn,[],,,,,,,
Thank God #COVID19 #coronavirus #coronasupaul,2020-04-01 20:12:43+00:00,0,4,#COVID19 #coronavirus #coronasupaul,Delhi,Thank God COVID19 coronavirus coronasupaul,"[{'score': 0.899549, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
This is absolutely not acceptable and illegal arresting of #Jamia Ph.D scholar student Meeran Haider by Delhi police. When the whole country is fighting with #Covid19 at the same time Delhi police is doing his illegal work. #ReleaseMeeranHaider,2020-04-01 20:12:05+00:00,6,5,#Jamia #Covid19 #ReleaseMeeranHaider,Delhi,This is absolutely not acceptable and illegal arresting of Jamia Ph D scholar student Meeran Haider by Delhi police When the whole country is fighting with Covid19 at the same time Delhi police is doing his illegal work ReleaseMeeranHaider,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
"Deadly attack on healthcare workers & doctors in Indore when they went to a Muslim locality to treat #COVID19 infected people, some of whom had attended #TablighiJamaat. These criminals need to mercy. Police should lock them up &amp; leave them to their fate. @narendramodi @Uppolice",2020-04-01 19:48:33+00:00,0,0,#COVID19 #TablighiJamaat,Delhi,Deadly attack on healthcare workers doctors in Indore when they went to a Muslim locality to treat COVID19 infected people some of whom had attended TablighiJamaat These criminals need to mercy Police should lock them up amp leave them to their fate,[],,,,,,,
#China constructed 1000 bed hospital in 10 days record. #IndianRailways is preparing to set up 3.2 lakh Isolation &amp; Quarantine beds by modifying 20000 coaches. #COVID19Pandemic It's really a great idea!!! That any country can follow to counter #COVID19 ,2020-04-01 19:36:00+00:00,0,2,#China #IndianRailways #COVID19Pandemic #COVID19,Delhi,China constructed 1000 bed hospital in 10 days record IndianRailways is preparing to set up 3 2 lakh Isolation amp Quarantine beds by modifying 20000 coaches COVID19Pandemic It s really a great idea That any country can follow to counter COVID19,"[{'score': 0.751231, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.790954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,1.0,,
Any kind of open reports or analytical work on #Covid19 ? ,2020-04-01 19:19:03+00:00,0,0,#Covid19,Delhi,Any kind of open reports or analytical work on Covid19,"[{'score': 0.991756, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,,1.0,
". @AxisBank: Due to #COVID19, we extend our support by offering moratorium on payment of EMIs/instalments and interest on Term Loans/Credit Card dues, and/or deferment of interest payments on Working Capital facilities. More Details: http://www.axisbank.com/avail-moratorium-on-bank-emi",2020-04-01 19:18:54+00:00,0,1,#COVID19,Delhi,Due to COVID19 we extend our support by offering moratorium on payment of EMIs instalments and interest on Term Loans Credit Card dues and or deferment of interest payments on Working Capital facilities More Details,[],,,,,,,
". @AxisBank: Due to #COVID19, we extend our support by offering moratorium on payment of EMIs/instalments and interest on Term Loans/Credit Card dues, and/or deferment of interest payments on Working Capital facilities. More Details: http://www.axisbank.com/avail-moratorium-on-bank-emi",2020-04-01 19:18:02+00:00,1,3,#COVID19,Delhi,Due to COVID19 we extend our support by offering moratorium on payment of EMIs instalments and interest on Term Loans Credit Card dues and or deferment of interest payments on Working Capital facilities More Details,[],,,,,,,
"#TabhleegiJamaat Markaz in #Nizamuddin in New Delhi. This is the new Line of #coronavirus spreaders in india. This place is singlehandedly derailing India's efforts to fight the #COVID19.#COVID19Pandemic may be declined by people but this #covid786 may not, give brain to idiots.",2020-04-01 18:49:16+00:00,2,1,#TabhleegiJamaat #Nizamuddin #coronavirus #COVID19 #COVID19Pandemic #covid786,Delhi,TabhleegiJamaat Markaz in Nizamuddin in New Delhi This is the new Line of coronavirus spreaders in india This place is singlehandedly derailing India s efforts to fight the COVID19 COVID19Pandemic may be declined by people but this covid786 may not give brain to idiots,"[{'score': 0.59295, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,,1.0
"No, I am not #chicken hearted, Still I am scared a lot, Because the time, I am living in, It is the scariest beyond My imagination and thought, #vss365 #amwriting #poetry #micropoetry #BraveWrite #coronavirus #COVID19",2020-04-01 18:47:25+00:00,2,20,#chicken #vss365 #amwriting #poetry #micropoetry #BraveWrite #coronavirus #COVID19,Delhi,No I am not chicken hearted Still I am scared a lot Because the time I am living in It is the scariest beyond My imagination and thought vss365 amwriting poetry micropoetry BraveWrite coronavirus COVID19,"[{'score': 0.938279, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.631014, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
"Once when this came from China for hanging in cars, nobody had thought that the original will follow. #COVID19 ",2020-04-01 18:33:11+00:00,0,1,#COVID19,Delhi,Once when this came from China for hanging in cars nobody had thought that the original will follow COVID19,[],,,,,,,
╔═════════════════╗ ║ #ThankYouPolice ╚════════════════╝ \ (•◡•) / \ / -- -- | .RT if u Agree #ThankYouPolice #COVID19 ,2020-04-01 18:25:05+00:00,1,2,#ThankYouPolice #ThankYouPolice #COVID19,Delhi,ThankYouPolice RT if u Agree ThankYouPolice COVID19,"[{'score': 0.535064, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"April 1 - 8 PM update 1,834 #Covid19 positive cases as on date 437 new cases in last 24 hours #COVID19Updates @NorbertElekes",2020-04-01 18:21:29+00:00,0,1,#Covid19 #COVID19Updates,Delhi,April 1 8 PM update 1 834 Covid19 positive cases as on date 437 new cases in last 24 hours COVID19Updates,"[{'score': 0.621601, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
STAY THE FUCK HOME!! #COVID19,2020-04-01 18:17:30+00:00,0,0,#COVID19,Delhi,STAY THE FUCK HOME COVID19,"[{'score': 0.836315, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,,1.0
"Just notice the Tag Lines you journalists use, to gain TRP Hope you’l realise and stop doing such idioic tactics to run your show. #Journalism in Media is the 4th pillar of democracy &amp; democracy sustains because of unity among every religion,community. #Covid19 #TablighiJamaat",2020-04-01 18:05:31+00:00,0,1,#Journalism #Covid19 #TablighiJamaat,Delhi,Just notice the Tag Lines you journalists use to gain TRP Hope you l realise and stop doing such idioic tactics to run your show Journalism in Media is the 4th pillar of democracy amp democracy sustains because of unity among every religion community Covid19 TablighiJamaat,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
@M_Lekhi I'm donating in PM CARES Fund...let's fight against #covid19 ,2020-04-01 18:05:25+00:00,0,0,#covid19,Delhi,Lekhi I m donating in PM CARES Fund let s fight against covid19,[],,,,,,,
"India reports 437 fresh #COVID19 cases in about 24 hours. Total confirmed cases at 7: 30 pm on April 1: 1,834, says @MoHFW_INDIA Active cases : 1,649. Deaths : 41 Discharged patients so far:143 Confirmed cases on March 31 at 8: 30 pm: 1,397 #CoronaVirusUpdates",2020-04-01 18:01:43+00:00,3,4,#COVID19 #CoronaVirusUpdates,Delhi,India reports 437 fresh COVID19 cases in about 24 hours Total confirmed cases at 7 30 pm on April 1 1 834 says INDIA Active cases 1 649 Deaths 41 Discharged patients so far 143 Confirmed cases on March 31 at 8 30 pm 1 397 CoronaVirusUpdates,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
"- India reports 386 #COVID19 cases in last 24 hrs, biggest single-day jump. - India has 1,637 positive cases with 38 deaths and 132 recoveries. - Delhi's Markaz emerged as one of the #coronavirus hotspots. All thanks to #NizamuddinIdiots",2020-04-01 17:31:12+00:00,0,1,#COVID19 #coronavirus #NizamuddinIdiots,Delhi,India reports 386 COVID19 cases in last 24 hrs biggest single day jump India has 1 637 positive cases with 38 deaths and 132 recoveries Delhi s Markaz emerged as one of the coronavirus hotspots All thanks to NizamuddinIdiots,"[{'score': 0.628634, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
Schools asking for fee amidst the #covid19 pandemic is unjustifiable. #waiveoff #schoolfees till situation returns to normal. #nofeehikein2020 @narendramodi @PMOIndia @ArvindKejriwal @cmohry @mlkhattar @Minister_Edu @msisodia @rbsharmabjp @AmitKhatriIAS @DC_Gurugram – at Suncity world school,2020-04-01 17:30:36+00:00,14,24,#covid19 #waiveoff #schoolfees #nofeehikein2020,Delhi,Schools asking for fee amidst the covid19 pandemic is unjustifiable waiveoff schoolfees till situation returns to normal nofeehikein2020 Edu Gurugram at Suncity world school,"[{'score': 0.64763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
Day6: We used switch statements and if-else conditions to develop a ststem which takes input from user through CLI to calculate electricity bill based on his meter unit reading. #LearnAtHomeCampaign #CodeNewbie #covid19 ,2020-04-01 17:23:17+00:00,0,1,#LearnAtHomeCampaign #CodeNewbie #covid19,Delhi,Day6 We used switch statements and if else conditions to develop a ststem which takes input from user through CLI to calculate electricity bill based on his meter unit reading LearnAtHomeCampaign CodeNewbie covid19,"[{'score': 0.835309, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
OMG March was the literally the longest month ever because of quarantine Marach 2020 = 365 days #COVID19 #IndiaBattlesCOVID19,2020-04-01 17:22:36+00:00,0,0,#COVID19 #IndiaBattlesCOVID19,Delhi,OMG March was the literally the longest month ever because of quarantine Marach 2020 365 days COVID19 IndiaBattlesCOVID19,"[{'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
Read Detail study on hunger आँख की अंधी @RanaAyyub #COVID19 #COVIDIOTS #NizamuddinMarkaj #MaulanaSaad,2020-04-01 16:43:29+00:00,0,0,#COVID19 #COVIDIOTS #NizamuddinMarkaj #MaulanaSaad,Delhi,Read Detail study on hunger COVID19 COVIDIOTS NizamuddinMarkaj MaulanaSaad,"[{'score': 0.550033, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
Admist so much of sufferings around twinnies celebrating their First Birthday- The Quarantine Bday affair Story teller- @ilaphoenix #HappyBirthday #twinning #COVID19Pandemic #COVID #COVID19 #COVID #NarendraModi @narendramodi @PMOIndia @PiyushGoyal @drkamnakakkar @sambitswaraj,2020-04-01 16:42:01+00:00,1,0,#HappyBirthday #twinning #COVID19Pandemic #COVID #COVID19 #COVID #NarendraModi,Delhi,Admist so much of sufferings around twinnies celebrating their First Birthday The Quarantine Bday affair Story teller HappyBirthday twinning COVID19Pandemic COVID COVID19 COVID NarendraModi,"[{'score': 0.708204, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"#DAY08OF21 : #COVID19 From what I have gathered from d news (and that's a lot of it, trust me) #India has lost it's way to curb the #spread, thanks 2 #Covidiots &amp; v should get prepared for #Stage02 unless we SOMEHOW control it. #JaiMataDi #Durgasthamj #boycottchinaproducts",2020-04-01 16:38:41+00:00,0,1,#DAY08OF21 #COVID19 #India #spread #Covidiots #Stage02 #JaiMataDi #Durgasthamj #boycottchinaproducts,Delhi,DAY08OF21 COVID19 From what I have gathered from d news and that s a lot of it trust me India has lost it s way to curb the spread thanks 2 Covidiots amp v should get prepared for Stage02 unless we SOMEHOW control it JaiMataDi Durgasthamj boycottchinaproducts,[],,,,,,,
"Cont...Previous post #Doctor4Covid : RDA NIMS and Member of URDA condemn attack on doctor in gandhi hospital , Hyderabad , Telangana #COVID19Pandemic #DoctorsSpeakUp #COVID #COVID19 #StayAtHome #DoctorsAgainstAssualt https://twitter.com/UnitedRda/status/1245367914716205058",2020-04-01 16:25:43+00:00,2,9,#Doctor4Covid #COVID19Pandemic #DoctorsSpeakUp #COVID #COVID19 #StayAtHome #StayAtHome #DoctorsAgainstAssualt,Delhi,Cont Previous post Doctor4Covid RDA NIMS and Member of URDA condemn attack on doctor in gandhi hospital Hyderabad Telangana COVID19Pandemic DoctorsSpeakUp COVID COVID19 StayAtHome DoctorsAgainstAssualt,[],,,,,,,
#TablighiJamaat failing #21daysLockdownIndia Please sir @narendramodi have a look on this problem this is much bigger than #COVID19 ,2020-04-01 16:12:29+00:00,0,0,#TablighiJamaat #21daysLockdownIndia #COVID19,Delhi,TablighiJamaat failing 21daysLockdownIndia Please sir have a look on this problem this is much bigger than COVID19,"[{'score': 0.756863, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
#Corona का भारत में असर कोरोना से हिंदुस्तान की लड़ाई। Last week's upload but please watch to kill ur lockdown boredom. Hopefully my broken Hindi will keep u on . @SudarshanNewsTV #SudarshanAllInOne #IndiaLockDown @narendramodi #CoronaUpdates #Covid19 ,2020-04-01 15:56:32+00:00,2,3,#Corona #SudarshanAllInOne #IndiaLockDown #CoronaUpdates #Covid19,Delhi,Corona Last week s upload but please watch to kill ur lockdown boredom Hopefully my broken Hindi will keep u on SudarshanAllInOne IndiaLockDown CoronaUpdates Covid19,"[{'score': 0.702419, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
#CoronaVirusUpdates 32 new #COVID19 cases reported in New Delhi. Total cases now in India’s national capital at 152. ,2020-04-01 15:46:43+00:00,0,0,#CoronaVirusUpdates #COVID19,Delhi,CoronaVirusUpdates 32 new COVID19 cases reported in New Delhi Total cases now in India s national capital at 152,[],,,,,,,
"When everybody saying it's ""Hotspot"" ..please check all the connections from this hotspot. #Covid19 #Deshbachao",2020-04-01 15:42:43+00:00,0,0,#Covid19 #Deshbachao,Delhi,When everybody saying it s Hotspot please check all the connections from this hotspot Covid19 Deshbachao,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
Wimbledon Cancelled #COVID19 ,2020-04-01 15:26:38+00:00,5,18,#COVID19,Delhi,Wimbledon Cancelled COVID19,"[{'score': 0.768569, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
"Hon. (@TelanganaCMO) A doctor was assaulted in Gandhi hospital , hydrabad, telangana after a covid 19 positive patient died. Please initiate action against the culprit Cc: (@AmitShahOffice) #doctor4covid #COVID19 #COVID19Pandemic",2020-04-01 15:10:23+00:00,21,39,#doctor4covid #COVID19 #COVID19Pandemic,Delhi,Hon A doctor was assaulted in Gandhi hospital hydrabad telangana after a covid 19 positive patient died Please initiate action against the culprit Cc doctor4covid COVID19 COVID19Pandemic,[],,,,,,,
Brilliant idea ! China constructed 1000 bed hospital in record 10 days. Indian Railways is preparing to set up 3.2 lakh isolation &quarantine beds by modifying 20000 coaches. #COVID19Pandemic It is a brilliant idea that any country can follow to counter #COVID19 ,2020-04-01 14:57:08+00:00,0,3,#COVID19Pandemic #COVID19,Delhi,Brilliant idea China constructed 1000 bed hospital in record 10 days Indian Railways is preparing to set up 3 2 lakh isolation quarantine beds by modifying 20000 coaches COVID19Pandemic It is a brilliant idea that any country can follow to counter COVID19,"[{'score': 0.726322, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.783746, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,1.0,,
