Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,joy,sadness,tentative,confident,anger,fear
"The current count of #COVID19 patients in the state of Maharashtra is 1574. Newly 210 patients have been identified as positive in the state today. From these, 188 patients have been cured and discharged from the hospital.",2020-04-10 17:07:54+00:00,0,0,#COVID19,Mumbai,The current count of COVID19 patients in the state of Maharashtra is 1574 Newly 210 patients have been identified as positive in the state today From these 188 patients have been cured and discharged from the hospital,"[{'score': 0.575806, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1,,,,,,
"I seriously feel like defenestrating #covid19, although I know i cant. Can someone pls find a cure soon ? @TheTweetOfGod pls help ",2020-04-10 16:32:21+00:00,0,1,#covid19,Mumbai,I seriously feel like defenestrating covid19 although I know i cant Can someone pls find a cure soon pls help,[],,,,,,,
Did you noticed sudden rise of insurance commercials ? . #insurance #advertising #stayhome #stayhealthy #staysafe #stayhomestaysafe #covid19 #coronavirus #lockdown #quarantine #chinesevirus,2020-04-10 16:07:28+00:00,0,0,#insurance #advertising #stayhome #stayhome #stayhealthy #staysafe #stayhomestaysafe #covid19 #coronavirus #lockdown #quarantine #chinesevirus,Mumbai,Did you noticed sudden rise of insurance commercials insurance advertising stayhome stayhealthy staysafe stayhomestaysafe covid19 coronavirus lockdown quarantine chinesevirus,[],,,,,,,
"Creative Fibrotech with latest corona virus #Covid19 innovation. Can be used in airports, gardens, theatres, offices, malls and all crowded places. Creative Fibrotech W-159, S block, MIDC, Bhosari. Pune 411026 Cont: 09834123460. Gift from rescued animals to all humans in need. ",2020-04-10 15:15:10+00:00,7,25,#Covid19,Mumbai,Creative Fibrotech with latest corona virus Covid19 innovation Can be used in airports gardens theatres offices malls and all crowded places Creative Fibrotech W 159 S block MIDC Bhosari Pune 411026 Cont 09834123460 Gift from rescued animals to all humans in need,"[{'score': 0.716273, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1,,,1,,
"Complete Lockdown across #Dongri #Mumbai for 3 Days,considering rise in #Covid19 cases. By Order only Pharmacies will be open &amp; can sell only medicine, further update will be shared. #COVID2019india #coronaupdatesindia #MumbaiLockdown #CoronaInMaharashtra",2020-04-10 15:08:03+00:00,0,0,#Dongri #Mumbai #Covid19 #COVID2019india #coronaupdatesindia #MumbaiLockdown #CoronaInMaharashtra,Mumbai,Complete Lockdown across Dongri Mumbai for 3 Days considering rise in Covid19 cases By Order only Pharmacies will be open amp can sell only medicine further update will be shared COVID2019india coronaupdatesindia MumbaiLockdown CoronaInMaharashtra,"[{'score': 0.511454, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1,,,,,,
"great to see India rise to this grand challenge, and support citizens of many countries fight #covid19 seems like a prudent approach! #MakeInIndia Go India !!! ",2020-04-10 15:02:50+00:00,1,4,#covid19 #MakeInIndia,Mumbai,great to see India rise to this grand challenge and support citizens of many countries fight covid19 seems like a prudent approach MakeInIndia Go India,"[{'score': 0.502611, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.594263, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1,,1,,,
Click this link https://youtu.be/qfGCCdRhzMk Lockdown Learning Motivational Video Hope you like this ! #LockdownExtended #CoronaVirusUpdates #covid19pandemic #corona #stayhomesavelives #staysafeathome #StayHomeStaySafe #covid19 #coronavirus #skilldevelopment #familytime,2020-04-10 14:56:04+00:00,0,2,#LockdownExtended #CoronaVirusUpdates #covid19pandemic #corona #stayhomesavelives #staysafeathome #StayHomeStaySafe #covid19 #coronavirus #skilldevelopment #familytime,Mumbai,Click this link Lockdown Learning Motivational Video Hope you like this LockdownExtended CoronaVirusUpdates covid19pandemic corona stayhomesavelives staysafeathome StayHomeStaySafe covid19 coronavirus skilldevelopment familytime,"[{'score': 0.526816, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1,1,,1,,,
"Face masks down, out on the road, not maintaining social distance The only good things about this pic are those Pajamas. . . . . #Covid19 #21daysLockdown #Quarantine #QuaratineAndChill #covidindia… https://www.instagram.com/p/B-zd03AAwuP/?igshid=14sz3211ggxlz",2020-04-10 14:44:37+00:00,0,5,#Covid19 #21daysLockdown #Quarantine #QuaratineAndChill #covidindia,Mumbai,Face masks down out on the road not maintaining social distance The only good things about this pic are those Pajamas Covid19 21daysLockdown Quarantine QuaratineAndChill covidindia,"[{'score': 0.694621, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1,,,,,
Thanks @UrvashiRautela for exposing the juvenile PR campaign being run in these troubled times by the Maharashtra govt who is more concerned about using a pandemic as a brand building opportunity. #CoronavirusOutbreakindia #COVID19 ,2020-04-10 14:41:37+00:00,29,79,#CoronavirusOutbreakindia #COVID19,Mumbai,Thanks for exposing the juvenile PR campaign being run in these troubled times by the Maharashtra govt who is more concerned about using a pandemic as a brand building opportunity CoronavirusOutbreakindia COVID19,[],,,,,,,
"Maharashtra Govt's health officials check passengers for any symptoms of #COVID19. Forms in duplicate must be filled by the passenger. Temp readings are taken, noted, stamped. Only after they're satisfied, boarding pass is issued with one copy retained &amp; one given to passenger. – at Chhatrapati Shivaji International Airport",2020-04-10 14:39:47+00:00,0,0,#COVID19,Mumbai,Maharashtra Govt s health officials check passengers for any symptoms of COVID19 Forms in duplicate must be filled by the passenger Temp readings are taken noted stamped Only after they re satisfied boarding pass is issued with one copy retained amp one given to passenger at Chhatrapati Shivaji International Airport,[],,,,,,,
"Y O U... are your own #gym #covid19 #lockdown #indoor #fitness #exercise #marklauren #yayog #mobility #calisthenics #prep #mumbai #india @Mumbai, Maharashtra https://www.instagram.com/p/B-zbZiSpwGw/?igshid=1blmbg3myn4bu",2020-04-10 14:29:11+00:00,0,1,#gym #covid19 #lockdown #indoor #fitness #exercise #marklauren #yayog #mobility #calisthenics #prep #mumbai #india,Mumbai,Y O U are your own gym covid19 lockdown indoor fitness exercise marklauren yayog mobility calisthenics prep mumbai india Maharashtra,"[{'score': 0.773768, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1,,,,,
"While the team at Succulence is observing #isolation and #quarantine to beat #covid19 ...it is also waiting to get back to baking @Kharghar, India https://www.instagram.com/p/B-zb-9Ml5co/?igshid=1v6izlj3rtsec",2020-04-10 14:28:38+00:00,0,0,#isolation #quarantine #covid19,Mumbai,While the team at Succulence is observing isolation and quarantine to beat covid19 it is also waiting to get back to baking India,[],,,,,,,
"#Maharashtra has undertaken 30k tests, followed by #Rajasthan with 22k tests - Kerala with 12K tests, no other states in #India around 10K tests..this is a worrying trend...Southern states need to test more #COVID19 ",2020-04-10 14:26:19+00:00,2,5,#Maharashtra #Rajasthan #India #COVID19,Mumbai,Maharashtra has undertaken 30k tests followed by Rajasthan with 22k tests Kerala with 12K tests no other states in India around 10K tests this is a worrying trend Southern states need to test more COVID19,[],,,,,,,
I am sure and very hopeful that once this #Covid19 pendemic is over India will have better enhances medical health care facility and it will improve regular system . @PMOIndia thanks to all Frontline Health care soldiers,2020-04-10 14:24:33+00:00,0,3,#Covid19,Mumbai,I am sure and very hopeful that once this Covid19 pendemic is over India will have better enhances medical health care facility and it will improve regular system thanks to all Frontline Health care soldiers,"[{'score': 0.661878, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.67107, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1,,,1,,
"Breaking : #Mumbai crosses 1000-mark. With 132 new #covid19 cases reported today, the total cases in Mumbai as on Friday are 1008. #COVID19 #covidmumbai",2020-04-10 14:15:06+00:00,11,6,#Mumbai #covid19 #COVID19 #covidmumbai,Mumbai,Breaking Mumbai crosses 1000 mark With 132 new covid19 cases reported today the total cases in Mumbai as on Friday are 1008 COVID19 covidmumbai,[],,,,,,,
"Presenting, the Number 2 #busiest international #airport in India: #chhatrapatishivajimaharaj #BOM as #COVID19 sweeps #India, with the most number of cases reported in this very state of #Maharashtra with its epicenter being #Mumbai. – at Terminal 2",2020-04-10 13:36:52+00:00,0,1,#busiest #airport #chhatrapatishivajimaharaj #BOM #COVID19 #India #Maharashtra #Mumbai,Mumbai,Presenting the Number 2 busiest international airport in India chhatrapatishivajimaharaj BOM as COVID19 sweeps India with the most number of cases reported in this very state of Maharashtra with its epicenter being Mumbai at Terminal 2,[],,,,,,,
No Positive Case Of #Covid19 In #darul_uloom_deoband. #Alhamdulillah @BBCUrdu @asadowaisi,2020-04-10 13:07:08+00:00,0,4,#Covid19 #darul_uloom_deoband #Alhamdulillah,Mumbai,No Positive Case Of Covid19 In darul uloom deoband Alhamdulillah,"[{'score': 0.543609, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1,,,
M/o Railways Press Release about Publication of media reports on travel protocol etc of trains passengers on resumption of train services. #COVID19 ,2020-04-10 12:46:16+00:00,1,1,#COVID19,Mumbai,M o Railways Press Release about Publication of media reports on travel protocol etc of trains passengers on resumption of train services COVID19,[],,,,,,,
#johnhopkins #covid19 #fightcoronavirus #indiafightscorona #news #stayhome #staysafe #stayalive #quarantine #selfisolation @Somewhere Safe During Quarantine https://www.instagram.com/p/B-zMqtOhyZpJr_EJ79jSUEaakwIw_o-yhgXPVc0/?igshid=106mffymfpap6,2020-04-10 12:14:41+00:00,0,0,#johnhopkins #covid19 #fightcoronavirus #indiafightscorona #news #stayhome #stayhome #staysafe #stayalive #quarantine #selfisolation,Mumbai,johnhopkins covid19 fightcoronavirus indiafightscorona news stayhome staysafe stayalive quarantine selfisolation Safe During Quarantine,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1,,,,,,
"There is good news coming in from the sleepy town of Islampur, Sangli. Of the 26 #COVID19 cases reported there, 22 have tested negative. With this #islampur is leading the way in containment measures and implementing #lockdown completely.",2020-04-10 11:22:59+00:00,9,26,#COVID19 #islampur #lockdown,Mumbai,There is good news coming in from the sleepy town of Islampur Sangli Of the 26 COVID19 cases reported there 22 have tested negative With this islampur is leading the way in containment measures and implementing lockdown completely,"[{'score': 0.546255, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1,,,,,
#coronavirus pandemic has caused almost all firms to deploy the work from home practice for employees. While some may be used to this and other may feel the first time experience in working #wfh. So here are some important points. #akundco #pandemic2020 #covid19 #coronavirusindia,2020-04-10 10:49:54+00:00,0,0,#coronavirus #wfh #akundco #pandemic2020 #covid19 #coronavirusindia,Mumbai,coronavirus pandemic has caused almost all firms to deploy the work from home practice for employees While some may be used to this and other may feel the first time experience in working wfh So here are some important points akundco pandemic2020 covid19 coronavirusindia,"[{'score': 0.731338, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1,,,
"#COVID19 our area too sealed today, central park, virar west Tough times ahead ",2020-04-10 10:19:33+00:00,2,4,#COVID19,Mumbai,COVID19 our area too sealed today central park virar west Tough times ahead,"[{'score': 0.548618, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1,,,,
‘US at top of the hill of COVID-19 infections’: US President Donald Trump https://youtu.be/22-etI5_iqo via @YouTube We’re so close now #COVIDー19 #coronavirusinindia #CoronavirusLockdown #LockdownExtended #lockdownextension #COVID19,2020-04-10 09:58:00+00:00,0,1,#COVID #coronavirusinindia #CoronavirusLockdown #LockdownExtended #lockdownextension #COVID19,Mumbai,US at top of the hill of COVID 19 infections US President Donald Trump via We re so close now COVID 19 coronavirusinindia CoronavirusLockdown LockdownExtended lockdownextension COVID19,[],,,,,,,
"Posted withregram • creativecuisinesinc CCi in service of the country! Check out our feature in zeenews You can also help in fighting #Covid19 by staying home, staying clean and staying safe! #StayHome #StayClean… https://www.instagram.com/p/B-y7NL6JRZK/?igshid=1lux9karaq1mt",2020-04-10 09:43:11+00:00,0,1,#Covid19 #StayHome #StayHome #StayClean,Mumbai,Posted withregram creativecuisinesinc CCi in service of the country Check out our feature in zeenews You can also help in fighting Covid19 by staying home staying clean and staying safe StayHome StayClean,"[{'score': 0.629992, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1,,,,,,
Here are few tips on how to be safe at the time of #covi̇d19 #quarantineandchill #mypandemicsurvivalplan #duringmy21dayquarantine #pandemic #coronavirusoutbreak #coronavirusindia,2020-04-10 08:54:20+00:00,0,0,#covi #quarantineandchill #mypandemicsurvivalplan #duringmy21dayquarantine #pandemic #coronavirusoutbreak #coronavirusindia,Mumbai,Here are few tips on how to be safe at the time of covi d19 quarantineandchill mypandemicsurvivalplan duringmy21dayquarantine pandemic coronavirusoutbreak coronavirusindia,[],,,,,,,
"How to make your work impressive during these times? Add the term 'Black Swan event' or say ""We are caught in a black swan event..."" in each mail/report you make! Thank me later. #coronavirus #covid19",2020-04-10 08:42:05+00:00,0,0,#coronavirus #covid19,Mumbai,How to make your work impressive during these times Add the term Black Swan event or say We are caught in a black swan event in each mail report you make Thank me later coronavirus covid19,"[{'score': 0.528065, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1,,,,,
@CadburyWorld You make 300 million Easter Eggs every year. Could you please donate those in India? Do it for the essential services workers and migrant workers. Feed the poor. Feed the needy. Feed those who help the society 24/7. @AUThackeray @mybmc #Covi,2020-04-10 08:36:43+00:00,0,0,#Covid19 #FeedTheNation,Mumbai,You make 300 million Easter Eggs every year Could you please donate those in India Do it for the essential services workers and migrant workers Feed the poor Feed the needy Feed those who help the society 24 7 Covid19 FeedTheNation,[],,,,,,,
"The best satisfying task so far was coordinating N95 masks, Sanitisers and use and throw masks for our small Rural Hospital at Uran, Raigad. Small gesture but indeed a great pleasure. #CoronaLockdown #Lockdown. #IndiaFightsCoronavirus #StayHomeIndia #Covid19 #civildefence",2020-04-10 08:35:34+00:00,0,4,#CoronaLockdown #Lockdown #IndiaFightsCoronavirus #StayHomeIndia #Covid19 #civildefence,Mumbai,The best satisfying task so far was coordinating N95 masks Sanitisers and use and throw masks for our small Rural Hospital at Uran Raigad Small gesture but indeed a great pleasure CoronaLockdown Lockdown IndiaFightsCoronavirus StayHomeIndia Covid19 civildefence,"[{'score': 0.817715, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1,,,,,
Warning to #corona . . #humhindustani #IndiaFightsCarona #GharBaithoIndia #covid19 ,2020-04-10 08:28:01+00:00,1115,10470,#corona #humhindustani #IndiaFightsCarona #GharBaithoIndia #covid19,Mumbai,Warning to corona humhindustani IndiaFightsCarona GharBaithoIndia covid19,"[{'score': 0.722777, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,1,
Haldiram ready to eat snacks MTR ITC ready to eat All biscuits All bakery products Milk powder Cerelac Corn flakes Chocolates (soldiers eat for sustainance) Slice cakes Instant noodles Soft drinks Bottled canned packed beverages #FeedTheNation @AUThackeray @mybmc #covid19,2020-04-10 08:27:10+00:00,0,0,#FeedTheNation #covid19,Mumbai,Haldiram ready to eat snacks MTR ITC ready to eat All biscuits All bakery products Milk powder Cerelac Corn flakes Chocolates soldiers eat for sustainance Slice cakes Instant noodles Soft drinks Bottled canned packed beverages FeedTheNation covid19,"[{'score': 0.649512, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1,,
"Long lasting, dry, edible after mixing with water, calorie dense, nutritious food options that can be given to poor, homeless, migrant workers, ragpickers, sanitation workers and all essential services workers. Are you listening @Nestle @BritanniaIndLtd @NaturesBasket #Covid19",2020-04-10 08:21:12+00:00,0,0,#Covid19,Mumbai,Long lasting dry edible after mixing with water calorie dense nutritious food options that can be given to poor homeless migrant workers ragpickers sanitation workers and all essential services workers Are you listening Covid19,"[{'score': 0.603437, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.567034, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1,,1,,
"There is no PLAN B. Only PLAN A & that's WINNING. Words from the legend @therealkapildev at #NTLF2020 https://bit.ly/3c4iPvm So true in today's context! Being an ardent cricket fan, looking forward to @83thefilm post #COVID19, earlier slated to release today @RanveerOfficial",2020-04-10 07:35:01+00:00,2,13,#NTLF2020 #COVID19,Mumbai,There is no PLAN B Only PLAN A that s WINNING Words from the legend at NTLF2020 So true in today s context Being an ardent cricket fan looking forward to post COVID19 earlier slated to release today,"[{'score': 0.733465, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1,,,,,
"#Update: After contributing ₹ 25 cr to #PMCares, #AkshayKumar contributes ₹ 3 cr to #BMC to assist in the making of PPEs, masks and rapid testing kits... #COVID19Pandemic #CoronaVirus #Covid_19 #COVID19",2020-04-10 07:03:10+00:00,1,1,#Update #PMCares #AkshayKumar #BMC #COVID19Pandemic #CoronaVirus #Covid_19 #COVID19,Mumbai,Update After contributing 25 cr to PMCares AkshayKumar contributes 3 cr to BMC to assist in the making of PPEs masks and rapid testing kits COVID19Pandemic CoronaVirus Covid 19 COVID19,[],,,,,,,
"@oppomobileindia We are grateful to @OPPOMobileIndia for extending a helping hand to serve food to thousands of people stranded due to #COVID19, for upcoming 10 days. #IndiaFightsCorona – at ISKCON",2020-04-10 06:39:21+00:00,0,0,#COVID19 #IndiaFightsCorona,Mumbai,We are grateful to for extending a helping hand to serve food to thousands of people stranded due to COVID19 for upcoming 10 days IndiaFightsCorona at ISKCON,"[{'score': 0.728215, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1,,,,,
"Enty for local vehicles only ซอยบ้าน สงวนสิทธิ์มากตอนนี้ #stayhome #staysafe #workfromhome #lockdownmumbai #lockdownindia #covid19 #covid19india @Mahim, Maharashtra, India – at Rizvi Heights",2020-04-10 06:24:22+00:00,0,0,#stayhome #stayhome #staysafe #workfromhome #lockdownmumbai #lockdownindia #covid19 #covid19india,Mumbai,Enty for local vehicles only stayhome staysafe workfromhome lockdownmumbai lockdownindia covid19 covid19india Maharashtra India at Rizvi Heights,[],,,,,,,
"Maharashtra: 16 new #COVID19 positive cases have been reported in the state today, taking the total number of positive cases in the state to 1380.",2020-04-10 06:24:01+00:00,0,0,#COVID19,Mumbai,Maharashtra 16 new COVID19 positive cases have been reported in the state today taking the total number of positive cases in the state to 1380,"[{'score': 0.668955, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1,,,1,,
"Enty for local vehicles only ซอยบ้าน สงวนสิทธิ์มากตอนนี้ #stayhome #staysafe #workfromhome #lockdownmumbai #lockdownindia #covid19 #covid19india @Mahim, Maharashtra, India https://www.instagram.com/p/B-yi7dRAfzRzdhHVG6JmiRahUUQIRBDgfskw700/?igshid=t6qn2bypkgqf",2020-04-10 06:09:58+00:00,0,0,#stayhome #stayhome #staysafe #workfromhome #lockdownmumbai #lockdownindia #covid19 #covid19india,Mumbai,Enty for local vehicles only stayhome staysafe workfromhome lockdownmumbai lockdownindia covid19 covid19india Maharashtra India,[],,,,,,,
"All INDIA Police department#doctors, nurses, NGOs volunteers, Workers, govt. officials,building ke guards ko #DilSeThankYou kehna chahti hoon. Aap hain isiliye hum surakshit hain #IndiaFightsCorona#ThankYou #grateful #COVID19#stayhome #staysafe #stayindoors #savelivesstayhome",2020-04-10 06:01:10+00:00,1,4,#DilSeThankYou #grateful #grateful #staysafe #stayindoors #savelivesstayhome,Mumbai,All INDIA Police department doctors nurses NGOs volunteers Workers govt officials building ke guards ko DilSeThankYou kehna chahti hoon Aap hain isiliye hum surakshit hain IndiaFightsCorona ThankYou grateful COVID19 stayhome staysafe stayindoors savelivesstayhome,"[{'score': 0.686293, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1,,,,,
"#thankyou for your help and #services during the #coronavirus #covid19 #pandemic even the #train and #bus #drivers @Mumbai, Maharashtra https://www.instagram.com/p/B-yh2OLA3xf/?igshid=18hf5mydnpz6l",2020-04-10 06:00:48+00:00,0,0,#thankyou #thankyou #services #coronavirus #covid19 #pandemic #train #bus #drivers,Mumbai,thankyou for your help and services during the coronavirus covid19 pandemic even the train and bus drivers Maharashtra,"[{'score': 0.69103, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1,,1,,,
"Home is where you feel loved, appreciated, & safe. @sayali_sanjeev #stayathomestaysafe - - #factfriday #SayaliSanjeev #smile #happiness #marathicelebs #actress #COVID19 #StaySafe #stayathome #SocialDistancing #StayHealthy #indialockdown #mediabuzz #MediaBuzzPR",2020-04-10 05:51:57+00:00,1,5,#stayathomestaysafe #factfriday #SayaliSanjeev #smile #happiness #marathicelebs #actress #COVID19 #StaySafe #stayathome #stayathome #SocialDistancing #StayHealthy #indialockdown #mediabuzz #MediaBuzzPR,Mumbai,Home is where you feel loved appreciated safe sanjeev stayathomestaysafe factfriday SayaliSanjeev smile happiness marathicelebs actress COVID19 StaySafe stayathome SocialDistancing StayHealthy indialockdown mediabuzz MediaBuzzPR,"[{'score': 0.979366, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1,1,,,,,
"All other countries are fighting with #CoronaVirus Only, but unfortunately India is fighting with 2 virus at a same time!! 1) #COVID19 2) #MediaVirus",2020-04-10 04:55:13+00:00,0,0,#CoronaVirus #COVID19 #MediaVirus,Mumbai,All other countries are fighting with CoronaVirus Only but unfortunately India is fighting with 2 virus at a same time 1 COVID19 2 MediaVirus,"[{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1,,
"We always wear masks, it's just that #covid19 has made it visible #coronamusings",2020-04-10 04:36:51+00:00,0,9,#covid19 #coronamusings,Mumbai,We always wear masks it s just that covid19 has made it visible coronamusings,[],,,,,,,
"#FoodAid Distributed 60 kits to our Indians from North East who come to Mumbai to earn their livelihood in Vakola, Juhu Koliwada, Malad Malwani, Kalina Chawls, 4 Bungalows in Andheri #Covid_19india #helpeach1 #coronalockdown #Lockdown21 #kindnessmatters #Covid19 ",2020-04-10 04:30:38+00:00,1,5,#FoodAid #Covid_19india #helpeach1 #coronalockdown #Lockdown21 #kindnessmatters #Covid19,Mumbai,FoodAid Distributed 60 kits to our Indians from North East who come to Mumbai to earn their livelihood in Vakola Juhu Koliwada Malad Malwani Kalina Chawls 4 Bungalows in Andheri Covid 19india helpeach1 coronalockdown Lockdown21 kindnessmatters Covid19,[],,,,,,,
"Five fresh #Covid19 positive cases reported form #Mumbai #Dharavi, the largest slum cluster of Asia @DeccanHerald #Maharashtra",2020-04-10 04:14:08+00:00,2,3,#Covid19 #Mumbai #Dharavi #Maharashtra,Mumbai,Five fresh Covid19 positive cases reported form Mumbai Dharavi the largest slum cluster of Asia Maharashtra,"[{'score': 0.570631, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1,,,1,,
The news channels are highlighting total COVID19 cases and total deaths in the last 24 hours. Give people some hope. Highlight the number of recovery cases as well. #COVID19,2020-04-10 03:32:28+00:00,0,0,#COVID19,Mumbai,The news channels are highlighting total COVID19 cases and total deaths in the last 24 hours Give people some hope Highlight the number of recovery cases as well COVID19,"[{'score': 0.594909, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1,,,,
"It is no secret that the #coronavirus mutated through various life forms. We are gullible to think that there is an instant cure to this anomaly. There isn't one, atleast not in the near future. Humans are the mode of transport for the virus. #COVID19 #Lockdown #TheVirus",2020-04-10 02:47:48+00:00,0,2,#coronavirus #COVID19 #Lockdown #TheVirus,Mumbai,It is no secret that the coronavirus mutated through various life forms We are gullible to think that there is an instant cure to this anomaly There isn t one atleast not in the near future Humans are the mode of transport for the virus COVID19 Lockdown TheVirus,[],,,,,,,
"Mr @ArvindKejriwal @CMODelhi Giving update on #COVID19 is good. But why state sources especially highlighting Markaz? No temple gathering? Minister's party? Holi revelry? Your act is criminal considering, it further imposes stigma of #coronavirus carriers on Muslims!",2020-04-10 01:11:23+00:00,0,0,#COVID19 #coronavirus,Mumbai,Mr Giving update on COVID19 is good But why state sources especially highlighting Markaz No temple gathering Minister s party Holi revelry Your act is criminal considering it further imposes stigma of coronavirus carriers on Muslims,"[{'score': 0.548904, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1,,,,,,
"U need to learn from this @CMOMaharashtra. As soon as the no. of cases started increasing, they took hold of it Sincerely &amp; Seriously. Unlike ur government. Here, cases r emerging in speed, there is 0% control in the #Covid19 spread. U have absolutely wasted the lockdown period. ",2020-04-09 20:47:38+00:00,0,1,#Covid19,Mumbai,U need to learn from this As soon as the no of cases started increasing they took hold of it Sincerely amp Seriously Unlike ur government Here cases r emerging in speed there is 0 control in the Covid19 spread U have absolutely wasted the lockdown period,"[{'score': 0.551946, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,1,,
"Yeah...rather than seeing government efforts on taming #covid19, you're looking at @PMOIndia tweets. I guess, there's no cure for the virus named @INCIndia. At least don't oppose someone who's working hard, if you can't support. #JaiHind",2020-04-09 18:32:29+00:00,0,0,#covid19 #JaiHind,Mumbai,Yeah rather than seeing government efforts on taming covid19 you re looking at tweets I guess there s no cure for the virus named At least don t oppose someone who s working hard if you can t support JaiHind,"[{'score': 0.511119, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1,,,
"Apart from Personal Contribution from Directors, We at Vikramaditya Realty Pvt. Ltd. have made our Small humble contribution to Prime Minister Shri. Narendra Modi ‘s PM CARES fund to fight the #Coronavirus #PMCaresFund #IndiaFightsCorona #Covid19 ",2020-04-09 17:53:51+00:00,0,4,#Coronavirus #PMCaresFund #IndiaFightsCorona #Covid19,Mumbai,Apart from Personal Contribution from Directors We at Vikramaditya Realty Pvt Ltd have made our Small humble contribution to Prime Minister Shri Narendra Modi s PM CARES fund to fight the Coronavirus PMCaresFund IndiaFightsCorona Covid19,"[{'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1,,,,,,
I downloaded #AarogyaSetuApp ! I appeal everyone to download #AarogyaSetu app to be updated &amp; participate as citizens for the preventive measures against #COVID19 Here are links for downloading: iOS: https://apps.apple.com/in/app/aarogyasetu/id1505825357 Android: https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu #IndiaFightsCornona,2020-04-09 17:53:10+00:00,1,1,#AarogyaSetuApp #AarogyaSetu #COVID19 #IndiaFightsCornona,Mumbai,I downloaded AarogyaSetuApp I appeal everyone to download AarogyaSetu app to be updated amp participate as citizens for the preventive measures against COVID19 Here are links for downloading iOS Android IndiaFightsCornona,"[{'score': 0.658255, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1,,,,
Thanking all the #healthcareheroes who are on the front lines working tirelessly during the covid19 #pandemic2020 We at #FoodCoWorks working to promote #goodhygiene practices to slow the spread of #covid19 #cdc #COVID19Pandemic #slowthespread Source: @canva @WHO,2020-04-09 17:21:51+00:00,1,1,#healthcareheroes #pandemic2020 #FoodCoWorks #goodhygiene #covid19 #cdc #COVID19Pandemic #slowthespread,Mumbai,Thanking all the healthcareheroes who are on the front lines working tirelessly during the covid19 pandemic2020 We at FoodCoWorks working to promote goodhygiene practices to slow the spread of covid19 cdc COVID19Pandemic slowthespread Source,[],,,,,,,
