Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,confident,tentative,analytical,sadness,fear,anger
"The lady is right. New cases will continue to emerge, but #COVID19 will clearly not ""kill millions"" as some forecast. Keep certain precautions in place, but let people resume work, let businesses/shops reopen ! Lockdown beyond May 3rd will do irreparable damage to the economy.",2020-04-24 08:45:38+00:00,0,0,#COVID19,Pune,The lady is right New cases will continue to emerge but COVID19 will clearly not kill millions as some forecast Keep certain precautions in place but let people resume work let businesses shops reopen Lockdown beyond May 3rd will do irreparable damage to the economy,[],,,,,,,
"Death toll due to #COVID19 rises to 718; number of cases climb to 23,077 in #India: Health Ministry http://www.esakal.com #Sakal #SakalNews #viral #ViralNews #SakalMedia #news #Corona #StayHome #COVID2019 #COVID #coronavirus #covidindia #lockdownextension",2020-04-24 04:02:24+00:00,1,3,#COVID19 #India #Sakal #SakalNews #viral #ViralNews #SakalMedia #news #Corona #StayHome #StayHome #COVID2019 #COVID #coronavirus #covidindia #lockdownextension,Pune,Death toll due to COVID19 rises to 718 number of cases climb to 23 077 in India Health Ministry Sakal SakalNews viral ViralNews SakalMedia news Corona StayHome COVID2019 COVID coronavirus covidindia lockdownextension,[],,,,,,,
"Fresh Flour's with home delivery #wheatmart #wheatmartindia #gocorona #stayhomestaysafe #covid_19 #covid19 #family #food #india @Pune, Maharashtra https://www.instagram.com/p/B_VIm3kFl7K/?igshid=peyoaaaxl4fo",2020-04-23 16:33:23+00:00,0,0,#wheatmart #wheatmartindia #gocorona #stayhomestaysafe #covid_19 #covid19 #family #food #india,Pune,Fresh Flour s with home delivery wheatmart wheatmartindia gocorona stayhomestaysafe covid 19 covid19 family food india Maharashtra,"[{'score': 0.653289, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"|| Success is walking from failure to failure with no loss of enthusiasm ll ll We learn more in crisis than in comfort || #covid19 days #hope #forbetterdays @Pune, Maharashtra https://www.instagram.com/p/B_VAmy5FOuA/?igshid=k4mfqsvl9zz8",2020-04-23 15:23:28+00:00,0,0,#covid19 #hope #forbetterdays,Pune,Success is walking from failure to failure with no loss of enthusiasm ll ll We learn more in crisis than in comfort covid19 days hope forbetterdays Maharashtra,"[{'score': 0.619666, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
देर आये दुरुस्त आये.. employers won't be booked for #COVID19 infection to employees #easeofdoingbusiness #Pune #corona,2020-04-23 15:07:01+00:00,1,1,#COVID19 #easeofdoingbusiness #Pune #corona,Pune,employers won t be booked for COVID19 infection to employees easeofdoingbusiness Pune corona,[],,,,,,,
"Death toll due to #COVID19 climbs to 681; number of cases rise to 21,393 in #India: Health Ministry http://www.esakal.com #Sakal #SakalNews #viral #ViralNews #SakalMedia #news #Corona #COVID #COVID2019india #coronaupdatesindia",2020-04-23 04:38:47+00:00,0,1,#COVID19 #India #Sakal #SakalNews #viral #ViralNews #SakalMedia #news #Corona #COVID #COVID2019india #coronaupdatesindia,Pune,Death toll due to COVID19 climbs to 681 number of cases rise to 21 393 in India Health Ministry Sakal SakalNews viral ViralNews SakalMedia news Corona COVID COVID2019india coronaupdatesindia,[],,,,,,,
"Death toll due to #COVID19 climbs to 681; number of cases rise to 21,393 in #India: Health Ministry http://www.sakaltimes.com #Sakal #SakalNews #viral #ViralNews #SakalTimes #news #Corona #COVID #COVID2019india #coronaupdatesindia",2020-04-23 04:22:14+00:00,0,0,#COVID19 #India #Sakal #SakalNews #viral #ViralNews #SakalTimes #news #Corona #COVID #COVID2019india #coronaupdatesindia,Pune,Death toll due to COVID19 climbs to 681 number of cases rise to 21 393 in India Health Ministry Sakal SakalNews viral ViralNews SakalTimes news Corona COVID COVID2019india coronaupdatesindia,[],,,,,,,
Lets celebrate the world book and copyright day 2020 at the comfort of our homes by indulging into some necessary reading. It not only helps to protect ourselves but also widens our horizons towards a long-term approach. #COVID19 #IndiraGroup @ISBS_Indira @IIMP_MBA,2020-04-22 20:45:19+00:00,0,0,#COVID19 #IndiraGroup,Pune,Lets celebrate the world book and copyright day 2020 at the comfort of our homes by indulging into some necessary reading It not only helps to protect ourselves but also widens our horizons towards a long term approach COVID19 IndiraGroup Indira MBA,"[{'score': 0.782453, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.85365, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
I personally appreciate what you did #adarpoonawalla for saving our country and entire world from pandemic #COVID19 Everything will be fine soon. Thanks to you and entire team. ,2020-04-22 20:04:23+00:00,0,1,#adarpoonawalla #COVID19,Pune,I personally appreciate what you did adarpoonawalla for saving our country and entire world from pandemic COVID19 Everything will be fine soon Thanks to you and entire team,"[{'score': 0.682945, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
I personally appreciate what you did #adarpoonawala for saving our country and entire world from pandemic #COVID19 Everything will be fine soon. Thanks to you and entire team.,2020-04-22 20:02:26+00:00,0,0,#adarpoonawala #COVID19,Pune,I personally appreciate what you did adarpoonawala for saving our country and entire world from pandemic COVID19 Everything will be fine soon Thanks to you and entire team,"[{'score': 0.682945, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
I personally appreciate what you did #adarpoonawala for saving our country and entire world from pandemic #COVID19 Everything will be fine soon. Thanks to you and entire team.,2020-04-22 19:59:52+00:00,0,0,#adarpoonawala #COVID19,Pune,I personally appreciate what you did adarpoonawala for saving our country and entire world from pandemic COVID19 Everything will be fine soon Thanks to you and entire team,"[{'score': 0.682945, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Research on psychological responses of #COVID19 affected people? If there are a few behavioral cues, Implying we could detect this early apart from the physical cues! I could be completely wrong, but I feel there's a space for research! #psychology @APA @HiddenBrain",2020-04-22 16:04:22+00:00,0,0,#COVID19 #psychology,Pune,Research on psychological responses of COVID19 affected people If there are a few behavioral cues Implying we could detect this early apart from the physical cues I could be completely wrong but I feel there s a space for research psychology,"[{'score': 0.573334, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.861593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,1.0,,
Top 10 April 2020 Look Unedited Share your look 2020 unedited if you dare #lookofapril #april #lockdownlook #covid19 Look #manofapril2020 #look2020 @Ecotech Biofarm Private Limited https://www.instagram.com/p/B_SYUhZnRYI/?igshid=ikadrhu7bp7d,2020-04-22 14:53:00+00:00,0,0,#lookofapril #april #lockdownlook #covid19 #manofapril2020 #look2020,Pune,Top 10 April 2020 Look Unedited Share your look 2020 unedited if you dare lookofapril april lockdownlook covid19 Look manofapril2020 look2020 Biofarm Private Limited,"[{'score': 0.531451, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Happy #WorldEarthDay Let’s come forward and make actionable changes to our #lifestyle for a #cleaner and #greener earth, and stay united as we are in the #COVID19 crisis ",2020-04-22 07:40:19+00:00,0,0,#WorldEarthDay #lifestyle #cleaner #greener #COVID19,Pune,Happy WorldEarthDay Let s come forward and make actionable changes to our lifestyle for a cleaner and greener earth and stay united as we are in the COVID19 crisis,"[{'score': 0.836438, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Lets fight corona together by following rules by our govt. support frontliners. #coronavirus #covid19 #indiaagainstcorona #coronaupdate #coronaindonesia #coronausa #coronaitaly #coronairan #covid_19 #stayhome… https://www.instagram.com/p/B_Rapa3F2JD/?igshid=qww8ebnkpuha,2020-04-22 05:54:04+00:00,1,1,#coronavirus #covid19 #indiaagainstcorona #coronaupdate #coronaindonesia #coronausa #coronaitaly #coronairan #covid_19 #stayhome #stayhome,Pune,Lets fight corona together by following rules by our govt support frontliners coronavirus covid19 indiaagainstcorona coronaupdate coronaindonesia coronausa coronaitaly coronairan covid 19 stayhome,"[{'score': 0.700133, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
"Death toll due to #COVID19 reaches 640; number of cases rise to 19,984 in #India: Health Ministry http://www.sakaltimes.com #Sakal #SakalNews #viral #ViralNews #SakalTimes #news #Corona #COVID #COVID2019india #COVID #Covid_19",2020-04-22 04:08:19+00:00,1,1,#COVID19 #India #Sakal #SakalNews #viral #ViralNews #SakalTimes #news #Corona #COVID #COVID2019india #COVID #Covid_19,Pune,Death toll due to COVID19 reaches 640 number of cases rise to 19 984 in India Health Ministry Sakal SakalNews viral ViralNews SakalTimes news Corona COVID COVID2019india COVID Covid 19,[],,,,,,,
SET WIDE THE WINDOW. LET ME DRINK THE DAY ... LET ME SEE THE EARTH HEALING .... #NATURE #EARTH #HEALING #COVID19 ,2020-04-22 02:06:06+00:00,3,8,#NATURE #EARTH #HEALING #COVID19,Pune,SET WIDE THE WINDOW LET ME DRINK THE DAY LET ME SEE THE EARTH HEALING NATURE EARTH HEALING COVID19,[],,,,,,,
https://m.facebook.com/story.php?story_fbid=109444087408382&amp;id=109244317428359&amp;extid=CTa887wczXlVmC8U&amp;d=t&amp;vh=e #COVID19 A nice message given by #Children @PMOIndia @narendramodi @uddhavthackeray @OfficeofUT @AjitPawarSpeaks @CMOMaharashtra @AUThackeray @rajeshtope11 @CPPuneCity @CPMumbaiPolice @PuneCityPolice @PuneCityTraffic @PMCPune @Dev_Fadnavis,2020-04-21 19:51:03+00:00,0,0,#COVID19 #Children,Pune,COVID19 A nice message given by Children Fadnavis,"[{'score': 0.8014, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
UK government says Oxford University will begin human trials for a coronavirus vaccine this week #COVID19 ,2020-04-21 17:11:14+00:00,0,0,#COVID19,Pune,UK government says Oxford University will begin human trials for a coronavirus vaccine this week COVID19,[],,,,,,,
The blood level has risen in my alcohol! Darn it #lockdown!! #LifeInLockdown #QuarantineQuotes #Quarantine #QuarantineLife #COVIDー19 #coronavirus #pandemic #StayHome #StaySafeStayHome #QuarantineAndChill #QuarantineDiaries #QuarantineTime #QuarantineActivities #Corona #COVID19 ,2020-04-21 17:06:12+00:00,0,2,#lockdown #LifeInLockdown #QuarantineQuotes #Quarantine #QuarantineLife #COVID #coronavirus #pandemic #StayHome #StayHome #StaySafeStayHome #QuarantineAndChill #QuarantineDiaries #QuarantineTime #QuarantineActivities #Corona #COVID19,Pune,The blood level has risen in my alcohol Darn it lockdown LifeInLockdown QuarantineQuotes Quarantine QuarantineLife COVID 19 coronavirus pandemic StayHome StaySafeStayHome QuarantineAndChill QuarantineDiaries QuarantineTime QuarantineActivities Corona COVID19,[],,,,,,,
"A small initiative by the roadnomadsclub . . . #roadnomads #roadnomadsclub #StayHome #staysafe #lockdown #covid19 @Pune, Maharashtra https://www.instagram.com/p/B_P5JiCg5xF/?igshid=1s3qq4istkwlu",2020-04-21 15:42:37+00:00,0,0,#roadnomads #roadnomadsclub #StayHome #StayHome #staysafe #lockdown #covid19,Pune,A small initiative by the roadnomadsclub roadnomads roadnomadsclub StayHome staysafe lockdown covid19 Maharashtra,[],,,,,,,
"Clapping, praise all this doesn't matter unless we respect any individual including Doctor. What kind of behaviour we are extending towards warrior for #COVID19 . I can't read this but understood it. We should be sorry for it.",2020-04-21 15:31:50+00:00,0,1,#COVID19,Pune,Clapping praise all this doesn t matter unless we respect any individual including Doctor What kind of behaviour we are extending towards warrior for COVID19 I can t read this but understood it We should be sorry for it,[],,,,,,,
Who the fuck gave him #COVID19 ,2020-04-21 15:04:29+00:00,0,1,#COVID19,Pune,Who the fuck gave him COVID19,"[{'score': 0.879103, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,,1.0
"Yes, Lockdown slows death but it helps you to build more medical infrastructure. Mobilse ex army doctors, ex servicemen & paramedics of Basirhat. Create more medical units & save people of ur constituency after lockdown. #COVID19 same for poor &amp; rich",2020-04-21 09:59:57+00:00,0,0,#COVID19,Pune,Yes Lockdown slows death but it helps you to build more medical infrastructure Mobilse ex army doctors ex servicemen paramedics of Basirhat Create more medical units save people of ur constituency after lockdown COVID19 same for poor amp rich,"[{'score': 0.797166, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
Managing Covid-19 Stress. #stayhome#staysafe#stopthespread #covi̇d19#love#beautiful#tbt @पिंपरी चिंचवड - Pimpri Chinchwad City https://www.instagram.com/p/B_PN3UyHv5T/?igshid=1lvxx2jcl3ql0,2020-04-21 09:23:53+00:00,0,0,,Pune,Managing Covid 19 Stress stayhome staysafe stopthespread covi d19 love beautiful tbt Pimpri Chinchwad City,"[{'score': 0.90722, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Listen @Imabhijit_IND today in-between 2 to 5pm on #Redkabachelor with Me. Tune into 93.5 Redfm Bajaate Raho. #Cottonmask #HomemadeMasks #MaskIndia #coronavirus #OilPrice #Corona #COVID19 #kolkata #pune,2020-04-21 06:43:34+00:00,2,4,#Redkabachelor #Cottonmask #HomemadeMasks #MaskIndia #coronavirus #OilPrice #Corona #COVID19 #kolkata #pune,Pune,Listen IND today in between 2 to 5pm on Redkabachelor with Me Tune into 93 5 Redfm Bajaate Raho Cottonmask HomemadeMasks MaskIndia coronavirus OilPrice Corona COVID19 kolkata pune,"[{'score': 0.537654, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Tag the invisible genius in the comments below. #Skovian #TagYourColleague #WFH #DigitalAgency #StayHome #StaySafe #COVID19 #Lockdown #LockdownIndia #LockdownWorkLife #TuesdayThoughts #TuesdayVibes,2020-04-21 05:13:37+00:00,0,1,#Skovian #TagYourColleague #WFH #DigitalAgency #StayHome #StayHome #StaySafe #COVID19 #Lockdown #LockdownIndia #LockdownWorkLife #TuesdayThoughts #TuesdayVibes,Pune,Tag the invisible genius in the comments below Skovian TagYourColleague WFH DigitalAgency StayHome StaySafe COVID19 Lockdown LockdownIndia LockdownWorkLife TuesdayThoughts TuesdayVibes,"[{'score': 0.509148, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"And yet we are the country with the least percentile #COVID19 impact... considering population density and spread! I guess that means our law and order is working just fine, thank you very much! Also... float your own boat and let us handle our own scandal! @PuneCityPolice",2020-04-20 21:35:44+00:00,0,0,#COVID19,Pune,And yet we are the country with the least percentile COVID19 impact considering population density and spread I guess that means our law and order is working just fine thank you very much Also float your own boat and let us handle our own scandal,"[{'score': 0.613236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
So why is #Oil trading negative??? #WTI #corona #covid19 ,2020-04-20 20:10:54+00:00,0,0,#Oil #WTI #corona #covid19,Pune,So why is Oil trading negative WTI corona covid19,[],,,,,,,
Done sir (Amount undisclosed) Arogya setu is a good platform and have updated Information of #COVID19 statistics and #PMCaresFund which confirms that money is going to right destination #ArogyaSetuApp #IndiaFightsCoronavirus,2020-04-20 15:13:11+00:00,0,0,#COVID19 #PMCaresFund #ArogyaSetuApp #IndiaFightsCoronavirus,Pune,Done sir Amount undisclosed Arogya setu is a good platform and have updated Information of COVID19 statistics and PMCaresFund which confirms that money is going to right destination ArogyaSetuApp IndiaFightsCoronavirus,"[{'score': 0.664305, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.823864, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
#Mumbai's Dharavi reports 30 new #Covid19 cases; tally 168 with 11 deaths so far: Bombay Municipal Corporation http://www.esakal.com #Sakal #SakalNews #viral #ViralNews #SakalMedia #news #Corona #COVID #COVID2019india #lockdown #Covid19,2020-04-20 14:08:00+00:00,0,4,#Mumbai #Covid19 #Sakal #SakalNews #viral #ViralNews #SakalMedia #news #Corona #COVID #COVID2019india #lockdown #Covid19,Pune,Mumbai s Dharavi reports 30 new Covid19 cases tally 168 with 11 deaths so far Bombay Municipal Corporation Sakal SakalNews viral ViralNews SakalMedia news Corona COVID COVID2019india lockdown Covid19,[],,,,,,,
It's selfish people like these who weaken our fight against #COVID19. It's because of people like these that we are forced to sit at home. For them nothing matters but their selfish routine. It's time we name and shame these selfish people. Shame on you... ,2020-04-20 12:56:17+00:00,0,1,#COVID19,Pune,It s selfish people like these who weaken our fight against COVID19 It s because of people like these that we are forced to sit at home For them nothing matters but their selfish routine It s time we name and shame these selfish people Shame on you,"[{'score': 0.628311, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"A corona testing is done on a person if symptoms are found by taking swabs from nose n mouth. The result is either 1. Positive - means u have covid19 virus. 2. Negative - means u donot have corona virus. Its cold , flu or pneumonia but not covid19 virus #covid19test #covid19",2020-04-20 10:48:01+00:00,0,0,#covid19test #covid19,Pune,A corona testing is done on a person if symptoms are found by taking swabs from nose n mouth The result is either 1 Positive means u have covid19 virus 2 Negative means u donot have corona virus Its cold flu or pneumonia but not covid19 virus covid19test covid19,[],,,,,,,
PMC & PCB efforts to break #COVID19 chain. A small film by @Kumarproperties @CREDAINational @CredaiPunemetro @CREDAIPresident @N_Hiranandani @PuneCityPolice @MoHFW_INDIA #IndiaFightsCoronavirus #Pune #PunePolice #lockdown @ANI @PuneTimesOnline @PMOIndia,2020-04-20 07:55:38+00:00,2,2,#COVID19 #IndiaFightsCoronavirus #Pune #PunePolice #lockdown,Pune,PMC PCB efforts to break COVID19 chain A small film by Hiranandani INDIA IndiaFightsCoronavirus Pune PunePolice lockdown,[],,,,,,,
#goodmorning Economic activities re-starting in non containment zones after April 20 Please read government advisory before venturing outside. #lockdoen #quarantine #covid19 #economicactivities… https://www.instagram.com/p/B_LYmxtAyeY/?igshid=y420zw5oym0i,2020-04-19 21:40:46+00:00,0,0,#goodmorning #lockdoen #quarantine #covid19 #economicactivities,Pune,goodmorning Economic activities re starting in non containment zones after April 20 Please read government advisory before venturing outside lockdoen quarantine covid19 economicactivities,[],,,,,,,
"Post #COVID19, do you think we should release #zoo animals at Natural reserves, where they truly belong? @anandmahindra @narendramodi @siddheshb @aparanjape @TVMohandasPai",2020-04-19 18:47:04+00:00,0,1,#COVID19 #zoo,Pune,Post COVID19 do you think we should release zoo animals at Natural reserves where they truly belong,"[{'score': 0.586987, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
#BreakingNews: Whole city sealed till 27th of April amid the rapidly rising #coronavirus cases. http://www.sakaltimes.com #Sakal #SakalNews #viral #ViralNews #SakalTimes #COVID #Pune #MarathiNews #Maharashtra #coronavirus #COVID19,2020-04-19 18:04:55+00:00,4,4,#BreakingNews #coronavirus #Sakal #SakalNews #viral #ViralNews #SakalTimes #COVID #Pune #MarathiNews #Maharashtra #coronavirus #COVID19,Pune,BreakingNews Whole city sealed till 27th of April amid the rapidly rising coronavirus cases Sakal SakalNews viral ViralNews SakalTimes COVID Pune MarathiNews Maharashtra coronavirus COVID19,[],,,,,,,
German issue bill of #Covid19 damages to #Beijing,2020-04-19 17:43:28+00:00,0,0,#Covid19 #Beijing,Pune,German issue bill of Covid19 damages to Beijing,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"Come on America, save the world from Coronavirus like you do in Hollywood movies. #covid19 #coronavirus",2020-04-19 14:52:50+00:00,0,1,#covid19 #coronavirus,Pune,Come on America save the world from Coronavirus like you do in Hollywood movies covid19 coronavirus,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
@ndtv #covid19 @narendramodi @PMOIndia No relaxation in lockdown should be given till 3rd May. It's going to be fatal.Till a cure is developed people should not be put at risk.Already lot of them are there outside in the name of essential services which is undoubtedly required..,2020-04-19 10:56:02+00:00,0,0,#covid19,Pune,covid19 No relaxation in lockdown should be given till 3rd May It s going to be fatal Till a cure is developed people should not be put at risk Already lot of them are there outside in the name of essential services which is undoubtedly required,[],,,,,,,
#meduvada first try from scratch #lockdown #covi̇d19 #covid #cooking #foodlover #pune #punedairies @Gk Silverland Residency Phase 1 https://www.instagram.com/p/B_J3McNjD3v/?igshid=12yxxkpn8m9ly,2020-04-19 07:29:34+00:00,0,0,#meduvada #lockdown #covi #covid #cooking #foodlover #pune #punedairies,Pune,meduvada first try from scratch lockdown covi d19 covid cooking foodlover pune punedairies Silverland Residency Phase 1,[],,,,,,,
"Another big one day spike in the number of #COVID19 cases in #Maharashtra New Cases: 328 (Mumbai:184, Pune: 78) Total Cases: 3648 Recovered: 331 Death: 201 Stay Home... Stay Safe... Flatten the Curve!",2020-04-19 04:57:05+00:00,0,2,#COVID19 #Maharashtra,Pune,Another big one day spike in the number of COVID19 cases in Maharashtra New Cases 328 Mumbai 184 Pune 78 Total Cases 3648 Recovered 331 Death 201 Stay Home Stay Safe Flatten the Curve,[],,,,,,,
#Switzerland’s iconic #MatterhornMountain were illuminated with the #Indiantricolour late Friday in a show of solidarity for the #country in its fight against the #COVID19 pandemic. #JaiHind #vedio,2020-04-19 04:48:39+00:00,0,0,#Switzerland #MatterhornMountain #Indiantricolour #country #COVID19 #JaiHind #vedio,Pune,Switzerland s iconic MatterhornMountain were illuminated with the Indiantricolour late Friday in a show of solidarity for the country in its fight against the COVID19 pandemic JaiHind vedio,[],,,,,,,
"Another big one day spike in the number of #COVID19 cases in #Maharashtra New Cases: 328 (Mumbai:184, Pune: 78) Total Cases: 3648 Recovered: 331 Death: 201 Stay Home... Stay Safe... Flatten the Curve!",2020-04-18 17:02:47+00:00,1,2,#COVID19 #Maharashtra,Pune,Another big one day spike in the number of COVID19 cases in Maharashtra New Cases 328 Mumbai 184 Pune 78 Total Cases 3648 Recovered 331 Death 201 Stay Home Stay Safe Flatten the Curve,[],,,,,,,
"#covid19 #drinkpurefruits #kingscolddrinks #kingsdiet #colddrinks #contest #covid19contest #staysafe #stayhome contest #india. Q13) D, rare as of now",2020-04-18 07:11:40+00:00,0,3,#covid19 #drinkpurefruits #kingscolddrinks #kingsdiet #colddrinks #contest #covid19contest #staysafe #stayhome #stayhome #india,Pune,covid19 drinkpurefruits kingscolddrinks kingsdiet colddrinks contest covid19contest staysafe stayhome contest india Q13 D rare as of now,"[{'score': 0.674099, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Indeed very innovative way to express friendship. Long live our countries friendship and remain strong as Himalayas and Alps. Thanks @gurleenmalik #COVID19 ,2020-04-18 06:58:00+00:00,0,1,#COVID19,Pune,Indeed very innovative way to express friendship Long live our countries friendship and remain strong as Himalayas and Alps Thanks COVID19,"[{'score': 0.89124, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.597565, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.837444, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,1.0,,,
"It is patently futile to compare #COVID19 lockdown with J&amp;K security post Aug 2019. But journos, one imagines, have to find something to write, however meaningless ! The single most important factor, tho, is that both measures are in the overall interest of our nation, India !",2020-04-18 06:17:46+00:00,0,7,#COVID19,Pune,It is patently futile to compare COVID19 lockdown with J amp K security post Aug 2019 But journos one imagines have to find something to write however meaningless The single most important factor tho is that both measures are in the overall interest of our nation India,"[{'score': 0.716804, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"It is futile to compare the #COVID19 lockdown with the security measures in J&amp;K after Aug 2019. Circumstances are very different. But - all inconveniences/hardships notwithstanding - the one thing both have in common is they are in the overall interest of our nation, India !",2020-04-18 05:53:32+00:00,1,2,#COVID19,Pune,It is futile to compare the COVID19 lockdown with the security measures in J amp K after Aug 2019 Circumstances are very different But all inconveniences hardships notwithstanding the one thing both have in common is they are in the overall interest of our nation India,"[{'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"Death toll due to #COVID19 rises to 480; number of cases climb to 14,378 in #India: Health Ministry http://www.esakal.com #Sakal #SakalNews #viral #ViralNews #SakalMedia #news #Corona #Covid_19 #CoronavirusOutbreak #COVID2019 #COVID #coronavirus",2020-04-18 05:40:06+00:00,0,1,#COVID19 #India #Sakal #SakalNews #viral #ViralNews #SakalMedia #news #Corona #Covid_19 #CoronavirusOutbreak #COVID2019 #COVID #coronavirus,Pune,Death toll due to COVID19 rises to 480 number of cases climb to 14 378 in India Health Ministry Sakal SakalNews viral ViralNews SakalMedia news Corona Covid 19 CoronavirusOutbreak COVID2019 COVID coronavirus,[],,,,,,,
"Highlights from the studies published this week. This week we learnt that infectiousness starts 2-3 days before symptoms, how the anti-viral drug remdesivir kills coronaviruses, and how social media searches can predict the spread of #COVID19. ",2020-04-18 05:33:20+00:00,0,0,#COVID19,Pune,Highlights from the studies published this week This week we learnt that infectiousness starts 2 3 days before symptoms how the anti viral drug remdesivir kills coronaviruses and how social media searches can predict the spread of COVID19,"[{'score': 0.578297, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
"Updated - The #Covid19 pandemic is a huge strategic challenge but it is also an strategic opportunity. We need to mobilise our huge pool of scientists, engineers &amp; data experts to work strategically on innovative solutions needed during the crisis.",2020-04-18 04:41:09+00:00,0,0,#Covid19,Pune,Updated The Covid19 pandemic is a huge strategic challenge but it is also an strategic opportunity We need to mobilise our huge pool of scientists engineers amp data experts to work strategically on innovative solutions needed during the crisis,"[{'score': 0.672528, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"In Pune some Housing Societies have banned all domestic help. 75-80 yr old Sen Citizens, living alone, are left to fend for themselves. Many have serious non-coronavirus ailments, cooking/cleaning is beyond them. So they are forced to cope for weeks without cooked food. #COVID19",2020-04-18 03:57:36+00:00,0,1,#COVID19,Pune,In Pune some Housing Societies have banned all domestic help 75 80 yr old Sen Citizens living alone are left to fend for themselves Many have serious non coronavirus ailments cooking cleaning is beyond them So they are forced to cope for weeks without cooked food COVID19,[],,,,,,,
Thanks @Gopibala006 for helping the folks in the tough times... #letsfighttogether #covid19 #layoffs,2020-04-18 03:55:17+00:00,0,15,#letsfighttogether #covid19 #layoffs,Pune,Thanks for helping the folks in the tough times letsfighttogether covid19 layoffs,[],,,,,,,
#goodmorning Coming soon How to activate healthcare system within #healthcare #coronavirus #covid19 #covid_19 #immunity #strongimmunity #selfcare #quarintine #lockdown #food @Ecotech Biofarm Private Limited https://www.instagram.com/p/B_Gm1o7g1sQ/?igshid=rtcnndxlpvw3,2020-04-18 01:08:57+00:00,0,0,#goodmorning #healthcare #coronavirus #covid19 #covid_19 #immunity #strongimmunity #selfcare #quarintine #lockdown #food,Pune,goodmorning Coming soon How to activate healthcare system within healthcare coronavirus covid19 covid 19 immunity strongimmunity selfcare quarintine lockdown food Biofarm Private Limited,"[{'score': 0.543208, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Here is the exit plan for corona virus (covid-19) https://www.simplifiedshiksha.com/corona-lockdown-exit-strategy/ #lockdown #coronaviruslockdown #coronavirus #covid19 #covid19india #lockdownextended #lockdowneffect #lockdownexitplan #lockdownexit #exitplan – at Malgudi Station,2020-04-17 16:23:01+00:00,0,0,#lockdown #coronaviruslockdown #coronavirus #covid19 #covid19india #lockdownextended #lockdowneffect #lockdownexitplan #lockdownexit #exitplan,Pune,Here is the exit plan for corona virus covid 19 lockdown coronaviruslockdown coronavirus covid19 covid19india lockdownextended lockdowneffect lockdownexitplan lockdownexit exitplan at Malgudi Station,[],,,,,,,
What is happening in #China ? 350 new cases and 1290 deaths ? #COVID19,2020-04-17 16:17:19+00:00,0,1,#China #COVID19,Pune,What is happening in China 350 new cases and 1290 deaths COVID19,"[{'score': 0.688214, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
