Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,sadness,confident,analytical,tentative,anger,fear
@aajtak #aajtakreporter I am shocked seeing this reporter touching his mask everytime which is clearly not a good example for the millions of viewers. News channels ask people to follow #WHO rule for #COVID19 &amp; here they are ignoring it. Please provide your reporter a proper mask – at Dahisar Rawalpada,2020-03-31 05:24:40+00:00,0,0,#aajtakreporter #WHO #COVID19,Mumbai,aajtakreporter I am shocked seeing this reporter touching his mask everytime which is clearly not a good example for the millions of viewers News channels ask people to follow WHO rule for COVID19 amp here they are ignoring it Please provide your reporter a proper mask at Dahisar Rawalpada,"[{'score': 0.519686, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"For a long time, international travel will be last thing on people’s mind. Tourism and hospitality will suffer the most and the countries that built their entire economy on one sector. #COVID19 #travel #tourism #economiccrisis",2020-03-31 05:22:10+00:00,5,16,#COVID19 #travel #tourism #economiccrisis,Mumbai,For a long time international travel will be last thing on people s mind Tourism and hospitality will suffer the most and the countries that built their entire economy on one sector COVID19 travel tourism economiccrisis,"[{'score': 0.596135, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"#StayAtHomeSaveLives #StayHomeStaySafe from #Covid19 #coronavirus. At home you can binge on Part 2 of Iss Pyar Ko Kya Naam Doon #MahaMovie if you have Hotstar VIP / Premium membership #SanayaIrani #BarunSobti #IPKKND #Arshi Khushi, Arnav Fall in Love",2020-03-31 05:11:23+00:00,6,20,#StayAtHomeSaveLives #StayAtHomeSaveLives #StayHomeStaySafe #Covid19 #coronavirus #MahaMovie #SanayaIrani #BarunSobti #IPKKND #Arshi,Mumbai,StayAtHomeSaveLives StayHomeStaySafe from Covid19 coronavirus At home you can binge on Part 2 of Iss Pyar Ko Kya Naam Doon MahaMovie if you have Hotstar VIP Premium membership SanayaIrani BarunSobti IPKKND Arshi Khushi Arnav Fall in Love,"[{'score': 0.699461, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
See many people moving around without masks. Let us distribute masks. #distributemasks #lockdown #COVID19 #pandemic #CoronavirusOutbreak #StaySafe,2020-03-31 04:34:01+00:00,1,1,#distributemasks #lockdown #COVID19 #pandemic #CoronavirusOutbreak #StaySafe,Mumbai,See many people moving around without masks Let us distribute masks distributemasks lockdown COVID19 pandemic CoronavirusOutbreak StaySafe,"[{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
Young or old; superhero or the boy around the corner block; EVERYONE is washing their hands. The only way to fight this out! Are you any different? #thekidscompanyjuhu #tkcbelieves #lego #covid19 #letsfightcoronavirus #washcoronavirus @LEGO_Group @LEGOIdeas @PMOIndia,2020-03-31 03:56:58+00:00,0,0,#thekidscompanyjuhu #tkcbelieves #lego #covid19 #letsfightcoronavirus #washcoronavirus,Mumbai,Young or old superhero or the boy around the corner block EVERYONE is washing their hands The only way to fight this out Are you any different thekidscompanyjuhu tkcbelieves lego covid19 letsfightcoronavirus washcoronavirus Group,"[{'score': 0.873263, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
#kerala: 2nd #Covid19 death. 68 -year -old Abdul Azeez from Tvm died at tvm med college. was on ventilator support for the past 5 days .From where this patient contracted the Infection yet to be ascertained as he did not have any travel history or known contacts #COVIDー19,2020-03-31 03:40:31+00:00,0,1,#kerala #Covid19 #COVID,Mumbai,kerala 2nd Covid19 death 68 year old Abdul Azeez from Tvm died at tvm med college was on ventilator support for the past 5 days From where this patient contracted the Infection yet to be ascertained as he did not have any travel history or known contacts COVID 19,"[{'score': 0.768884, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
Heard the event took place a few weeks back when GOI was in denial mode of the #covid19 problem why raked up now ,2020-03-31 03:24:54+00:00,0,0,#covid19,Mumbai,Heard the event took place a few weeks back when GOI was in denial mode of the covid19 problem why raked up now,"[{'score': 0.636458, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"68-year-old man dies of coronavirus in Kerala, second death in state: Govt #Coronavirustruth #CoronavirusOutbreak #COVID19 @PTI_News",2020-03-31 03:21:53+00:00,0,1,#Coronavirustruth #CoronavirusOutbreak #COVID19,Mumbai,68 year old man dies of coronavirus in Kerala second death in state Govt Coronavirustruth CoronavirusOutbreak COVID19 News,"[{'score': 0.827987, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
#WhatsApp Forwarded Message Is this a Coincidence ?? Just Asking.. #COVID19 C - Chinese O- Originated V - Virus |- In D - December 19 - 2019 #ChineseVirus #lockdown #Coronavirustruth #Coronaindia #StayHomeSaveLives #StaySafeStayHome #21daylockdown #21Days,2020-03-31 03:06:29+00:00,0,1,#WhatsApp #COVID19 #ChineseVirus #lockdown #Coronavirustruth #Coronaindia #StayHomeSaveLives #StaySafeStayHome #21daylockdown #21Days,Mumbai,WhatsApp Forwarded Message Is this a Coincidence Just Asking COVID19 C Chinese O Originated V Virus In D December 19 2019 ChineseVirus lockdown Coronavirustruth Coronaindia StayHomeSaveLives StaySafeStayHome 21daylockdown 21Days,"[{'score': 0.523676, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"@CMOMaharashtra @mybmc @mybmcHealthDept @rajeshtope11 @AUThackeray @MumbaiPolice @CPMumbaiPolice @AjitPawarSpeaks Sir, please implement this in Maharashtra where the home-quarantined person has a cellphone and an internet connection. #quarantine #maharashtra #covid19 #coronavirus",2020-03-31 03:00:07+00:00,0,0,#quarantine #maharashtra #covid19 #coronavirus,Mumbai,Sir please implement this in Maharashtra where the home quarantined person has a cellphone and an internet connection quarantine maharashtra covid19 coronavirus,[],,,,,,,
#coronavirus #Coronavirustruth #COVIDー19 #ChineseVirus #StayHomeSaveLives #COVID19 C- Chinese O- Originated V- Virus I- in D- December 19- 2019,2020-03-31 02:52:04+00:00,0,1,#coronavirus #Coronavirustruth #COVID #ChineseVirus #StayHomeSaveLives #COVID19,Mumbai,coronavirus Coronavirustruth COVID 19 ChineseVirus StayHomeSaveLives COVID19 C Chinese O Originated V Virus I in D December 19 2019,[],,,,,,,
"@mybmc @mybmcHealthDept @OfficeofUT @AUThackeray @CMOMaharashtra Sir, it is time to test all workers with large scare public contact. Our first responders, healthcare-sanitation-marketplace workers, police, all other essential staff need to be tested fr #COVID19 #TESTVIRUSNOW",2020-03-31 02:45:28+00:00,0,0,#COVID19 #TESTVIRUSNOW,Mumbai,Sir it is time to test all workers with large scare public contact Our first responders healthcare sanitation marketplace workers police all other essential staff need to be tested fr COVID19 TESTVIRUSNOW,"[{'score': 0.515271, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.780589, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,1.0
"Today is pay day. As promised, made another contribution to the #PMCaresFund I request all to treat this situation as an ongoing war, u may need to replenish the artillery again and again. Jai Hind! @PMOIndia @narendramodi I hope each effort counts! #COVID19 #IndiaFightsCorona",2020-03-31 02:45:15+00:00,0,0,#PMCaresFund #COVID19 #IndiaFightsCorona,Mumbai,Today is pay day As promised made another contribution to the PMCaresFund I request all to treat this situation as an ongoing war u may need to replenish the artillery again and again Jai Hind I hope each effort counts COVID19 IndiaFightsCorona,[],,,,,,,
Where are the #COVIDIOT Moulvis who were claiming that Namaazis would never be affected by #COVID19 even if they pay Namaaz in groups? Those who misguided general public should be tasked first and punished,2020-03-31 02:26:38+00:00,0,1,#COVIDIOT #COVID19,Mumbai,Where are the COVIDIOT Moulvis who were claiming that Namaazis would never be affected by COVID19 even if they pay Namaaz in groups Those who misguided general public should be tasked first and punished,"[{'score': 0.561294, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,1.0,
#COVID2019 #Covid19India #IndiaFightsCorona #Rajasthan Govt acquires 84 private #hospitals under Epedemic Act to fight #CoronavirusOutbreak. #India has over 1251 #COVID19 patients Rajasthan has 59 cases @MoHFW_INDIA @WHO,2020-03-31 02:22:35+00:00,1,2,#COVID2019 #Covid19India #IndiaFightsCorona #Rajasthan #hospitals #CoronavirusOutbreak #India #COVID19,Mumbai,COVID2019 Covid19India IndiaFightsCorona Rajasthan Govt acquires 84 private hospitals under Epedemic Act to fight CoronavirusOutbreak India has over 1251 COVID19 patients Rajasthan has 59 cases INDIA,"[{'score': 0.546662, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
@PMOIndia @OfficeofUT We should be looking at getting most of these industries to our nation. It will be greatly instrumental in handling the post #COVID19 apocalypse economic turmoil that #IMF has predicted #COVID2019india #economiccrisis,2020-03-31 00:40:07+00:00,0,1,#COVID19 #IMF #COVID2019india #economiccrisis,Mumbai,We should be looking at getting most of these industries to our nation It will be greatly instrumental in handling the post COVID19 apocalypse economic turmoil that IMF has predicted COVID2019india economiccrisis,[],,,,,,,
"I pray that u & your country remain healthy, happy and safe in this present situation. I request u to follow all precautions & request hot water to the people of the country, this will lead to #COVID19 You're really important to me i really care about u Reg;Jay , India, Mumbai,",2020-03-30 22:48:24+00:00,0,0,#COVID19,Mumbai,I pray that u your country remain healthy happy and safe in this present situation I request u to follow all precautions request hot water to the people of the country this will lead to COVID19 You re really important to me i really care about u Reg Jay India Mumbai,"[{'score': 0.795652, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Salute TATA for donating 1500CR #Corona #GoCorona #Duty #Covid19 #Human #TATA #Responsibility #Contribution #Choices #Quarantine #World #HomeQuarantine #Respect #Humanity #WHO #Donation #Care #Charity #LockDown #Kindness #Opportunity #Give #Compassion #Covid #Society #Selfless,2020-03-30 20:52:49+00:00,0,1,#Corona #GoCorona #Duty #Covid19 #Human #TATA #Responsibility #Contribution #Choices #Quarantine #World #HomeQuarantine #Respect #Humanity #WHO #Donation #Care #Charity #LockDown #Kindness #Opportunity #Give #Compassion #Covid #Society #Selfless,Mumbai,Salute TATA for donating 1500CR Corona GoCorona Duty Covid19 Human TATA Responsibility Contribution Choices Quarantine World HomeQuarantine Respect Humanity WHO Donation Care Charity LockDown Kindness Opportunity Give Compassion Covid Society Selfless,"[{'score': 0.666739, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Remember the verse Nadaan Parinde Ghar aaja - Rockstar ( 2011 ) Home has caught up with me at last. #quaratine #covid19,2020-03-30 19:33:13+00:00,0,1,#quaratine #covid19,Mumbai,Remember the verse Nadaan Parinde Ghar aaja Rockstar 2011 Home has caught up with me at last quaratine covid19,"[{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"#coronavirus India total 1071 cases 942 Active 29 Dead 100 Recovered Today + 47 Cases + 2 Deceased #Covid19India #COVID19 March 30, 2020",2020-03-30 19:04:50+00:00,0,0,#coronavirus #Covid19India #COVID19,Mumbai,coronavirus India total 1071 cases 942 Active 29 Dead 100 Recovered Today 47 Cases 2 Deceased Covid19India COVID19 March 30 2020,[],,,,,,,
Frozen Screwdriver - homemade blended slushy boozy goodness #Cheer #covid19 #covid19india #lockdownindia #lockdownMumbai #staysafeeverybody #workfromhome #goodnight,2020-03-30 18:48:20+00:00,0,0,#Cheer #covid19 #covid19india #lockdownindia #lockdownMumbai #staysafeeverybody #workfromhome #goodnight,Mumbai,Frozen Screwdriver homemade blended slushy boozy goodness Cheer covid19 covid19india lockdownindia lockdownMumbai staysafeeverybody workfromhome goodnight,"[{'score': 0.772999, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Solid work by @ManMundra again, supporting the hospitals with PPE in so many places - God bless you! #coronawarrior #Corona #COVID19 ",2020-03-30 18:42:25+00:00,1,2,#coronawarrior #Corona #COVID19,Mumbai,Solid work by again supporting the hospitals with PPE in so many places God bless you coronawarrior Corona COVID19,"[{'score': 0.812219, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Gross act of negligence: Delhi govt assures action against #NizamuddinMarkaz that put over 500 in danger of #Covid19 - India News ,2020-03-30 18:40:11+00:00,0,0,#NizamuddinMarkaz #Covid19,Mumbai,Gross act of negligence Delhi govt assures action against NizamuddinMarkaz that put over 500 in danger of Covid19 India News,"[{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
"#Covid19: 200 quarantined, #contacttracing on after #Delhi #mosque gathering - india news - Hindustan Times",2020-03-30 18:39:15+00:00,0,0,#Covid19 #contacttracing #Delhi #mosque,Mumbai,Covid19 200 quarantined contacttracing on after Delhi mosque gathering india news Hindustan Times,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"True. @mybmc u hv created wonderful website, u should start updating realtime figures of #Covid19 Mumbai figures. People are going here and thr for Authentic Information. Ir website doesn't give much info. all people are not thr on Twitter @AUThackeray @rajeshtope11 Please work",2020-03-30 18:11:22+00:00,0,1,#Covid19,Mumbai,True u hv created wonderful website u should start updating realtime figures of Covid19 Mumbai figures People are going here and thr for Authentic Information Ir website doesn t give much info all people are not thr on Twitter Please work,"[{'score': 0.689914, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Yeah! Masks Are Must. Wearing masks must become a personal habit otherwise everything else is just lip service and jingoism. Each one must wear a mask while stepping out. Mask also stops you from touching the face. Govts of the world make masks mandatory. #COVID19 #masksforall,2020-03-30 17:58:38+00:00,0,0,#COVID19 #masksforall,Mumbai,Yeah Masks Are Must Wearing masks must become a personal habit otherwise everything else is just lip service and jingoism Each one must wear a mask while stepping out Mask also stops you from touching the face Govts of the world make masks mandatory COVID19 masksforall,[],,,,,,,
"This article dt.30/03/2020 says govt took steps from mid January for #Covid19 but @RahulGandhi was consistently pointing out that nothing has been done. #GovtFailure #end ""Early Steps Taken to Fight COVID-19 in India: PM Narendra Modi to 130 Mission Heads""",2020-03-30 17:45:48+00:00,0,1,#Covid19 #GovtFailure #end,Mumbai,This article dt 30 03 2020 says govt took steps from mid January for Covid19 but was consistently pointing out that nothing has been done GovtFailure end Early Steps Taken to Fight COVID 19 in India PM Narendra Modi to 130 Mission Heads,"[{'score': 0.596058, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
Happy national doctors day. May God bless all doctors from corona pandemic! #NationalDoctorsDay #Covid19 #Coronavirus #lockdown #CoronavirusOutbreakindia #CovidIndia,2020-03-30 17:44:40+00:00,0,1,#NationalDoctorsDay #Covid19 #Coronavirus #lockdown #CoronavirusOutbreakindia #CovidIndia,Mumbai,Happy national doctors day May God bless all doctors from corona pandemic NationalDoctorsDay Covid19 Coronavirus lockdown CoronavirusOutbreakindia CovidIndia,"[{'score': 0.899408, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Increase of 227 #COVID19 cases in the last 24 hours, the largest spike in a day. Total number of #COVID19 positive cases rise to 1251 in India (including 1117 active cases, 102 cured/discharged/migrated people and 32 deaths): Ministry of Health and Family Welfare",2020-03-30 17:40:26+00:00,0,1,#COVID19 #COVID19,Mumbai,Increase of 227 COVID19 cases in the last 24 hours the largest spike in a day Total number of COVID19 positive cases rise to 1251 in India including 1117 active cases 102 cured discharged migrated people and 32 deaths Ministry of Health and Family Welfare,[],,,,,,,
Things to do #Coronavirustruth #coronavirus #Covid_19india #COVIDー19 #COVID19 #Corona #MondayMotivaton #mondaythoughts #MondayMood #MondayVibes #Quarantine #TheLockdown #Lockdown21 #Master #MannKiBaat #StaySafe #StayAtHome #StayHomeStaySafeSaveLives #StayAtHomeOrder,2020-03-30 17:33:04+00:00,0,1,#Coronavirustruth #coronavirus #Covid_19india #COVID #COVID19 #Corona #MondayMotivaton #mondaythoughts #MondayMood #MondayVibes #Quarantine #TheLockdown #Lockdown21 #Master #MannKiBaat #StaySafe #StayAtHome #StayAtHome #StayHomeStaySafeSaveLives #StayAtHomeOrder,Mumbai,Things to do Coronavirustruth coronavirus Covid 19india COVID 19 COVID19 Corona MondayMotivaton mondaythoughts MondayMood MondayVibes Quarantine TheLockdown Lockdown21 Master MannKiBaat StaySafe StayAtHome StayHomeStaySafeSaveLives StayAtHomeOrder,"[{'score': 0.576718, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Stay Home Stay Safe #StayHome #StaySafe #StayHomeStaySafe #21DaysChallenge #21daylockdown #21daysLockdownIndia #covid19 ,2020-03-30 17:23:07+00:00,1,43,#StayHome #StayHome #StaySafe #StayHomeStaySafe #21DaysChallenge #21daylockdown #21daysLockdownIndia #covid19,Mumbai,Stay Home Stay Safe StayHome StaySafe StayHomeStaySafe 21DaysChallenge 21daylockdown 21daysLockdownIndia covid19,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
New skills: Brooming mopping Dish washing Sweat it out! #quarantinelife #corona #covid19 #smile #sweatitout #householdchores #selfie #naturalworkout #lockdown #vashi #sanpada #navimumbai #mumbai… https://www.instagram.com/p/B-XYWA-Hcwf/?igshid=1bna9krtl0qbp,2020-03-30 16:57:59+00:00,0,0,#quarantinelife #corona #covid19 #smile #sweatitout #householdchores #selfie #naturalworkout #lockdown #vashi #sanpada #navimumbai #mumbai,Mumbai,New skills Brooming mopping Dish washing Sweat it out quarantinelife corona covid19 smile sweatitout householdchores selfie naturalworkout lockdown vashi sanpada navimumbai mumbai,"[{'score': 0.922595, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
#COVID19 Lead followed by @IYC @mumbai_pyc Helpline number Food delivered to daily wages workers in Bamanday wada (Andheri-East) Shastri-nagar(Kalina) Gajdharbandh (Sanatacruz-west) and Ashok Nagar (Chandivali),2020-03-30 16:45:36+00:00,0,0,#COVID19,Mumbai,COVID19 Lead followed by pyc Helpline number Food delivered to daily wages workers in Bamanday wada Andheri East Shastri nagar Kalina Gajdharbandh Sanatacruz west and Ashok Nagar Chandivali,[],,,,,,,
"It is #Lockdown21 day 6: Today I recommend, a series from 1999 with one of the best ratings all over. A mobster series with a whole lot of action, drama, crime and psychiatry! #StayTuned for more recommendations coming your way! #Series #COVID19 #CoronaIndia #Recommended",2020-03-30 16:42:07+00:00,1,16,#Lockdown21 #StayTuned #Series #COVID19 #CoronaIndia #Recommended,Mumbai,It is Lockdown21 day 6 Today I recommend a series from 1999 with one of the best ratings all over A mobster series with a whole lot of action drama crime and psychiatry StayTuned for more recommendations coming your way Series COVID19 CoronaIndia Recommended,"[{'score': 0.747623, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"D Raigad Civil Defence is duty bound 2 lk after the welfare of migrant labourers, so that they continue 2 work, once the lockdown is lifted and have faith on d administration. 4th day distribution. #CoronaLockdown #Lockdown. #IndiaFightsCoronavirus #StayHomeIndia #Covid19 ",2020-03-30 16:31:47+00:00,0,5,#CoronaLockdown #Lockdown #IndiaFightsCoronavirus #StayHomeIndia #Covid19,Mumbai,D Raigad Civil Defence is duty bound 2 lk after the welfare of migrant labourers so that they continue 2 work once the lockdown is lifted and have faith on d administration 4th day distribution CoronaLockdown Lockdown IndiaFightsCoronavirus StayHomeIndia Covid19,"[{'score': 0.603595, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.770155, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
Life change a lot when you prefer to stay at home. Please be serious and take precautions. #stayhomestayhome #timepass #quarantinelife #coronamemes #covıd19 #pandemicsituation #lifeistimepassingchallenge… https://www.instagram.com/p/B-XS6OwHyRB/?igshid=ml89mgzcuau6,2020-03-30 16:10:30+00:00,0,0,#stayhomestayhome #timepass #quarantinelife #coronamemes #cov #pandemicsituation #lifeistimepassingchallenge,Mumbai,Life change a lot when you prefer to stay at home Please be serious and take precautions stayhomestayhome timepass quarantinelife coronamemes cov d19 pandemicsituation lifeistimepassingchallenge,"[{'score': 0.595117, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Reliance Industries announces Rs. 500 crores contribution to #PMCARES Fund. In addition to its multi-pronged on-the-ground fight against #COVID19: Reliance Industries,2020-03-30 15:57:17+00:00,0,6,#PMCARES #COVID19,Mumbai,Reliance Industries announces Rs 500 crores contribution to PMCARES Fund In addition to its multi pronged on the ground fight against COVID19 Reliance Industries,"[{'score': 0.541591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"If the government is to be believed, then India’s 21-day lockdown working and doing what it's supposed to. #21daylockdown #IndiaFightsCorona #indialockeddown #CoronavirusLockdown #Covid19India #COVID19 ",2020-03-30 15:47:08+00:00,1,1,#21daylockdown #IndiaFightsCorona #indialockeddown #CoronavirusLockdown #Covid19India #COVID19,Mumbai,If the government is to be believed then India s 21 day lockdown working and doing what it s supposed to 21daylockdown IndiaFightsCorona indialockeddown CoronavirusLockdown Covid19India COVID19,"[{'score': 0.698904, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
"Day 6 of #21DaysOfLockdown &amp; here is the #IVMSmartGuide to get smarter! We have Karthik Nagrajan (@The_Karthik), host of #TheFilterKoffeePodcast and his awesome #Top5 podcast recommendations for you today! Recommendation Link- http://bit.ly/2Jsa8yB #podcast #Covid19 – at Indus Vox Media",2020-03-30 15:35:45+00:00,1,1,#21DaysOfLockdown #IVMSmartGuide #TheFilterKoffeePodcast #Top5 #podcast #Covid19,Mumbai,Day 6 of 21DaysOfLockdown amp here is the IVMSmartGuide to get smarter We have Karthik Nagrajan Karthik host of TheFilterKoffeePodcast and his awesome Top5 podcast recommendations for you today Recommendation Link podcast Covid19 at Indus Vox Media,"[{'score': 0.884493, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Reliance Industries announces Rs. 500 crores contribution to #PMCARES Fund. In addition to its multi-pronged on-the-ground fight against #COVID19,2020-03-30 15:27:54+00:00,0,0,#PMCARES #COVID19,Mumbai,Reliance Industries announces Rs 500 crores contribution to PMCARES Fund In addition to its multi pronged on the ground fight against COVID19,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"The answer to anyone who asks next time what #Covid19 stands for: ""#Covid19 stands for &lt;China origin Virus in December 2019&gt;"" Tnks @hussain_imtiyaz n don't ask when it's a fact n true-only prob was @WHO was pd US$20 million by China 2 not offer an explanation for name #Covid19.",2020-03-30 15:20:28+00:00,0,0,#Covid19 #Covid19 #Covid19,Mumbai,The answer to anyone who asks next time what Covid19 stands for Covid19 stands for lt China origin Virus in December 2019 gt Tnks imtiyaz n don t ask when it s a fact n true only prob was was pd US 20 million by China 2 not offer an explanation for name Covid19,"[{'score': 0.712733, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
@anjanaomkashyap @sudhirchaudhary @Swamy39 @RajatSharmaLive @PMOIndia #COVID19 #coronavirus #CoronaInIndia Simply but superb idea How to take steam for inhalation. ,2020-03-30 15:16:55+00:00,0,0,#COVID19 #coronavirus #CoronaInIndia,Mumbai,COVID19 coronavirus CoronaInIndia Simply but superb idea How to take steam for inhalation,"[{'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
#Webcast Scientific cum business impact analysis. #Worthlearning and #good coverage analytically. #COVID19 impact in India. @EconomicTimes webinar moderated by #VikasDandekar @VikasReports @ETHealthWorld @ETPrime_com https://youtu.be/xyBtopyRZbk,2020-03-30 15:06:28+00:00,0,0,#Webcast #Worthlearning #good #COVID19 #VikasDandekar,Mumbai,Webcast Scientific cum business impact analysis Worthlearning and good coverage analytically COVID19 impact in India webinar moderated by VikasDandekar com,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
Perks of working from home missed all the firsts of my son. Finally i was there to see him walk for the first time. #covid19 is not that bad – at Veg Planet,2020-03-30 15:05:31+00:00,0,9,#covid19,Mumbai,Perks of working from home missed all the firsts of my son Finally i was there to see him walk for the first time covid19 is not that bad at Veg Planet,[],,,,,,,
"As we fight #COVID19 &amp; #StayHome I'm so grateful for the privilege of comfort &amp; security. Praying for the relief of those hit severely by the #CoronavirusPandemic &amp; grateful for our beautiful #earth. May you heal soon, may we behave more responsibly with you. (Photos from 2015)",2020-03-30 15:00:59+00:00,0,3,#COVID19 #StayHome #StayHome #CoronavirusPandemic #earth,Mumbai,As we fight COVID19 amp StayHome I m so grateful for the privilege of comfort amp security Praying for the relief of those hit severely by the CoronavirusPandemic amp grateful for our beautiful earth May you heal soon may we behave more responsibly with you Photos from 2015,"[{'score': 0.830107, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Thanks and Grateful to all followers and followers from #USA pls be safe . Take steam on your face 4 to 5 times with Eucalyptus oil to fight #coronavirus #covid19 #America,2020-03-30 14:39:05+00:00,0,0,#USA #coronavirus #covid19 #America,Mumbai,Thanks and Grateful to all followers and followers from USA pls be safe Take steam on your face 4 to 5 times with Eucalyptus oil to fight coronavirus covid19 America,"[{'score': 0.832629, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"#Kerala #COVID19 update :Cm @vijayanpinarayi 32 cases tested positive today,17 among them are with travel history,15 through contact .total cases in the state is 213. Break up of the cases 17- from kasargod,11- kannur, 2 each in wayanad,Idukki @COVID19UPDATE18 #KeralaFights",2020-03-30 13:40:23+00:00,0,0,#Kerala #COVID19 #KeralaFights,Mumbai,Kerala COVID19 update Cm 32 cases tested positive today 17 among them are with travel history 15 through contact total cases in the state is 213 Break up of the cases 17 from kasargod 11 kannur 2 each in wayanad Idukki KeralaFights,[],,,,,,,
"#COVID19 @PMOIndia @ArvindKejriwal #Bihar @NitishKumar I am born in Bihar, I feel pity. I feel exploited. Tell me, are they humans? Are they part of India. Why the lockdown wasn't applicable on them. Why there was no one to guide or to stop them. #humanity",2020-03-30 13:31:30+00:00,0,1,#COVID19 #Bihar #humanity,Mumbai,COVID19 Bihar I am born in Bihar I feel pity I feel exploited Tell me are they humans Are they part of India Why the lockdown wasn t applicable on them Why there was no one to guide or to stop them humanity,"[{'score': 0.631658, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,1.0,
"#Kerala #COVID19 update :Cm @vijayanpinarayi 32 cases tested positive today,17 among them are with travel history,15 through contact .total cases in the state is 213. Break up of the cases 17- from kasargod,11- kannur, 2 each in wayanad,Idukki @CNNnews18 #KeralaFightsCorona",2020-03-30 13:27:58+00:00,0,1,#Kerala #COVID19 #KeralaFightsCorona,Mumbai,Kerala COVID19 update Cm 32 cases tested positive today 17 among them are with travel history 15 through contact total cases in the state is 213 Break up of the cases 17 from kasargod 11 kannur 2 each in wayanad Idukki KeralaFightsCorona,[],,,,,,,
"#Kerala #COVID19 update :Cm @vijayanpinarayi 32 cases tested positive today,17 among them are with travel history,15 through contact .total cases in the state is 213. Break up of the cases 17- from kasargod,11- kannur, 2 each in wayanad,Idukki @CNNnews18 #KeralaFightsCorona",2020-03-30 13:27:02+00:00,0,0,#Kerala #COVID19 #KeralaFightsCorona,Mumbai,Kerala COVID19 update Cm 32 cases tested positive today 17 among them are with travel history 15 through contact total cases in the state is 213 Break up of the cases 17 from kasargod 11 kannur 2 each in wayanad Idukki KeralaFightsCorona,[],,,,,,,
BREAKING: Israeli PM Netanyahu enters quarantine after aide tested positive for Coronavirus. #COVID19 #21DaysChallenge,2020-03-30 13:24:06+00:00,22,62,#COVID19 #21DaysChallenge,Mumbai,BREAKING Israeli PM Netanyahu enters quarantine after aide tested positive for Coronavirus COVID19 21DaysChallenge,"[{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
