Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,anger,sadness,joy,fear,tentative,confident
"#COVID19 and #21daysLockdown taught us meaning of ""Simple Living, High Thinking"".",2020-04-01 16:32:12+00:00,0,0,#COVID19 #21daysLockdown,Ahmadabad,COVID19 and 21daysLockdown taught us meaning of Simple Living High Thinking,"[{'score': 0.708957, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.905748, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
Hats off to this man Azim premji for fighting against Corona. His contribution will shutdown communal haters mouth. #COVID19outbreak #india #AzimPremjiDonation #AzimPremji #corona #Coronafighters #COVID19 #COVID19Pandemic @PMOIndia,2020-04-01 15:31:06+00:00,0,0,#COVID19outbreak #india #AzimPremjiDonation #AzimPremji #corona #Coronafighters #COVID19 #COVID19Pandemic,Ahmadabad,Hats off to this man Azim premji for fighting against Corona His contribution will shutdown communal haters mouth COVID19outbreak india AzimPremjiDonation AzimPremji corona Coronafighters COVID19 COVID19Pandemic,"[{'score': 0.590465, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,1.0,,,,,
*Following are the relief in late fees and compliance given by MCA amid COVID 19 outbreak for companies and LLPs* https://www.indiantaxguruji.com/post/relief-given-by-mca-relating-to-companies-and-llp-amid-covid-19-outbreak-relief-mca-covid19 #COVID19 #Relief #mca,2020-04-01 14:53:41+00:00,0,0,#COVID19 #Relief #mca,Ahmadabad,Following are the relief in late fees and compliance given by MCA amid COVID 19 outbreak for companies and LLPs COVID19 Relief mca,[],,,,,,,
"Stay Alert, Stay Put, Stay Safe! A Safety Appeal by Team GJM #Covid19 #Coronavirus #worldcrisis #safetyfirst #indiafightscovid19 #India #USA #Canada #Unitedkingdom #Asia #Europe #Middleeast #Africa #Australia #stayhomestaysafe #appeal #stayalert #BePrepared",2020-04-01 14:43:07+00:00,0,1,#Covid19 #Coronavirus #worldcrisis #safetyfirst #indiafightscovid19 #India #USA #Canada #Unitedkingdom #Asia #Europe #Middleeast #Africa #Australia #stayhomestaysafe #appeal #stayalert #BePrepared,Ahmadabad,Stay Alert Stay Put Stay Safe A Safety Appeal by Team GJM Covid19 Coronavirus worldcrisis safetyfirst indiafightscovid19 India USA Canada Unitedkingdom Asia Europe Middleeast Africa Australia stayhomestaysafe appeal stayalert BePrepared,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"Another Positive News on Ashtami :Out of the ten #COVID19 patients in district #Gurugram, 9 people have fully recovered. @narendramodi",2020-04-01 14:27:59+00:00,0,0,#COVID19 #Gurugram,Ahmadabad,Another Positive News on Ashtami Out of the ten COVID19 patients in district Gurugram 9 people have fully recovered,"[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,,,1.0
"Wipro Ltd, Wipro Enterprises Ltd and Azim Premji Foundation have together committed Rs 1125 Crore towards tackling the unprecedented health and humanitarian crisis arising from #COVID19 pandemic outbreak.",2020-04-01 14:18:26+00:00,0,1,#COVID19,Ahmadabad,Wipro Ltd Wipro Enterprises Ltd and Azim Premji Foundation have together committed Rs 1125 Crore towards tackling the unprecedented health and humanitarian crisis arising from COVID19 pandemic outbreak,[],,,,,,,
"Dear, Different deferrement of date ..qua Covid19/ Read blog http://canitinmpathak.blogspot.com Ca Nitin Pathak call on for further information TAXATION AND OTHER LAWS (sRELAXATION OF CERTAIN PROVISIONS) ORDINANCE, 2020 #Corona #COVID19 ",2020-04-01 13:28:30+00:00,0,0,#Corona #COVID19,Ahmadabad,Dear Different deferrement of date qua Covid19 Read blog Ca Nitin Pathak call on for further information TAXATION AND OTHER LAWS sRELAXATION OF CERTAIN PROVISIONS ORDINANCE 2020 Corona COVID19,"[{'score': 0.584758, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
"#PROTECT YOURSELF &amp; PROTECT OTHERS !! During this #COVID19 outbreak, we want you to get the #correctinformation about each thing !! Here we are with all the details that what you should do while #livingsomeoneatrisk ! #CoronavirusOutbreakindia #GAIMS #BHUJ #coronavirusawareness",2020-04-01 13:23:21+00:00,0,6,#PROTECT #COVID19 #correctinformation #livingsomeoneatrisk #CoronavirusOutbreakindia #GAIMS #BHUJ #coronavirusawareness,Ahmadabad,PROTECT YOURSELF amp PROTECT OTHERS During this COVID19 outbreak we want you to get the correctinformation about each thing Here we are with all the details that what you should do while livingsomeoneatrisk CoronavirusOutbreakindia GAIMS BHUJ coronavirusawareness,"[{'score': 0.540648, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
After #Bhilwara looks like #ajmer is on the verge of explosion for #COVID19 outbreak.. @ashokgehlot51,2020-04-01 11:30:36+00:00,0,3,#Bhilwara #ajmer #COVID19,Ahmadabad,After Bhilwara looks like ajmer is on the verge of explosion for COVID19 outbreak,[],,,,,,,
"Till now, there are 1637 #COVID19 cases, incl 386 new positive cases since y'day. There've been 38 deaths. 132 people have recovered. The no. of positive cases have gone up since yesterday. One of main reasons for it is the travel by members of Tablighi Jamat. #IndiaFightsCorona",2020-04-01 11:13:11+00:00,0,3,#COVID19 #IndiaFightsCorona,Ahmadabad,Till now there are 1637 COVID19 cases incl 386 new positive cases since y day There ve been 38 deaths 132 people have recovered The no of positive cases have gone up since yesterday One of main reasons for it is the travel by members of Tablighi Jamat IndiaFightsCorona,"[{'score': 0.618272, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
#NamasteAmdavad If you have any symptoms of #COVID19 PLEASE CALL 104 Don’t hesitate that you are creating unnecessary work for @AmdavadAMC We have hundreds of teams in place We’re here to help you. Just reach out. ,2020-04-01 09:33:54+00:00,0,0,#NamasteAmdavad #COVID19,Ahmadabad,NamasteAmdavad If you have any symptoms of COVID19 PLEASE CALL 104 Don t hesitate that you are creating unnecessary work for We have hundreds of teams in place We re here to help you Just reach out,"[{'score': 0.802155, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,,1.0,
Effects of Corona Virus on World Economy | #COVID | #webseries #introduction #trailer #COVID19 #IndiaFightsCorona #StockMarket #economy,2020-04-01 09:06:49+00:00,0,1,#COVID #webseries #introduction #trailer #COVID19 #IndiaFightsCorona #StockMarket #economy,Ahmadabad,Effects of Corona Virus on World Economy COVID webseries introduction trailer COVID19 IndiaFightsCorona StockMarket economy,"[{'score': 0.555114, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.802757, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,1.0,,
"That's really shit yaaaar... Because of them we all are at home and they are again selling bats, dogs, cats #Shameonchina #cat #dog #bat #China #ChineseVirus19 #COVID19 #CoronaJihad #lockdownindia #wehatechina @WHO @peta @OpIndia_com @narendramodi @PMOIndia @POTUS",2020-04-01 08:17:05+00:00,0,1,#Shameonchina #cat #dog #bat #China #ChineseVirus19 #COVID19 #CoronaJihad #lockdownindia #wehatechina,Ahmadabad,That s really shit yaaaar Because of them we all are at home and they are again selling bats dogs cats Shameonchina cat dog bat China ChineseVirus19 COVID19 CoronaJihad lockdownindia wehatechina com,"[{'score': 0.553034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.575112, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
My phone services are disconnected in this #COVID19 Lockdown bcos of inefficient team work of @airtelindia @Airtel_Presence. In more than 45 Days @airtelindia cannot solve their technical billing faults. @airtelnews Why should Customer suffer after so much efforts ?? No,2020-04-01 07:53:47+00:00,0,0,#COVID19,Ahmadabad,My phone services are disconnected in this COVID19 Lockdown bcos of inefficient team work of Presence In more than 45 Days cannot solve their technical billing faults Why should Customer suffer after so much efforts No,[],,,,,,,
"Prime Minister Narendra Modi's mother Hiraba donates Rs 25,000 from her personal savings to #PMCARES Fund. #COVID19 (File pic) ",2020-04-01 06:44:40+00:00,0,0,#PMCARES #COVID19,Ahmadabad,Prime Minister Narendra Modi s mother Hiraba donates Rs 25 000 from her personal savings to PMCARES Fund COVID19 File pic,[],,,,,,,
"8 new #COVID19 positive cases have been detected in Ahmedabad taking the total number of positive cases in Gujarat to 82. As of now, only three patients are on ventilator support: Gujarat Health Department #Ahmedabad #COVID",2020-04-01 05:53:45+00:00,0,3,#COVID19 #Ahmedabad #COVID,Ahmadabad,8 new COVID19 positive cases have been detected in Ahmedabad taking the total number of positive cases in Gujarat to 82 As of now only three patients are on ventilator support Gujarat Health Department Ahmedabad COVID,"[{'score': 0.716035, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.741964, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,1.0
Madhya Pradesh: A 65-year-old man who tested positive for #COVID19 passed away in Indore today.,2020-04-01 05:44:11+00:00,0,2,#COVID19,Ahmadabad,Madhya Pradesh A 65 year old man who tested positive for COVID19 passed away in Indore today,"[{'score': 0.862737, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,1.0
"#COVID19 #Corona Dear, Put the finger qua nation Latest updates on CORONA. www http://covidvisualizer.com Read blog http://canitinmpathak.blogspot.com Ca Nitin Pathak",2020-04-01 04:28:46+00:00,0,0,#COVID19 #Corona,Ahmadabad,COVID19 Corona Dear Put the finger qua nation Latest updates on CORONA www Read blog Ca Nitin Pathak,[],,,,,,,
#pmcares is the only official UPI account to donate for #COVID19 Don’t get fooled on this #AprilFoolsDay – at Ahmedabad Haat,2020-04-01 04:13:13+00:00,0,1,#pmcares #COVID19 #AprilFoolsDay,Ahmadabad,pmcares is the only official UPI account to donate for COVID19 Don t get fooled on this AprilFoolsDay at Ahmedabad Haat,[],,,,,,,
"Mr. Sudheesh Nambiath, @IndiaGoldPolicy talks to Prof. Arvind Sahay about Global Financial Markets amidst #COVID19 Crisis. Listen to the #Podcast on https://soundcloud.com/iimapodcast/sudheesh-nambiath-talks-to-prof-arvind-sahay-about-global-financial-markets-amidst-covid19-crisis #BeSafeGoDigital #economy #IIMA @Sudhee1920 @profarvindsiima",2020-04-01 04:06:46+00:00,15,25,#COVID19 #Podcast #BeSafeGoDigital #economy #IIMA,Ahmadabad,Mr Sudheesh Nambiath talks to Prof Arvind Sahay about Global Financial Markets amidst COVID19 Crisis Listen to the Podcast on BeSafeGoDigital economy IIMA,[],,,,,,,
"A very important point: when social distance is difficult to maintain, #masks might help prevent sneeze/cough droplet to carry #covid19 virus far to anthr person, it’s not fool proof till it is coated with #invented compund by #jayant #Haldar @jncasr under test soon, @ccmb_csir",2020-04-01 01:44:56+00:00,0,0,#masks #covid19 #invented #jayant #Haldar,Ahmadabad,A very important point when social distance is difficult to maintain masks might help prevent sneeze cough droplet to carry covid19 virus far to anthr person it s not fool proof till it is coated with invented compund by jayant Haldar under test soon csir,[],,,,,,,
"@PrinSciAdvGoI @kvijayraghavan It appears that from 30th Jan,20 (WHO declared #Covid19 as epidemic) till March 15 , the Central Govt was in sleeping Mode. #Doctors working with #CGHS are yet not given even a N95 masks. What to expect from such vulnerable Govt. @PMOIndia #COVID",2020-04-01 01:08:43+00:00,0,0,#Covid19 #Doctors #CGHS #COVID,Ahmadabad,It appears that from 30th Jan 20 WHO declared Covid19 as epidemic till March 15 the Central Govt was in sleeping Mode Doctors working with CGHS are yet not given even a N95 masks What to expect from such vulnerable Govt COVID,"[{'score': 0.816248, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
Dear @FinMinIndia and @PMOIndia came across new notification of interest rate Revision for #SmallSavingSchemes. I wish to bring to your notice that in these times of #Covid19 the reduction of rates in #SeniorCitizenSchemes #SCSS will be counter productive.,2020-03-31 15:19:10+00:00,3,3,#SmallSavingSchemes #Covid19 #SeniorCitizenSchemes #SCSS,Ahmadabad,Dear and came across new notification of interest rate Revision for SmallSavingSchemes I wish to bring to your notice that in these times of Covid19 the reduction of rates in SeniorCitizenSchemes SCSS will be counter productive,"[{'score': 0.515576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"#PROTECT YOURSELF &amp; PROTECT OTHERS !! During this #COVID19 outbreak, we want you to get the #correctinformation about each thing !! Here we are with all the details that what you should do while #leavingyourhome ! #Stayhome #Staysafe #GAIMS #BHUJ #coronavirusawareness",2020-03-31 14:18:05+00:00,0,3,#PROTECT #COVID19 #correctinformation #leavingyourhome #Stayhome #Stayhome #Staysafe #GAIMS #BHUJ #coronavirusawareness,Ahmadabad,PROTECT YOURSELF amp PROTECT OTHERS During this COVID19 outbreak we want you to get the correctinformation about each thing Here we are with all the details that what you should do while leavingyourhome Stayhome Staysafe GAIMS BHUJ coronavirusawareness,"[{'score': 0.540648, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
"10 March 2020 Maths sum, can any one dare to solve it? If 1400 in #NizamuddinMarkaz = 300 #Covid19 Positive Then 104 crore #Holi celebrators = how much #Covid19 Positive? @ANI @AJENews @thewire_in @cjwerleman @WHO @UNHumanRights @PMOIndia @POTUS @UN @UNICEF @IMFNews",2020-03-31 09:36:11+00:00,0,0,#NizamuddinMarkaz #Covid19 #Holi #Covid19,Ahmadabad,10 March 2020 Maths sum can any one dare to solve it If 1400 in NizamuddinMarkaz 300 Covid19 Positive Then 104 crore Holi celebrators how much Covid19 Positive in,"[{'score': 0.79861, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.75131, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.557325, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,1.0
Huge Respect to @indiatvnews &amp; @RajatSharmaLive . This is such massive amount. I salute to all the citizens who contribute #PMCARES to fight against #COVID19 .#IndiaFightsCornona #COVID,2020-03-31 08:02:28+00:00,0,0,#PMCARES #COVID19 #IndiaFightsCornona #COVID,Ahmadabad,Huge Respect to amp This is such massive amount I salute to all the citizens who contribute PMCARES to fight against COVID19 IndiaFightsCornona COVID,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,,,1.0
"Please guys let me know, how much ""Donald Trump Nagrik Abhinandan Samiti"" has donated for Corona emergency? I remember they had spent 100 crore for trump's visit to Ahmedabad. So I'm curious to know. #Covid19India #coronavirusindia #COVID19outbreak #COVID19 #IndiaFightsCorona",2020-03-31 07:37:18+00:00,0,0,#Covid19India #coronavirusindia #COVID19outbreak #COVID19 #IndiaFightsCorona,Ahmadabad,Please guys let me know how much Donald Trump Nagrik Abhinandan Samiti has donated for Corona emergency I remember they had spent 100 crore for trump s visit to Ahmedabad So I m curious to know Covid19India coronavirusindia COVID19outbreak COVID19 IndiaFightsCorona,[],,,,,,,
My Startup @dronelabtech fight against #Covid19 using Drone and artificial intelligence in Gujarat as volunteery. Here is article by @TheQuint. Cc : @vnehra @dgpgujarat @GujaratPolice #DronesForNation Credit: @Maha_Shoonya,2020-03-31 07:35:01+00:00,5,14,#Covid19 #DronesForNation,Ahmadabad,My Startup fight against Covid19 using Drone and artificial intelligence in Gujarat as volunteery Here is article by Cc DronesForNation Credit Shoonya,[],,,,,,,
"No rape cases, no murders, no riots or chaos, no robbery, no crimes at all. Less #AirPollution and water pollution. Animals are living freely without human fear. So basically, #lockdown is healing the world! #COVID19 #IndiaFightsCoronavirus",2020-03-31 06:40:54+00:00,0,1,#AirPollution #lockdown #COVID19 #IndiaFightsCoronavirus,Ahmadabad,No rape cases no murders no riots or chaos no robbery no crimes at all Less AirPollution and water pollution Animals are living freely without human fear So basically lockdown is healing the world COVID19 IndiaFightsCoronavirus,"[{'score': 0.638046, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"Hi I am @MaunishBhavsar, I have joined V-Force India as an Online volunteer to fight against #COVID19. It's an Initiative of #UNV_India to spread the right awareness and act together as volunteers. I request you to join us in this battle against #COVID19 #VForce #UNV_India",2020-03-31 06:32:42+00:00,0,1,#COVID19 #UNV_India #COVID19 #VForce #UNV_India,Ahmadabad,Hi I am I have joined V Force India as an Online volunteer to fight against COVID19 It s an Initiative of UNV India to spread the right awareness and act together as volunteers I request you to join us in this battle against COVID19 VForce UNV India,[],,,,,,,
"@VNGovtPortal Dear Vietnam, get well soon from this #COVID19 my trip is pending since last month. I want to visit you soon.",2020-03-31 06:01:36+00:00,0,0,#COVID19,Ahmadabad,Dear Vietnam get well soon from this COVID19 my trip is pending since last month I want to visit you soon,[],,,,,,,
I am awaiting to see how many politicians across all party donated in Prime Minister's Health fund for fighting Corona or in respective state Govt Funds. @sardanarohit @1ALOKJOSHI @RajatSharmaLive #COVID2019india #COVID19 #corona,2020-03-31 05:49:36+00:00,0,0,#COVID2019india #COVID19 #corona,Ahmadabad,I am awaiting to see how many politicians across all party donated in Prime Minister s Health fund for fighting Corona or in respective state Govt Funds COVID2019india COVID19 corona,[],,,,,,,
24 more persons have tested positive for #Covid19 from the Nizamuddin Tablighi Jamaat congregation. #NizamuddinMarkaz #Delhi #IndiaFightsCOVID19,2020-03-31 05:43:12+00:00,0,2,#Covid19 #NizamuddinMarkaz #Delhi #IndiaFightsCOVID19,Ahmadabad,24 more persons have tested positive for Covid19 from the Nizamuddin Tablighi Jamaat congregation NizamuddinMarkaz Delhi IndiaFightsCOVID19,"[{'score': 0.80159, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,1.0
Day 20 of self-isolation at home. Health isn't improving. Tested negative for #COVID19. Thinking of making a video.,2020-03-31 05:28:04+00:00,0,0,#COVID19,Ahmadabad,Day 20 of self isolation at home Health isn t improving Tested negative for COVID19 Thinking of making a video,"[{'score': 0.759581, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
This is how all. Things happened #COVID19 ,2020-03-31 04:47:58+00:00,1,13,#COVID19,Ahmadabad,This is how all Things happened COVID19,"[{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,,,1.0
Stop spreading panic #lockdown #COVID19 @narendramodi,2020-03-31 03:36:17+00:00,0,0,#lockdown #COVID19,Ahmadabad,Stop spreading panic lockdown COVID19,"[{'score': 0.957923, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,1.0,,
"#ThankYou all the doctors, nurses and all, you just feel like ""GOD"" for us in current situation. #COVID19 #StayHome",2020-03-30 21:39:26+00:00,0,2,#ThankYou #ThankYou #COVID19 #StayHome #StayHome,Ahmadabad,ThankYou all the doctors nurses and all you just feel like GOD for us in current situation COVID19 StayHome,"[{'score': 0.705793, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.656175, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,1.0
This #Quarantine feels like staying up at all night and sleep in till afternoon. Current mood lazy dizzyy #realityof3amtweet #TheLockdown #COVID19,2020-03-30 21:37:32+00:00,0,7,#Quarantine #realityof3amtweet #TheLockdown #COVID19,Ahmadabad,This Quarantine feels like staying up at all night and sleep in till afternoon Current mood lazy dizzyy realityof3amtweet TheLockdown COVID19,[],,,,,,,
Stay home. #CoronaLockdown #21DaysChallenge #COVID19 #21daysLockdownIndia,2020-03-30 20:26:49+00:00,0,0,#CoronaLockdown #21DaysChallenge #COVID19 #21daysLockdownIndia,Ahmadabad,Stay home CoronaLockdown 21DaysChallenge COVID19 21daysLockdownIndia,[],,,,,,,
ચાંદ ને કહી દો આજે આથમે નહીં... Moon and Venus Part 2 Mind the distance #Covid19 #CoronaVirus #Lockdown #Lockdown2020 #QuarantineLife #moonvenus #nightphotography @Parishkkar https://www.instagram.com/p/B-XhSp7HVhI/?igshid=sqhg83sofznc,2020-03-30 18:16:09+00:00,0,0,#Covid19 #CoronaVirus #Lockdown #Lockdown2020 #QuarantineLife #moonvenus #nightphotography,Ahmadabad,Moon and Venus Part 2 Mind the distance Covid19 CoronaVirus Lockdown Lockdown2020 QuarantineLife moonvenus nightphotography,"[{'score': 0.56607, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
""" The way we spend our time defines who we are."" #stayhome #staysafe #yogastretch #yogastrong #yogainstructor #yogainspiration #yogateacher #yogatravel #yoga #covid19 #covid_19 #lockdown2020 #lockdown… https://www.instagram.com/p/B-XRjTSD-Rs/?igshid=1f725nrpu6lf1",2020-03-30 16:03:07+00:00,0,0,#stayhome #stayhome #staysafe #yogastretch #yogastrong #yogainstructor #yogainspiration #yogateacher #yogatravel #yoga #covid19 #covid_19 #lockdown2020 #lockdown,Ahmadabad,The way we spend our time defines who we are stayhome staysafe yogastretch yogastrong yogainstructor yogainspiration yogateacher yogatravel yoga covid19 covid 19 lockdown2020 lockdown,"[{'score': 0.78506, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.64763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
Cases of #COVID19 in #Gujaratcorona reach 70. Two on ventilator. Four discharged. Six have passed away,2020-03-30 14:44:34+00:00,1,11,#COVID19 #Gujaratcorona,Ahmadabad,Cases of COVID19 in Gujaratcorona reach 70 Two on ventilator Four discharged Six have passed away,"[{'score': 0.827673, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
One more patient has recovered fully after proper care and management at Civil Hospital in #Ahmedabad! Cc: @vnehra @AmdavadAMC @MoHFW_INDIA @MoHFW_GUJARAT #AmdavadFightsCorona #COVID19 #IndiaFightsCorona,2020-03-30 14:20:20+00:00,15,54,#Ahmedabad #AmdavadFightsCorona #COVID19 #IndiaFightsCorona,Ahmadabad,One more patient has recovered fully after proper care and management at Civil Hospital in Ahmedabad Cc INDIA GUJARAT AmdavadFightsCorona COVID19 IndiaFightsCorona,[],,,,,,,
"#PROTECT YOURSELF &amp; PROTECT OTHERS !! During this #COVID19 outbreak, we want you to get the #correctinformation about each thing !! Here we are with all the details that what you should do while #enteringyourhome #Stayhome #savelivesstayhome #GAIMS #BHUJ #coronavirusawareness",2020-03-30 14:07:51+00:00,0,4,#PROTECT #COVID19 #correctinformation #enteringyourhome #Stayhome #Stayhome #savelivesstayhome #GAIMS #BHUJ #coronavirusawareness,Ahmadabad,PROTECT YOURSELF amp PROTECT OTHERS During this COVID19 outbreak we want you to get the correctinformation about each thing Here we are with all the details that what you should do while enteringyourhome Stayhome savelivesstayhome GAIMS BHUJ coronavirusawareness,"[{'score': 0.538198, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
"#COVID19 : @GujaratPolice have enlisted our drone as volunteer to monitor large gatherings. ""In Junagadh where terrace gathering have increased, the sight of drones makes clear out immediately"" #DronesForNation",2020-03-30 12:53:39+00:00,9,27,#COVID19 #DronesForNation,Ahmadabad,COVID19 have enlisted our drone as volunteer to monitor large gatherings In Junagadh where terrace gathering have increased the sight of drones makes clear out immediately DronesForNation,"[{'score': 0.659886, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
" "" stay home stay safe "" . @inficoders_technolab #inficoders_technolab #knowledgevalley #digitalmarketing #digitalmarketingagency #digitalmalaysia #socialmedia #DigitalMarketingBusiness #covid19 #coronavirusoutbrake #Dissect #stayinside #sanitise #coronavirusindia #coronavirus",2020-03-30 12:49:13+00:00,1,3,#inficoders_technolab #knowledgevalley #digitalmarketing #digitalmarketingagency #digitalmalaysia #socialmedia #DigitalMarketingBusiness #covid19 #coronavirusoutbrake #Dissect #stayinside #sanitise #coronavirusindia #coronavirus,Ahmadabad,stay home stay safe technolab inficoders technolab knowledgevalley digitalmarketing digitalmarketingagency digitalmalaysia socialmedia DigitalMarketingBusiness covid19 coronavirusoutbrake Dissect stayinside sanitise coronavirusindia coronavirus,"[{'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
@NorbertElekes BREAKING: Israeli PM Netanyahu enters quarantine after aide tested positive for coronavirus #CoronaVirusUpdate #CoronaOutbreak #COVID19india #coronavirusindia #Corona #covid_19 #Covid19 #CoronaStopKarona #21Days #21DaysChallenge #21daysLockdown #Natkhatgujju,2020-03-30 12:45:38+00:00,0,0,#CoronaVirusUpdate #CoronaOutbreak #COVID19india #coronavirusindia #Corona #covid_19 #Covid19 #CoronaStopKarona #21Days #21DaysChallenge #21daysLockdown #Natkhatgujju,Ahmadabad,BREAKING Israeli PM Netanyahu enters quarantine after aide tested positive for coronavirus CoronaVirusUpdate CoronaOutbreak COVID19india coronavirusindia Corona covid 19 Covid19 CoronaStopKarona 21Days 21DaysChallenge 21daysLockdown Natkhatgujju,"[{'score': 0.596959, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,1.0
Monkeys Day Out amidst this #lockdown #COVID19 #COVID2019india,2020-03-30 12:03:06+00:00,0,0,#lockdown #COVID19 #COVID2019india,Ahmadabad,Monkeys Day Out amidst this lockdown COVID19 COVID2019india,"[{'score': 0.593811, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
Quarantine Day 6 :- I started using Tik - Tok !! #Coronavirustruth #Quarantine #SocialDistancing #CoronaVirusUpdate #lockdown #MondayMotivaton #COVID19 #QuarantineLife #WhenCoronaVirusIsOver #Trump,2020-03-30 11:17:38+00:00,0,6,#Coronavirustruth #Quarantine #SocialDistancing #CoronaVirusUpdate #lockdown #MondayMotivaton #COVID19 #QuarantineLife #WhenCoronaVirusIsOver #Trump,Ahmadabad,Quarantine Day 6 I started using Tik Tok Coronavirustruth Quarantine SocialDistancing CoronaVirusUpdate lockdown MondayMotivaton COVID19 QuarantineLife WhenCoronaVirusIsOver Trump,[],,,,,,,
I want those days back... . . #IndiaFightsCorona #HealthcareHeroes #covid19 #Covid19India #COVID2019india #healthcarefuturist – at Adani Enterprise Limited,2020-03-30 10:00:21+00:00,0,2,#IndiaFightsCorona #HealthcareHeroes #covid19 #Covid19India #COVID2019india #healthcarefuturist,Ahmadabad,I want those days back IndiaFightsCorona HealthcareHeroes covid19 Covid19India COVID2019india healthcarefuturist at Adani Enterprise Limited,[],,,,,,,
#Bhutan increases its #Quarantine period to 21 days starting tomorrow. #Coronavirus #COVID19 – at Nava Naroda,2020-03-30 09:28:43+00:00,8,17,#Bhutan #Quarantine #Coronavirus #COVID19,Ahmadabad,Bhutan increases its Quarantine period to 21 days starting tomorrow Coronavirus COVID19 at Nava Naroda,[],,,,,,,
#AhmedabadPolice distributed hundreds of food packets to the needy persons in #Ahmedabad! Massive respect for the superheroes in Khaki Uniforms! #AmdavadFightsCorona #COVID19 – at Nava Naroda,2020-03-30 08:15:03+00:00,29,158,#AhmedabadPolice #Ahmedabad #AmdavadFightsCorona #COVID19,Ahmadabad,AhmedabadPolice distributed hundreds of food packets to the needy persons in Ahmedabad Massive respect for the superheroes in Khaki Uniforms AmdavadFightsCorona COVID19 at Nava Naroda,[],,,,,,,
Just contributed to #PMCaresFunds! Every contribution counts! Donate to the PM CARES fund through your @GooglePayIndia app http://gpay.app.goo.gl/PMCares #IndiaFightsCorona #COVID19 ,2020-03-30 06:27:59+00:00,44,395,#PMCaresFunds #IndiaFightsCorona #COVID19,Ahmadabad,Just contributed to PMCaresFunds Every contribution counts Donate to the PM CARES fund through your app IndiaFightsCorona COVID19,[],,,,,,,
